Year,Community,County,ZI,EI,EQI
2010,Hilo,Hawai‘i County,1,1,1
2010,Honokaʻa-Kukuihaele,Hawai‘i County,1.0324205304717553,1.09243,1.0581250253720003
2010,Kaʻū,Hawai‘i County,0.9720844300465681,1.71275,1.7619354317998386
2010,Keaʻau-Mountain View,Hawai‘i County,0.9247823446041709,0.85139,0.9206382506841817
2010,North Hilo,Hawai‘i County,1.019082810285483,0.86653,0.8503038136392986
2010,North Kohala,Hawai‘i County,0.9557349665924276,2.16733,2.2677102709000874
2010,North Kona,Hawai‘i County,1.046719983802389,4.53705,4.334540345277818
2010,Pāʻauhau-Paʻauilo,Hawai‘i County,0.9253138287102652,2.45737,2.6557152003501
2010,Pāhoa-Kalapana,Hawai‘i County,1.027637173516906,1.91633,1.864792408629692
2010,Pāpaʻikou-Wailea,Hawai‘i County,0.9456367685766349,0.46375,0.49041028797773256
2010,South Kohala,Hawai‘i County,1.0691688600931362,1.66255,1.5549929127707423
2010,South Kona,Hawai‘i County,0.9917240332051022,3.43745,3.4661356233252523
2010,ʻEwa,Honolulu County,1.063373152460012,0.40637,0.3821518335872049
2010,Honolulu,Honolulu County,1.070408989674023,2.80996,2.6251274298954934
2010,Koʻolauloa,Honolulu County,1.0692447863940069,0.49283,0.4609141014959288
2010,Koʻolaupoko,Honolulu County,1.0398106904231625,1.32271,1.27206809103079
2010,Wahiawā,Honolulu County,0.9496355537558211,1.12311,1.1826747593411864
2010,Waialua,Honolulu County,1.0530218667746507,1.84502,1.7521193606845002
2010,Waiʻanae,Honolulu County,1.0773942093541202,1.37968,1.280571204134367
2010,ʻEleʻele-Kalāheo,Kaua‘i County,1.0692700951609637,1.84064,1.7213985580723805
2010,Hanalei,Kaua‘i County,1.0451761490180198,2.0749,1.9852156040390343
2010,Kapaʻa,Kaua‘i County,1.078052237294999,3.06454,2.8426637355620246
2010,Kaumakani-Hanapēpē,Kaua‘i County,1.067017614901802,1.89681,1.777674495256167
2010,Kekaha-Waimea,Kaua‘i County,1.0261186474994939,2.7,2.6312746645619574
2010,Kōloa-Poʻipū,Kaua‘i County,1.0421897145171086,2.30478,2.2114783593579252
2010,Līhuʻe,Kaua‘i County,1.0438347843693054,4.87012,4.66560424401125
2010,Puhi-Hanamāʻulu,Kaua‘i County,0.9577090504150638,0.67291,0.7026246642530588
2010,Wailua-Anahola,Kaua‘i County,1.079064587973274,0.46215,0.4282876160990712
2010,East Molokaʻi,Maui County,0.9455102247418505,1.74582,1.8464316453866538
2010,Haʻikū-Paʻuwela,Maui County,1.079671998380239,1.20319,1.1144032648851383
2010,Hāna,Maui County,0.844300465681312,3.20159,3.7920031199040767
2010,Kahului,Maui County,0.9808159546466896,0.73187,0.7461848438870826
2010,Kīhei,Maui County,1.0536545859485724,1.26653,1.202035294004612
2010,Kula,Maui County,1.046770601336303,1.18048,1.1277351489361702
2010,Lahaina,Maui County,1.0351791860700548,2.13068,2.058271677668573
2010,Lānaʻi,Maui County,1.0570965782547075,2.41633,2.2858176345527674
2010,Makawao-Pāʻia,Maui County,1.0418860093136262,1.30996,1.2572968523331796
2010,Spreckelsville,Maui County,0.8779105082000405,5.05737,5.760689674815498
2010,Waiheʻe-Waikapū,Maui County,0.8402510629682122,1.38207,1.6448298144578313
2010,Wailuku,Maui County,1.0855942498481472,0.73347,0.6756391719121556
2010,West Molokaʻi,Maui County,1.0732941891071066,1.07012,0.9970425730994152
2011,Hilo,Hawai‘i County,1.0402156306944725,0.99084,0.9525332736429771
2011,Honokaʻa-Kukuihaele,Hawai‘i County,0.9883579671998379,1.39442,1.410845104988221
2011,Kaʻū,Hawai‘i County,0.9820307754606196,1.64263,1.6726868862429771
2011,Keaʻau-Mountain View,Hawai‘i County,0.9825116420328002,0.94024,0.9569759377656423
2011,North Hilo,Hawai‘i County,0.9748683944118243,0.62112,0.6371321540019211
