"Year","Catch.Millions","Revenue.Millions","CommDiv","RevDiv"
1981,0.009,0.0442304731424617,1,1
1982,0.009,0.0416572947322329,1,1
1983,0.011,0.0534617737003058,1,1
1987,0.007,0.0318948841085016,1,1
1988,0.006,0.026957708650176,1,1
2002,0.008291,0.0367443648043641,1.58068716691826,1.44369612787406
2003,0.010759,0.0456203098812316,1.87976467657617,1.5039030786734
2004,0.011382,0.0488934055388895,1.60651778404792,1.40589370069932
2005,0.010956,0.0452487869620622,2.09130081818283,1.72116119985297
2006,0.009997,0.0406416138734604,2.07635987256773,1.70280132887041
2007,0.012135,0.0502724030311535,1.8479310394655,1.53051279134272
2008,0.010666,0.0472992962376552,1.99107083608408,1.82861698766309
2009,0.0103,0.0453119700598015,2.67294987142454,2.22119486261375
2010,0.009525,0.0445957663617976,2.22747454581248,1.83563801121648
2011,0.012261,0.0559129786778863,2.43701146821367,1.89876312008928
2012,0.008845,0.0402857754466317,2.05852327712433,1.75462502843637
2013,0.008034,0.0339399677633357,2.76110806316222,2.02114512435347
2014,0.010389,0.0423413758327424,3.38278872778045,2.67600114332995
2015,0.000256,0.000784765033742639,3.19031899391,3.067091558004
2016,0.008589,0.0351688502341901,3.33087296762021,2.67826422334605
2017,0.007937,0.0317215911287871,3.53700765366605,2.78398753696809
2018,0.006037,0.0240890103995994,2.70369235046652,2.21786247989562
2019,0.005388,0.0216214914295765,4.1951037824933,3.69549358005685
2020,0.007805,0.039057,2.73842956666942,2.38873692174789
