"Year","Catch.Millions","Revenue.Millions","CommDiv","RevDiv"
1981,0.781,11.5146665080875,1,1
1982,0.12,0.999775073573589,1,1
1983,0.209,1.39668883792049,1,1
1984,0.64,3.64604183870861,1,1
1985,1.197,7.25580822093652,1,1
1986,1.146,7.55953324046196,1,1
1987,0.528,4.96563476964235,1,1
1988,1.2,8.47242271862675,1,1
1989,1.276,10.5126447284215,1,1
1990,0.794,7.839652844896,1,1
1991,0.193,1.87259209936226,1,1
1992,0.323,2.83758415797434,1,1
1993,0.003,0.0362977520136774,1,1
1994,0.114,1.0952578313253,1,1
1995,0.045,0.433522004741036,1,1
1996,0.212,2.32290942529364,1,1
1997,0.197,1.89401698372533,1,1
1998,0.126,1.32917784593708,1,1
1999,0.142652,1.52149993868235,1,1
