"Year","Species","Pounds","Dollars","Habitat"
1981,"SWORDFISH",30000,98289.9403165816,"Pelagic"
1981,"MULLETS **",9000,44230.4731424617,"Fishpond"
1981,"SNAPPER, RED",80000,294869.820949745,"Deep"
1981,"TUNA, BIGEYE",60000,235895.856759796,"Pelagic"
1981,"CRUSTACEANS **",52000,304698.814981403,"Reef"
1981,"TUNA, ALBACORE",159000,309613.311997232,"Pelagic"
1981,"TUNA, SKIPJACK",4837000,8914897.58671395,"Pelagic"
1981,"TUNA, YELLOWFIN",3100000,10664458.5243491,"Pelagic"
1981,"TUNA, LITTLE TUNNY",50000,73717.4552374362,"Pelagic"
1981,"VERTEBRATES, JAWED",3650000,9890425.24435603,"Jawed Vertebrates"
1981,"SHRIMPS, PENAEID **",95000,584825.144883661,"Deep"
1981,"TUNA, BLUEFIN PACIFIC",20000,78631.9522532653,"Pelagic"
1981,"SQUIDS, LOLIGINIDAE **",17000,34401.4791108036,"Reef"
1981,"LOBSTER, CARIBBEAN SPINY",781000,11514666.5080875,"NWHI"
1981,"CRABS, DECAPODA (ORDER) **",16000,78631.9522532653,"Reef"
1981,"SNAPPERS, LUTJANIDAE (FAMILY) **",425000,1931397.32722083,"Deep"
1981,"SHARKS, CHONDRICHTHYES (CLASS) **",15000,7371.74552374362,"Pelagic"
1982,"CORALS **",5000,81000.295312675,"Reef"
1982,"SWORDFISH",25000,81000.295312675,"Pelagic"
1982,"MULLETS **",9000,41657.2947322329,"Fishpond"
1982,"SNAPPER, RED",80000,416572.947322329,"Deep"
1982,"TUNA, BIGEYE",45000,138857.649107443,"Pelagic"
1982,"BILLFISHES **",6e+05,694288.245537215,"Pelagic"
1982,"CRUSTACEANS **",45000,173572.061384304,"Reef"
1982,"TUNA, ALBACORE",3810000,6257851.38644209,"Pelagic"
1982,"TUNA, SKIPJACK",3876000,6725338.80510382,"Pelagic"
1982,"TUNA, YELLOWFIN",2e+06,6480023.625014,"Pelagic"
1982,"TUNA, LITTLE TUNNY",50000,69428.8245537215,"Pelagic"
1982,"VERTEBRATES, JAWED",3e+06,8562888.36162565,"Jawed Vertebrates"
1982,"SHRIMPS, PENAEID **",90000,520716.184152911,"Deep"
1982,"TUNA, BLUEFIN PACIFIC",15000,57857.3537947679,"Pelagic"
1982,"SQUIDS, LOLIGINIDAE **",20000,37028.7064286514,"Reef"
1982,"LOBSTER, CARIBBEAN SPINY",120000,999775.073573589,"NWHI"
1982,"CRABS, DECAPODA (ORDER) **",15000,69428.8245537215,"Reef"
1982,"SNAPPERS, LUTJANIDAE (FAMILY) **",425000,1967150.02902211,"Deep"
1982,"SHARKS, CHONDRICHTHYES (CLASS) **",15000,11571.4707589536,"Pelagic"
1983,"SWORDFISH",33000,98013.251783894,"Pelagic"
1983,"MULLETS **",11000,53461.7737003058,"Fishpond"
1983,"SNAPPER, RED",16000,84647.8083588175,"Deep"
1983,"TUNA, BIGEYE",10000,46779.0519877676,"Pelagic"
1983,"BILLFISHES **",447000,590307.084607543,"Pelagic"
1983,"CRUSTACEANS **",70000,249488.277268094,"Reef"
1983,"TUNA, ALBACORE",2213000,3123058.61365953,"Pelagic"
1983,"TUNA, SKIPJACK",13917000,13561469.9286442,"Pelagic"
1983,"SEA BASS, GIANT",50000,142564.729867482,"Deep"
1983,"TUNA, YELLOWFIN",11485000,16448405.7084608,"Pelagic"
1983,"TUNA, LITTLE TUNNY",40000,69054.7910295617,"Pelagic"
1983,"VERTEBRATES, JAWED",224000,3617580.02038736,"Jawed Vertebrates"
1983,"SHRIMPS, PENAEID **",6000,35641.1824668705,"Deep"
1983,"TUNA, BLUEFIN PACIFIC",16000,55689.3476044852,"Pelagic"
1983,"SQUIDS, LOLIGINIDAE **",9000,22275.7390417941,"Reef"
