"Year","Catch.Millions","Revenue.Millions","CommDiv","RevDiv","Species.Type"
1981,0.781,11.5146665080875,1,1,"NWHI"
1982,0.12,0.999775073573589,1,1,"NWHI"
1983,0.209,1.39668883792049,1,1,"NWHI"
1984,0.64,3.64604183870861,1,1,"NWHI"
1985,1.197,7.25580822093652,1,1,"NWHI"
1986,1.146,7.55953324046196,1,1,"NWHI"
1987,0.528,4.96563476964235,1,1,"NWHI"
1988,1.2,8.47242271862675,1,1,"NWHI"
1989,1.276,10.5126447284215,1,1,"NWHI"
1990,0.794,7.839652844896,1,1,"NWHI"
1991,0.193,1.87259209936226,1,1,"NWHI"
1992,0.323,2.83758415797434,1,1,"NWHI"
1993,0.003,0.0362977520136774,1,1,"NWHI"
1994,0.114,1.0952578313253,1,1,"NWHI"
1995,0.045,0.433522004741036,1,1,"NWHI"
1996,0.212,2.32290942529364,1,1,"NWHI"
1997,0.197,1.89401698372533,1,1,"NWHI"
1998,0.126,1.32917784593708,1,1,"NWHI"
1999,0.142652,1.52149993868235,1,1,"NWHI"
1981,3.65,9.89042524435603,1,1,"Jawed Vertebrates"
1982,3,8.56288836162565,1,1,"Jawed Vertebrates"
1983,0.224,3.61758002038736,1,1,"Jawed Vertebrates"
1984,4.4,18.0582260879436,1,1,"Jawed Vertebrates"
1985,2.109,7.55379230353099,1,1,"Jawed Vertebrates"
1986,1.614,6.48922915561947,1,1,"Jawed Vertebrates"
1987,2.069,7.74447654759555,1,1,"Jawed Vertebrates"
1988,5.18,14.9942626613515,1,1,"Jawed Vertebrates"
1989,2.845,7.56302710282279,1,1,"Jawed Vertebrates"
1990,3.072,8.65754828976214,1,1,"Jawed Vertebrates"
1991,5.838,16.0103169528501,1,1,"Jawed Vertebrates"
1992,2.982,9.43496732526467,1,1,"Jawed Vertebrates"
1993,1.893,5.56675524064307,1,1,"Jawed Vertebrates"
1994,3.514,10.0043241141557,1,1,"Jawed Vertebrates"
1995,3.941,10.7921664026956,1,1,"Jawed Vertebrates"
1996,3.429,9.67386895108911,1,1,"Jawed Vertebrates"
1997,6.96,15.1949039952416,1,1,"Jawed Vertebrates"
1998,6.794,15.3097120982026,1,1,"Jawed Vertebrates"
1999,7.110177,16.4801984770075,1,1,"Jawed Vertebrates"
2000,6.685995,17.2053199842221,1,1,"Jawed Vertebrates"
2001,6.521446,15.5775172920709,1,1,"Jawed Vertebrates"
2002,0.020384,0.072302251264282,1,1,"Jawed Vertebrates"
2003,0.015552,0.0666390193872456,1,1,"Jawed Vertebrates"
2004,0.013761,0.0579787949526442,1,1,"Jawed Vertebrates"
2005,0.012246,0.0436760792813591,1,1,"Jawed Vertebrates"
2006,0.013478,0.0425111205529872,1,1,"Jawed Vertebrates"
2007,0.011405,0.032039702497895,1,1,"Jawed Vertebrates"
2008,0.013855,0.0481381026767984,1,1,"Jawed Vertebrates"
2009,0.016003,0.0536422644156268,1,1,"Jawed Vertebrates"
2010,0.017802,0.0687565824680355,1,1,"Jawed Vertebrates"
2011,0.017394,0.0546361253552837,1,1,"Jawed Vertebrates"
2012,0.019669,0.0635661173617604,1,1,"Jawed Vertebrates"
2013,0.016248,0.0583847856114401,1,1,"Jawed Vertebrates"
2014,0.012866,0.0484578030555194,1,1,"Jawed Vertebrates"
2015,0.003297,0.0153913806064601,1,1,"Jawed Vertebrates"
2016,0.013703,0.0554426580162526,1,1,"Jawed Vertebrates"
2017,0.010022,0.0404195318156611,1,1,"Jawed Vertebrates"
2018,0.011854,0.0400662891265379,1,1,"Jawed Vertebrates"
2019,0.011432,0.0371499846424779,1,1,"Jawed Vertebrates"
2020,0.821365,1.719624,1,1,"Jawed Vertebrates"
1981,0.085,0.417732246345472,2.55200183037415,2.11725492697088,"Reef"
1982,0.085,0.361029887679352,3.15793122569061,3.44878443010811,"Reef"
1983,0.093,0.345273955147809,2.06451491638084,2.09794342288848,"Reef"
1984,0.3,1.75637746593451,1,1,"Reef"
1985,0.799,4.80942141697918,1,1,"Reef"
1986,1.178,5.17994496023008,1,1,"Reef"
1987,0.036,0.271106514922264,1.88988157484231,1.99221957215837,"Reef"
1988,0.331,2.13351008459964,1,1,"Reef"
1989,0.571,4.18541847752981,1,1,"Reef"
