"Year","Annual.Pay","Establishments","Total.Employment","Total.Wages.Millions"
2001,NA,NA,NA,NA
2002,29896,101,22523,673.569
2003,NA,NA,NA,NA
2004,NA,87,15594,NA
2005,33810,83,12699,429.11
2006,36481,80,11200,408.56
2007,NA,78,12482,NA
2008,NA,76,11790,NA
2009,31614,75,10950,345
2010,35773,71,9585,343.285
2011,41316,62,7564,312.294
2012,46966,60,6960,326.64
2013,49514,60,7080,350.58
2014,45841,62,6758,309.07
2015,NA,60,6257,NA
2016,63009,62,7564,474.672
2017,62953,62,7006,439.084
2018,63447,60,6300,398.76
2019,59727,63,6993,418.95
