"Species","Pounds.tot"
"BILLFISHES **",25514338
"CRUSTACEANS **",6039537
"DOLPHINFISH",25257591
"JOBFISH, GREEN /UKU",2040080
"LOBSTER, CARIBBEAN SPINY",9246652
"MARLIN, BLUE",20603295
"MARLIN, STRIPED",18661941
"OILFISH",8002375
"OPAH",26235483
"POMFRETS **",14696116
"SCAD, BIGEYE",4317234
"SCAD, MACKEREL",2793434
"SHARKS, CHONDRICHTHYES (CLASS) **",33991393
"SHARKS, MAKO **",2659617
"SNAPPER, RED",6440394
"SNAPPERS, LUTJANIDAE (FAMILY) **",13929313
"SPEARFISHES **",11808865
"SURGEONFISHES **",1640105
"SWORDFISH",125666523
"TUNA, ALBACORE",53127420
"TUNA, BIGEYE",330179118
"TUNA, SKIPJACK",97576018
"TUNA, YELLOWFIN",168140088
"VERTEBRATES, JAWED",84903954
"WAHOO",16575890
