"Year","Catch.Millions","Revenue.Millions","CommDiv","RevDiv"
1981,3.65,9.89042524435603,1,1
1982,3,8.56288836162565,1,1
1983,0.224,3.61758002038736,1,1
1984,4.4,18.0582260879436,1,1
1985,2.109,7.55379230353099,1,1
1986,1.614,6.48922915561947,1,1
1987,2.069,7.74447654759555,1,1
1988,5.18,14.9942626613515,1,1
1989,2.845,7.56302710282279,1,1
1990,3.072,8.65754828976214,1,1
1991,5.838,16.0103169528501,1,1
1992,2.982,9.43496732526467,1,1
1993,1.893,5.56675524064307,1,1
1994,3.514,10.0043241141557,1,1
1995,3.941,10.7921664026956,1,1
1996,3.429,9.67386895108911,1,1
1997,6.96,15.1949039952416,1,1
1998,6.794,15.3097120982026,1,1
1999,7.110177,16.4801984770075,1,1
2000,6.685995,17.2053199842221,1,1
2001,6.521446,15.5775172920709,1,1
2002,0.020384,0.072302251264282,1,1
2003,0.015552,0.0666390193872456,1,1
2004,0.013761,0.0579787949526442,1,1
2005,0.012246,0.0436760792813591,1,1
2006,0.013478,0.0425111205529872,1,1
2007,0.011405,0.032039702497895,1,1
2008,0.013855,0.0481381026767984,1,1
2009,0.016003,0.0536422644156268,1,1
2010,0.017802,0.0687565824680355,1,1
2011,0.017394,0.0546361253552837,1,1
2012,0.019669,0.0635661173617604,1,1
2013,0.016248,0.0583847856114401,1,1
2014,0.012866,0.0484578030555194,1,1
2015,0.003297,0.0153913806064601,1,1
2016,0.013703,0.0554426580162526,1,1
2017,0.010022,0.0404195318156611,1,1
2018,0.011854,0.0400662891265379,1,1
2019,0.011432,0.0371499846424779,1,1
2020,0.821365,1.719624,1,1
