"Year","Catch.Millions","Revenue.Millions","CommDiv"
1981,0.781,11.3683760015127,1
1982,0.12,0.987080004274222,1
1983,0.209,1.37894613060109,1
1984,0.64,3.59972025883054,1
1985,1.197,7.16363598544895,1
1986,1.146,7.46353042142703,1
1987,0.528,4.90256260272352,1
1988,1.2,8.36481346632572,1
1989,1.276,10.3792040247678,1
1990,0.794,7.74007491489621,1
1991,0.193,1.84880326032049,1
1992,0.323,2.80154516319505,1
1993,0.003,0.0358370195708559,1
1994,0.114,1.08135446886499,1
1995,0.045,0.428022890300496,1
1996,0.212,2.2934225548909,1
1997,0.197,1.86997565210383,1
1998,0.126,1.3123154122816,1
1999,0.142652,1.50167461227256,1
