"Year","Catch.Millions","Revenue.Millions","CommDiv","RevDiv"
1981,8.271,20.3828763731511,2.38816580669877,2.42586367629268
1982,10.436,20.5162176556247,3.66525944371285,3.67692413770374
1983,28.162,33.9927777777778,2.73028822949993,2.87661467727068
1984,29.084,36.8237326976649,2.35189575809182,2.54316937987386
1985,11.636,18.9397015853223,3.14259591083416,3.5129836669387
1986,5.374,14.6227231744035,3.25705918432946,3.26791909217477
1987,11.588,33.0470867969212,3.87017328778527,3.80822471022534
1988,12.739,45.8146258509742,3.49548129151001,3.33796397764219
1989,18.297,56.9969139549577,5.21145161420648,4.48425083102491
1990,20.958,88.7738001304385,5.24787479555849,4.55485604030283
1991,20.789,75.0988896084646,5.28096310728704,4.36721230410966
1992,23.508,100.394740932046,4.77539962599946,3.74799574399154
1993,30.519,98.5170486585769,5.21636368666132,4.51502565500982
1994,22.758,85.019793012759,6.12666582818888,4.82576649365212
1995,25.037,78.2127491254147,6.88211430840427,5.41051118052212
1996,27.478,83.1881255657501,6.94266528604767,5.25136620403285
1997,28.795,83.7277701450707,6.03546816611076,5.09779353682714
1998,28.707,72.1819091812354,5.46583028140784,4.27195281846021
1999,28.687527,72.818530187433,5.88142499297445,4.58150790942028
2000,25.028547,77.9928357007206,5.650549528508,4.29556619184672
2001,16.696254,58.1890106542703,4.86423645051391,3.5739957023818
2002,22.253092,66.6901217427376,6.90520468753384,4.7548176311998
2003,21.957785,65.9441407409456,8.41521012787186,5.19051148595657
2004,22.969015,71.1310205849604,7.59695816070688,5.38868575564582
2005,26.894022,86.7699762048721,7.85463019687356,5.37383372581597
2006,24.86311,79.4086378736932,7.99860423184521,5.43986934826628
2007,27.708167,87.9780546028627,6.75609489193943,4.79213711068901
2008,29.525515,97.264029306839,7.10914192295247,4.4424168740675
2009,25.686195,79.7027711502561,7.43899688846905,4.73974031546628
2010,26.737128,93.7620037951987,6.42812465047246,4.12048477888976
2011,28.227902,101.470762573242,7.07196609453329,4.56917504588016
2012,29.818814,122.138981490812,6.85100527817559,4.61205858959854
2013,31.166438,114.54109907298,6.46593236749605,4.07003073077791
2014,32.261208,105.16878344854,6.55817370548912,4.20172935407097
2015,34.34436,110.650433735389,5.85488766328196,3.5783165347134
2016,33.906666,121.61674275434,6.03188039285496,4.09384927739178
2017,36.034421,117.212727295631,5.98102231520618,4.30909157104677
2018,34.59071,118.328099133849,5.97961936916585,3.99154227803715
2019,33.785037,106.915995178219,6.04683666069247,4.02309366605387
2020,25.628541,78.632252,4.03445408642346,3.1592950659414
