"Year","Catch.Millions","Revenue.Millions","CommDiv"
1981,0.1,0.419703168643129,3.38398990340613
1982,0.1,0.367870094185532,4.05576227928804
1983,0.094,0.340887799430891,2.1729769029706
1984,0.3,1.73406335581636,1
1985,0.799,4.74832620747162,1
1986,1.192,5.14844451929296,1.06595833061252
1987,0.045,0.287344094740118,2.7445407538393
1988,0.345,2.13302743391306,1.18504665137606
1989,0.791,4.34997306501548,1.80611384253125
1990,0.69,3.65493742564461,1.90979690790357
1991,0.293,0.411034673189333,1.25972522396236
1992,0.702,2.34629407417586,2.10920582986298
1993,3.759,8.07961895779298,1.86401349169236
1994,1.907,1.32537693750266,1.24676349524235
1995,2.637,1.93860002504714,1.12623782645956
1996,4.545,2.07711982563363,1.08703099061961
1997,5.092,3.52580893114415,1.08619122279285
1998,6.40903,3.42663449356895,1.14103257890856
1999,6.529072,3.65740030172002,1.16224631451337
2000,3.368442,1.71970067893292,1.11370330936612
2001,0.386238,1.20497248367741,1.67741826630728
2002,1.167402,3.83827387903221,10.7256760136669
2003,1.226561,3.77983223467311,10.5011899475818
2004,1.034359,3.18689810228493,10.4539557187766
2005,0.94942,3.1649665773854,10.9736142155125
2006,0.908695,3.00203370935587,9.87295306747252
2007,0.976266,3.30144037904468,9.70353510233936
2008,0.868511,3.34568826991025,11.751079145283
2009,0.918101,3.58934529889924,11.086687848673
2010,1.077456,3.9707280969703,10.8111484888533
2011,0.858217,3.26343686500315,11.7375969731299
2012,0.988687,3.84716886633083,11.7436600047354
2013,0.998107,4.1210784156116,12.2997127420313
2014,0.892197,3.61916155066594,11.9965686019503
2015,0.142044,0.562943311195011,7.99622090642041
2016,0.855807,3.39354900655511,9.76893377489827
2017,0.813631,3.31385253946892,10.4878029887392
2018,0.683376,2.76699595054934,9.84878481825188
2019,1.508386,5.540528,10.828267404963
