"Year","Dollars","Tot_Comm","CommDiv"
1981,44488535.8761717,13396000,4.82246967425788
1982,32962074.4019906,14245000,5.78807369081187
1983,39358245.5394532,28829000,3.09808580482915
1984,62405056.0437118,34824000,3.63925073658786
1985,45306603.0073397,16987000,6.7145066675926
1986,40497870.2845441,10590000,8.09130212846666
1987,53780580.3621128,15566000,6.87059036096561
1988,75566584.1984048,21131000,6.61849262527682
1989,86174466.4086687,24397000,8.69045100821536
1990,114618343.996011,26582000,8.27022147683709
1991,98412957.3127424,27662000,7.02872753093681
1992,117096249.88952,27893000,6.85368470372576
1993,112531499.363358,34582000,7.20288635835706
1994,99604229.9927543,27090000,8.01506555727734
1995,93488634.7292475,29892000,8.79150457701795
1996,98621772.0460376,31870000,8.87764777971851
1997,103592126.99191,36568000,7.63728478994328
1998,92555220.0001993,36426030,7.18019734045092
1999,94901644.6622755,36906840,7.67272989042941
2000,98420499.2637812,32531330,7.21261514966568
2001,76766123.0938687,23870471,6.28283742584224
2002,72256867.4804474,23847956,9.10242065760264
2003,71361253.8747683,23561942,10.9991801072409
2004,76043054.2724276,24393499,9.66933949950907
2005,90990461.7362745,28146339,9.57336706177551
2006,83277458.1910481,26027451,9.73225022244688
2007,91920706.7158706,28938499,8.22045360556425
2008,101115305.679044,30657844,8.50040757747778
2009,84202065.8247788,26913333,9.13839817679444
2010,98226460.8393219,28073710,8.02136955084627
2011,104819023.740326,29294798,8.46572291472187
2012,126119685.20116,31053489,8.30840890962505
2013,119190211.210305,32453284,7.86302587120039
2014,109749428.594019,33479912,7.85656645743785
2015,110975679.435709,34624935,6.14431268740638
2016,125495581.452497,35055268,7.10044941865765
2017,121348081.62239,37166095,6.97744280682654
2018,121286526.903549,35496725,6.84055503224662
2019,219501376,69368922,6.92419504396376
