Year,Species,Pounds,Dollars,Habitat,,,,,,,,,,
1981,"SHRIMPS, PENAEID **",95000,577395.1106,Deep,,,,,,,,,,
1981,"SNAPPER, RED ",80000,291123.5852,Deep,,,,,,,,,,
1981,"SNAPPERS, LUTJANIDAE (FAMILY) **",425000,1906859.483,Deep,,,,,,,,,,
1982,"SHRIMPS, PENAEID **",90000,514104.1689,Deep,,,,,,,,,,
1982,"SNAPPER, RED ",80000,411283.3351,Deep,,,,,,,,,,
1982,"SNAPPERS, LUTJANIDAE (FAMILY) **",425000,1942171.305,Deep,,,,,,,,,,
1983,"SEA BASS, GIANT ",50000,140753.672,Deep,,,,,,,,,,
1983,"SHRIMPS, PENAEID **",6000,35188.41801,Deep,,,,,,,,,,
1983,"SNAPPER, RED ",16000,83572.49276,Deep,,,,,,,,,,
1983,"SNAPPERS, LUTJANIDAE (FAMILY) **",58000,193536.299,Deep,,,,,,,,,,
1984,"SHRIMPS, PENAEID **",4.00E+05,2886568.132,Deep,,,,,,,,,,
1985,"SEA BASS, GIANT ",192000,670690.7901,Deep,,,,,,,,,,
1985,"SHRIMPS, PENAEID **",50000,308600.0568,Deep,,,,,,,,,,
1985,"SNAPPER, RED ",3.00E+05,2129340.392,Deep,,,,,,,,,,
1985,"SNAPPERS, LUTJANIDAE (FAMILY) **",704000,4129068.76,Deep,,,,,,,,,,
1986,"SEA BASS, GIANT ",201000,689685.8698,Deep,,,,,,,,,,
1986,"SNAPPER, RED ",420000,2922090.133,Deep,,,,,,,,,,
1986,"SNAPPERS, LUTJANIDAE (FAMILY) **",657000,3464562.352,Deep,,,,,,,,,,
1987,"SEA BASS, GIANT ",2.00E+05,635699.6069,Deep,,,,,,,,,,
1987,"SHRIMPS, PENAEID **",8000,64947.63785,Deep,,,,,,,,,,
1987,"SNAPPER, RED ",419000,3213924.019,Deep,,,,,,,,,,
1987,"SNAPPERS, LUTJANIDAE (FAMILY) **",711000,4390853.941,Deep,,,,,,,,,,
1988,"SEA BASS, GIANT ",175000,581734.7547,Deep,,,,,,,,,,
1988,"SNAPPER, RED ",2.00E+05,866898.8501,Deep,,,,,,,,,,
1988,"SNAPPERS, LUTJANIDAE (FAMILY) **",1300000,3583562.133,Deep,,,,,,,,,,
1989,"SEA BASS, GIANT ",94000,442680.1858,Deep,,,,,,,,,,
1989,"SNAPPER, RED ",750000,4933506.037,Deep,,,,,,,,,,
1989,"SNAPPERS, LUTJANIDAE (FAMILY) **",564000,2546325.697,Deep,,,,,,,,,,
1990,"SEA BASS, GIANT ",132000,511303.3543,Deep,,,,,,,,,,
1990,"SNAPPER, RED ",553000,4048112.074,Deep,,,,,,,,,,
1990,"SNAPPERS, LUTJANIDAE (FAMILY) **",624000,2716960.238,Deep,,,,,,,,,,
1991,"SEA BASS, GIANT ",119000,651515.5401,Deep,,,,,,,,,,
1991,"SNAPPERS, LUTJANIDAE (FAMILY) **",705000,5807357.105,Deep,,,,,,,,,,
1992,"SEA BASS, GIANT ",81000,375206.9415,Deep,,,,,,,,,,
1992,"SHRIMPS, PENAEID **",3000,20011.03688,Deep,,,,,,,,,,
1992,"SNAPPER, RED ",143000,1157304.966,Deep,,,,,,,,,,
1992,"SNAPPERS, LUTJANIDAE (FAMILY) **",625000,2751517.571,Deep,,,,,,,,,,
1993,"SEA BASS, GIANT ",154000,708595.6142,Deep,,,,,,,,,,
1993,"SHRIMPS, PENAEID **",32000,265519.7359,Deep,,,,,,,,,,
1993,"SNAPPER, RED ",183000,1433480.783,Deep,,,,,,,,,,
1993,"SNAPPERS, LUTJANIDAE (FAMILY) **",644000,3995827.682,Deep,,,,,,,,,,
1994,"SHRIMPS, PENAEID **",63000,519943.2992,Deep,,,,,,,,,,
1994,"SNAPPER, RED ",420000,2929864.542,Deep,,,,,,,,,,
1994,"SNAPPERS, LUTJANIDAE (FAMILY) **",117000,542272.1525,Deep,,,,,,,,,,
1995,"SHRIMPS, PENAEID **",53000,420212.2536,Deep,,,,,,,,,,
1995,"SNAPPER, RED ",533000,3275781.025,Deep,,,,,,,,,,
1995,"SNAPPERS, LUTJANIDAE (FAMILY) **",221000,959146.1848,Deep,,,,,,,,,,
1996,"SHRIMPS, PENAEID **",32000,245449.9055,Deep,,,,,,,,,,
1996,"SNAPPER, RED ",473000,3204655.329,Deep,,,,,,,,,,
1996,"SNAPPERS, LUTJANIDAE (FAMILY) **",173000,730213.469,Deep,,,,,,,,,,
1997,"SHRIMPS, PENAEOID **",34000,256367.6297,Deep,,,,,,,,,,
1997,"SNAPPER, RED ",413000,2899970.306,Deep,,,,,,,,,,
1997,"SNAPPERS, LUTJANIDAE (FAMILY) **",89000,390583.6241,Deep,,,,,,,,,,
1998,"SHRIMPS, PENAEOID **",146000,948446.1389,Deep,,,,,,,,,,
1998,"SNAPPER, RED ",346000,2281639.296,Deep,,,,,,,,,,
1998,"SNAPPERS, LUTJANIDAE (FAMILY) **",120000,501065.8847,Deep,,,,,,,,,,
1999,"SHRIMPS, PENAEOID **",19038,172378.6722,Deep,,,,,,,,,,
1999,"SNAPPER, RED ",386362,2538664.777,Deep,,,,,,,,,,
1999,"SNAPPERS, LUTJANIDAE (FAMILY) **",339798,1165365.675,Deep,,,,,,,,,,
2000,"SHRIMPS, PENAEOID **",886,8538.248209,Deep,,,,,,,,,,
2000,"SNAPPER, RED ",420815,2817391.845,Deep,,,,,,,,,,
2000,"SNAPPERS, LUTJANIDAE (FAMILY) **",326845,1130319.985,Deep,,,,,,,,,,
2001,"SHRIMPS, PENAEOID **",7554,88529.14194,Deep,,,,,,,,,,
2001,"SNAPPER, RED ",304217,1899249.919,Deep,,,,,,,,,,
2001,"SNAPPERS, LUTJANIDAE (FAMILY) **",275664,905461.6902,Deep,,,,,,,,,,
2002,"SHRIMP, MARINE **",449,4662.182331,Deep,,,,,,,,,,
2002,"SNAPPERS, LUTJANIDAE (FAMILY) **",399830,2444141.469,Deep,,,,,,,,,,
2003,"SHRIMP, MARINE **",1620,12474.4066,Deep,,,,,,,,,,
2003,"SNAPPERS, LUTJANIDAE (FAMILY) **",353241,2258539.388,Deep,,,,,,,,,,
2004,"SHRIMP, MARINE **",30,357.5502224,Deep,,,,,,,,,,
2004,"SNAPPERS, LUTJANIDAE (FAMILY) **",371761,2427723.633,Deep,,,,,,,,,,
2005,"SHRIMP, MARINE **",84,970.8852797,Deep,,,,,,,,,,
