"Year","Catch.Millions","Revenue.Millions","CommDiv","Species.Type"
1981,0.1,0.419703168643129,3.38398990340613,"Reef"
1982,0.1,0.367870094185532,4.05576227928804,"Reef"
1983,0.094,0.340887799430891,2.1729769029706,"Reef"
1984,0.3,1.73406335581636,1,"Reef"
1985,0.799,4.74832620747162,1,"Reef"
1986,1.192,5.14844451929296,1.06595833061252,"Reef"
1987,0.045,0.287344094740118,2.7445407538393,"Reef"
1988,0.345,2.13302743391306,1.18504665137606,"Reef"
1989,0.791,4.34997306501548,1.80611384253125,"Reef"
1990,0.69,3.65493742564461,1.90979690790357,"Reef"
1991,0.293,0.411034673189333,1.25972522396236,"Reef"
1992,0.702,2.34629407417586,2.10920582986298,"Reef"
1993,3.759,8.07961895779298,1.86401349169236,"Reef"
1994,1.907,1.32537693750266,1.24676349524235,"Reef"
1995,2.637,1.93860002504714,1.12623782645956,"Reef"
1996,4.545,2.07711982563363,1.08703099061961,"Reef"
1997,5.092,3.52580893114415,1.08619122279285,"Reef"
1998,6.40903,3.42663449356895,1.14103257890856,"Reef"
1999,6.529072,3.65740030172002,1.16224631451337,"Reef"
2000,3.368442,1.71970067893292,1.11370330936612,"Reef"
2001,0.386238,1.20497248367741,1.67741826630728,"Reef"
2002,1.167402,3.83827387903221,10.7256760136669,"Reef"
2003,1.226561,3.77983223467311,10.5011899475818,"Reef"
2004,1.034359,3.18689810228493,10.4539557187766,"Reef"
2005,0.94942,3.1649665773854,10.9736142155125,"Reef"
2006,0.908695,3.00203370935587,9.87295306747252,"Reef"
2007,0.976266,3.30144037904468,9.70353510233936,"Reef"
2008,0.868511,3.34568826991025,11.751079145283,"Reef"
2009,0.918101,3.58934529889924,11.086687848673,"Reef"
2010,1.077456,3.9707280969703,10.8111484888533,"Reef"
2011,0.858217,3.26343686500315,11.7375969731299,"Reef"
2012,0.988687,3.84716886633083,11.7436600047354,"Reef"
2013,0.998107,4.1210784156116,12.2997127420313,"Reef"
2014,0.892197,3.61916155066594,11.9965686019503,"Reef"
2015,0.142044,0.562943311195011,7.99622090642041,"Reef"
2016,0.855807,3.39354900655511,9.76893377489827,"Reef"
2017,0.813631,3.31385253946892,10.4878029887392,"Reef"
2018,0.683376,2.76699595054934,9.84878481825188,"Reef"
2019,1.508386,5.540528,10.828267404963,"Reef"
1981,8.256,20.1166397363516,2.36038131022966,"Pelagic"
1982,10.421,20.2442797172908,3.63245802311818,"Pelagic"
1983,28.161,33.5609536730026,2.72929548678207,"Pelagic"
1984,29.084,36.3559011282477,2.35189575809182,"Pelagic"
1985,11.636,18.6991061090596,3.14259591083416,"Pelagic"
1986,5.36,14.4027382517784,3.20835599499396,"Pelagic"
1987,11.579,32.6076504222896,3.84975133206007,"Pelagic"
1988,12.725,45.2061135035817,3.47033907685777,"Pelagic"
1989,18.077,56.0557504643962,4.97811006434678,"Pelagic"
1990,20.717,87.3993743977949,5.02083390911049,"Pelagic"
1991,20.514,73.8873199664245,5.02847154092981,"Pelagic"
1992,23.034,98.3292324689262,4.45909858198993,"Pelagic"
1993,27.914,92.5165239330347,4.42411756125026,"Pelagic"
1994,20.955,83.328090826431,5.30112583183243,"Pelagic"
1995,22.462,75.8116017853043,5.93448138756324,"Pelagic"
1996,23.006,80.5198415124506,5.95241112713796,"Pelagic"
1997,23.783,79.6473903756964,5.03699323781493,"Pelagic"
1998,22.485,68.9696312529681,4.48670170260247,"Pelagic"
1999,22.379741,69.6007011063504,4.93307776897513,"Pelagic"
2000,21.728347,75.758319115017,4.69105126906084,"Pelagic"
2001,16.375352,57.2799010904221,4.5542491248263,"Pelagic"
2002,22.251904,65.8633547929563,6.90192230773859,"Pelagic"
2003,21.954999,65.2012673268343,8.40683999008116,"Pelagic"
2004,22.962666,70.3240278717222,7.58192146860154,"Pelagic"
2005,26.885708,85.8013971237291,7.8375965138086,"Pelagic"
2006,24.86044,78.5686196505476,7.99168353531794,"Pelagic"
2007,27.707849,87.0620673540832,6.75528351580589,"Pelagic"
2008,29.525365,96.2262852818815,7.10873638450151,"Pelagic"
2009,25.685959,78.7572677146557,7.43827304943793,"Pelagic"
2010,26.737124,92.6831074826274,6.42811036516231,"Pelagic"
2011,28.227902,100.292798964035,7.07196609453329,"Pelagic"
2012,29.818703,120.664426584027,6.85071004524198,"Pelagic"
2013,31.166211,113.154316050142,6.46541607120313,"Pelagic"
2014,32.261164,103.915710859988,6.55806078698959,"Pelagic"
2015,34.34436,109.384937011976,5.85488766328196,"Pelagic"
2016,33.906666,120.169055261259,6.03188039285496,"Pelagic"
2017,36.034421,115.837532990223,5.98102231520618,"Pelagic"
2018,34.590146,116.926181912768,5.97862148402603,"Pelagic"
2019,67.424986,211.140074,5.9777128883277,"Pelagic"
1981,0.781,11.3683760015127,1,"NWHI"
1982,0.12,0.987080004274222,1,"NWHI"
1983,0.209,1.37894613060109,1,"NWHI"
1984,0.64,3.59972025883054,1,"NWHI"
1985,1.197,7.16363598544895,1,"NWHI"
1986,1.146,7.46353042142703,1,"NWHI"
1987,0.528,4.90256260272352,1,"NWHI"
1988,1.2,8.36481346632572,1,"NWHI"
1989,1.276,10.3792040247678,1,"NWHI"
1990,0.794,7.74007491489621,1,"NWHI"
1991,0.193,1.84880326032049,1,"NWHI"
1992,0.323,2.80154516319505,1,"NWHI"
1993,0.003,0.0358370195708559,1,"NWHI"
1994,0.114,1.08135446886499,1,"NWHI"
1995,0.045,0.428022890300496,1,"NWHI"
1996,0.212,2.2934225548909,1,"NWHI"
1997,0.197,1.86997565210383,1,"NWHI"
1998,0.126,1.3123154122816,1,"NWHI"
1999,0.142652,1.50167461227256,1,"NWHI"
1981,3.65,9.76477025311327,1,"Jawed Vertebrates"
1982,3,8.45415744401533,1,"Jawed Vertebrates"
1983,0.224,3.5716244275856,1,"Jawed Vertebrates"
1984,4.4,17.8288031687361,1,"Jawed Vertebrates"
1985,2.109,7.45783470627583,1,"Jawed Vertebrates"
1986,1.614,6.40681873787454,1,"Jawed Vertebrates"
1987,2.069,7.64610827442026,1,"Jawed Vertebrates"
1988,5.18,14.8038187414269,1,"Jawed Vertebrates"
1989,2.845,7.46702693498452,1,"Jawed Vertebrates"
1990,3.072,8.5475815916667,1,"Jawed Vertebrates"
1991,5.838,15.8069267681276,1,"Jawed Vertebrates"
1992,2.982,9.31513766762354,1,"Jawed Vertebrates"
1993,1.893,5.49609563782127,1,"Jawed Vertebrates"
1994,3.514,9.87732776649097,1,"Jawed Vertebrates"
1995,3.941,10.6552705647434,1,"Jawed Vertebrates"
1996,3.429,9.55106944933161,1,"Jawed Vertebrates"
1997,6.96,15.002030473491,1,"Jawed Vertebrates"
1998,6.794,15.1154875214618,1,"Jawed Vertebrates"
1999,7.110177,16.2654595172493,1,"Jawed Vertebrates"
2000,6.685995,16.9862293911743,1,"Jawed Vertebrates"
2001,6.521446,15.3880087685198,1,"Jawed Vertebrates"
2002,0.020384,0.0714064610458911,1,"Jawed Vertebrates"
2003,0.015552,0.0658887467928917,1,"Jawed Vertebrates"
2004,0.013761,0.0573219219444871,1,"Jawed Vertebrates"
2005,0.012246,0.0431902683071221,1,"Jawed Vertebrates"
