"Year","Catch.Millions","CommDiv"
2003,0.059822,1.88130811628737
2004,0.111525,2.17109588809485
2005,0.05851,3.83018744735597
2006,0.076093,3.40406285564865
2007,0.03779,3.87883007208664
2008,0.076813,3.63841557152258
2009,0.053701,2.56600503423086
2010,0.215781,3.34967900067811
2011,0.048692,3.43255477918967
2012,0.11223,4.31855625870708
2013,0.09934,3.59342824276433
2014,0.099942,3.47482253557657
2015,0.049377,3.87995651508664
2016,0.041107,3.79047184574197
2017,0.020177,3.73086966469234
2018,0.117557,3.65288260271097
2019,0.127361,3.54000851382127
2020,0.060894,4.42835720418134
