"Year","Catch.Millions","CommDiv"
2003,0.058883,3.62349894872252
2004,0.095888,3.73873839796323
2005,0.031243,3.39725412121924
2006,0.094615,1.82316194796586
2007,0.013603,2.58131812544452
2008,0.082294,2.98482930820876
2009,0.048986,2.5981177267645
2010,0.127464,4.10961244292102
2011,0.029834,3.0202966678471
2012,0.089233,2.79086224599496
2013,0.089989,3.43840651193724
2014,0.098827,3.26115936696698
2015,0.07783,3.26445503758519
2016,0.063829,3.127641391388
2017,0.035833,2.24406777868276
2018,0.251407,2.27819633669114
2019,0.166504,2.40961750110505
2020,0.212699,2.53899338923924
