"Year","Catch.Millions","CommDiv"
2003,0.759753,3.13847894317596
2004,0.844881,3.39943644439705
2005,0.683643,3.8910629906263
2006,0.427148,3.88961702225816
2007,0.586209,3.20092960852962
2008,1.16473,3.07206956324946
2009,0.523051,3.42680162236607
2010,0.659019,2.91677121521188
2011,0.297309,3.00729329102357
2012,0.445948,3.35463764226535
2013,0.622012,3.03454204997936
2014,0.571183,4.54848024959166
2015,0.681162,3.63332874869201
2016,0.247043,4.40983582611489
2017,0.244082,3.58316329685653
2018,0.626665,4.41475578645568
2019,0.691276,3.61096437073764
2020,0.600124,4.22960340255178
