"Year","Catch.Millions","CommDiv"
2003,11.116699,12.6562915817051
2004,2.886146,27.5176251253209
2005,3.432339,24.8402621112515
2006,3.654591,19.3965665016116
2007,2.5873,14.5705700019547
2008,2.979206,19.9630790671018
2009,5.081921,13.8490546378084
2010,3.6032,18.2049905475182
2011,1.980389,12.5624522768851
2012,2.089106,22.6559183816184
2013,2.82197,12.8335628268613
2014,2.919505,19.2741039517492
2015,3.803567,13.6472813609114
2016,2.105463,17.0021404465268
2017,2.691147,11.0144701199639
2018,9.32166,12.1190828027743
2019,10.097644,10.2436256650307
2020,7.258634,11.6004552497803
