"Species","spec","spec.last"
"ACHILLES TANG","ACHILLES TANG","TANG"
"ACUTE HALFBEAK","ACUTE HALFBEAK","HALFBEAK"
"AFRICAN POMPANO","AFRICAN POMPANO","POMPANO"
"ALBACORE","ALBACORE","ALBACORE"
"AMBON TOBY","AMBON TOBY","TOBY"
"ANCHOVY FAMILY","ANCHOVY","ANCHOVY"
"BALDWINS WRASSE","BALDWINS WRASSE","WRASSE"
"BANDFIN CARDINALFISH","BANDFIN CARDINALFISH","CARDINALFISH"
"BANDTAIL GOATFISH","BANDTAIL GOATFISH","GOATFISH"
"BANDTAIL PARROTFISH","BANDTAIL PARROTFISH","PARROTFISH"
"BARRED FILEFISH","BARRED FILEFISH","FILEFISH"
"BARRED JACK","BARRED JACK","JACK"
"BIGEYE EMPEROR","BIGEYE EMPEROR","EMPEROR"
"BIGEYE FAMILY","BIGEYE","BIGEYE"
"BIGEYE SCAD","BIGEYE SCAD","SCAD"
"BIGEYE TREVALLY","BIGEYE TREVALLY","TREVALLY"
"BIGEYE TUNA","BIGEYE TUNA","TUNA"
"BIGSCALE SOLDIERFISH","BIGSCALE SOLDIERFISH","SOLDIERFISH"
"BILLFISH FAMILY","BILLFISH","BILLFISH"
"BINGHAMS SNAPPER","BINGHAMS SNAPPER","SNAPPER"
"BIRD WRASSE","BIRD WRASSE","WRASSE"
"BLACK MARLIN","BLACK MARLIN","MARLIN"
"BLACK SURGEONFISH","BLACK SURGEONFISH","SURGEONFISH"
"BLACK TREVALLY","BLACK TREVALLY","TREVALLY"
"BLACK TRIGGERFISH","BLACK TRIGGERFISH","TRIGGERFISH"
"BLACK-TIPPED REEF SHARK","BLACK-TIPPED REEF SHARK","SHARK"
"BLACKSIDE HAWKFISH","BLACKSIDE HAWKFISH","HAWKFISH"
"BLACKSIDE RAZORFISH","BLACKSIDE RAZORFISH","RAZORFISH"
"BLACKSPOT SERGEANT","BLACKSPOT SERGEANT","SERGEANT"
"BLACKTAIL SNAPPER","BLACKTAIL SNAPPER","SNAPPER"
"BLACKTAIL WRASSE","BLACKTAIL WRASSE","WRASSE"
"BLUE GOATFISH","BLUE GOATFISH","GOATFISH"
"BLUE MARLIN","BLUE MARLIN","MARLIN"
"BLUE SPINE UNICORNFISH","BLUE SPINE UNICORNFISH","UNICORNFISH"
"BLUEFIN TREVALLY","BLUEFIN TREVALLY","TREVALLY"
"BLUEFIN TUNA","BLUEFIN TUNA","TUNA"
"BLUELINED SURGEONFISH","BLUELINED SURGEONFISH","SURGEONFISH"
"BLUESTRIPE SNAPPER","BLUESTRIPE SNAPPER","SNAPPER"
"BRICK SOLDIERFISH","BRICK SOLDIERFISH","SOLDIERFISH"
"BROWN SURGEONFISH","BROWN SURGEONFISH","SURGEONFISH"
"BULLETHEAD PARROTFISH","BULLETHEAD PARROTFISH","PARROTFISH"
"BUTTERFLYFISH FAMILY","BUTTERFLYFISH","BUTTERFLYFISH"
"BUTTERFLYFISHES","BUTTERFLYFISHES","BUTTERFLYFISHES"
"CARDINALFISH FAMILY","CARDINALFISH","CARDINALFISH"
"CARDINALFISHES","CARDINALFISHES","CARDINALFISHES"
"CHRISTMAS WRASSE","CHRISTMAS WRASSE","WRASSE"
"CIGAR","CIGAR","CIGAR"
"COMBTOOTH BLENNY FAMILY","COMBTOOTH BLENNY","BLENNY"
"CONGER EEL FAMILY","CONGER EEL","EEL"
"CONVICT TANG","CONVICT TANG","TANG"
"CORNETFISH","CORNETFISH","CORNETFISH"
"DAMSELFISH FAMILY","DAMSELFISH","DAMSELFISH"
"DELICATE ROUND HERRING","DELICATE ROUND HERRING","HERRING"
"DEVIL SCORPIONFISH","DEVIL SCORPIONFISH","SCORPIONFISH"
"DOLPHIN","DOLPHIN","DOLPHIN"
"DOUBLEBAR GOATFISH","DOUBLEBAR GOATFISH","GOATFISH"
"DRAGON MORAY","DRAGON MORAY","MORAY"
"DRAGON WRASSE","DRAGON WRASSE","WRASSE"
"EAGLE RAY FAMILY","EAGLE RAY","RAY"
"EPAULETTE SOLDIERFISH","EPAULETTE SOLDIERFISH","SOLDIERFISH"
"EYESTRIPED SURGEONFISH","EYESTRIPED SURGEONFISH","SURGEONFISH"
"FLOWERY FLOUNDER","FLOWERY FLOUNDER","FLOUNDER"
"FRIGATE MACKEREL","FRIGATE MACKEREL","MACKEREL"
"GALAPAGOS SHARK","GALAPAGOS SHARK","SHARK"
"GIANT TREVALLY","GIANT TREVALLY","TREVALLY"
"GLASSEYE SNAPPER","GLASSEYE SNAPPER","SNAPPER"
"GOATFISH FAMILY","GOATFISH","GOATFISH"
"GOATFISHES","GOATFISHES","GOATFISHES"
"GOBY FAMILY","GOBY","GOBY"
"GOLDEN TREVALLY","GOLDEN TREVALLY","TREVALLY"
"GOLDRING SURGEONFISH","GOLDRING SURGEONFISH","SURGEONFISH"
"GOLDSPOT HERRING","GOLDSPOT HERRING","HERRING"
"GRAY CHUB","GRAY CHUB","CHUB"
"GRAY REEF SHARK","GRAY REEF SHARK","SHARK"
"GREAT BARRACUDA","GREAT BARRACUDA","BARRACUDA"
"GREATER AMBERJACK","GREATER AMBERJACK","AMBERJACK"
"GREEN HALFBEAK","GREEN HALFBEAK","HALFBEAK"
"GREEN JOBFISH","GREEN JOBFISH","JOBFISH"
"HALFBEAK FISH FAMILY","HALFBEAK FISH","FISH"
"HAWAIIAN ANCHOVIES","HAWAIIAN ANCHOVIES","ANCHOVIES"
"HAWAIIAN BIGEYE","HAWAIIAN BIGEYE","BIGEYE"
"HAWAIIAN FLAGTAIL","HAWAIIAN FLAGTAIL","FLAGTAIL"
"HAWAIIAN GROUPER","HAWAIIAN GROUPER","GROUPER"
"HAWAIIAN HOGFISH","HAWAIIAN HOGFISH","HOGFISH"
"HAWAIIAN LIONFISH","HAWAIIAN LIONFISH","LIONFISH"
"HAWAIIAN SERGEANT","HAWAIIAN SERGEANT","SERGEANT"
"HAWAIIAN SILVERSIDE","HAWAIIAN SILVERSIDE","SILVERSIDE"
"HAWAIIAN SQUIRRELFISH","HAWAIIAN SQUIRRELFISH","SQUIRRELFISH"
"HAWAIIAN SURF SARDINE","HAWAIIAN SURF SARDINE","SARDINE"
"HAWAIIAN TENPOUNDER","HAWAIIAN TENPOUNDER","TENPOUNDER"
"HAWKFISH FAMILY","HAWKFISH","HAWKFISH"
"HELLERS BARRACUDA","HELLERS BARRACUDA","BARRACUDA"
"HELMET GURNARD","HELMET GURNARD","GURNARD"
"HERRING FAMILY","HERRING","HERRING"
"HIGHFIN RUDDERFISH","HIGHFIN RUDDERFISH","RUDDERFISH"
"HOUNDFISH","HOUNDFISH","HOUNDFISH"
"IRIDESCENT CARDINALFISH","IRIDESCENT CARDINALFISH","CARDINALFISH"
"IRONJAW SNAPPER","IRONJAW SNAPPER","SNAPPER"
"ISLAND JACK","ISLAND JACK","JACK"
"JACK FAMILY","JACK","JACK"
"KAWAKAWA","KAWAKAWA","KAWAKAWA"
"KEELTAIL NEEDLEFISH","KEELTAIL NEEDLEFISH","NEEDLEFISH"
"LAGOON TRIGGERFISH","LAGOON TRIGGERFISH","TRIGGERFISH"
"LARGE HEADED SCORPIONFISH","LARGE HEADED SCORPIONFISH","SCORPIONFISH"
"LEATHERBACK","LEATHERBACK","LEATHERBACK"
"LEFTEYE FLOUNDER FAMILY","LEFTEYE FLOUNDER","FLOUNDER"
"LEI TRIGGERFISH","LEI TRIGGERFISH","TRIGGERFISH"
"LIZARDFISH FAMILY","LIZARDFISH","LIZARDFISH"
"LONGNOSE BUTTERFLYFISH","LONGNOSE BUTTERFLYFISH","BUTTERFLYFISH"
"LONGTAILED RED SNAPPER","LONGTAILED RED SNAPPER","SNAPPER"
"LOWFIN CHUB","LOWFIN CHUB","CHUB"
"MACKEREL FAMILY","MACKEREL","MACKEREL"
"MACKEREL SCAD","MACKEREL SCAD","SCAD"
"MANYBAR GOATFISH","MANYBAR GOATFISH","GOATFISH"
"MILKFISH","MILKFISH","MILKFISH"
"MOORISH IDOL","MOORISH IDOL","IDOL"
"MORAY FAMILY","MORAY","MORAY"
"MULLET FAMILY","MULLET","MULLET"
"MULLETS","MULLETS","MULLETS"
"MUSTACHE CONGER EEL","MUSTACHE CONGER EEL","EEL"
"NEEDLE-TOOTH MORAY","NEEDLE-TOOTH MORAY","MORAY"
"NEEDLEFISH","NEEDLEFISH","NEEDLEFISH"
"NEEDLEFISH FAMILY","NEEDLEFISH","NEEDLEFISH"
"OILFISH","OILFISH","OILFISH"
"ORANGEBAND SURGEONFISH","ORANGEBAND SURGEONFISH","SURGEONFISH"
"ORANGESPINE UNICORNFISH","ORANGESPINE UNICORNFISH","UNICORNFISH"
"ORNATE WRASSE","ORNATE WRASSE","WRASSE"
"PALENOSE PARROTFISH","PALENOSE PARROTFISH","PARROTFISH"
"PALETAIL UNICORNFISH","PALETAIL UNICORNFISH","UNICORNFISH"
"PARROTFISH FAMILY","PARROTFISH","PARROTFISH"
"PEACOCK GROUPER","PEACOCK GROUPER","GROUPER"
"PEACOCK RAZORFISH","PEACOCK RAZORFISH","RAZORFISH"
"PEARL WRASSE","PEARL WRASSE","WRASSE"
"PFLUGERS GOATFISH","PFLUGERS GOATFISH","GOATFISH"
"PINK SNAPPER","PINK SNAPPER","SNAPPER"
"PINKTAIL DURGON","PINKTAIL DURGON","DURGON"
"POLYNESIAN HALFBEAK","POLYNESIAN HALFBEAK","HALFBEAK"
"POMFRET FAMILY","POMFRET","POMFRET"
"POMFRETS","POMFRETS","POMFRETS"
"POMPANO DOLPHIN","POMPANO DOLPHIN","DOLPHIN"
"PORCUPINEFISH","PORCUPINEFISH","PORCUPINEFISH"
"PORCUPINEFISH FAMILY","PORCUPINEFISH","PORCUPINEFISH"
"PSYCHEDELIC WRASSE","PSYCHEDELIC WRASSE","WRASSE"
"PUFFER FAMILY","PUFFER","PUFFER"
"PUFFERS","PUFFERS","PUFFERS"
"RACOON BUTTERFLYFISH","RACOON BUTTERFLYFISH","BUTTERFLYFISH"
"RAINBOW RUNNER","RAINBOW RUNNER","RUNNER"
"RAZORFISH GENUS","RAZORFISH GENUS","GENUS"
"REDLIP PARROTFISH","REDLIP PARROTFISH","PARROTFISH"
"REEF TRIGGERFISH","REEF TRIGGERFISH","TRIGGERFISH"
"REGAL PARROTFISH","REGAL PARROTFISH","PARROTFISH"
"REQUIEM SHARK FAMILY","REQUIEM SHARK","SHARK"
"RINGTAIL SURGEONFISH","RINGTAIL SURGEONFISH","SURGEONFISH"
"RINGTAIL WRASSE","RINGTAIL WRASSE","WRASSE"
"ROCK DAMSELFISH","ROCK DAMSELFISH","DAMSELFISH"
"ROUGHSCALE SOLDIERFISH","ROUGHSCALE SOLDIERFISH","SOLDIERFISH"
"RUBY SNAPPER","RUBY SNAPPER","SNAPPER"
"SABER SQUIRRELFISH","SABER SQUIRRELFISH","SQUIRRELFISH"
"SADDLE WRASSE","SADDLE WRASSE","WRASSE"
"SAILFIN TANG","SAILFIN TANG","TANG"
"SAILFISH","SAILFISH","SAILFISH"
"SANDBAR SHARK","SANDBAR SHARK","SHARK"
"SCALLOPED HAMMERHEAD SHARK","SCALLOPED HAMMERHEAD SHARK","SHARK"
"SCORPIONFISH FAMILY","SCORPIONFISH","SCORPIONFISH"
"SCRAWLED FILEFISH","SCRAWLED FILEFISH","FILEFISH"
"SEA CHUB FAMILY","SEA CHUB","CHUB"
"SEA CHUBS","SEA CHUBS","CHUBS"
"SHARPNOSE MULLET","SHARPNOSE MULLET","MULLET"
"SHORTBILL SPEARFISH","SHORTBILL SPEARFISH","SPEARFISH"
"SIDESPOT GOATFISH","SIDESPOT GOATFISH","GOATFISH"
"SIX-FINGERED THREADFIN","SIX-FINGERED THREADFIN","THREADFIN"
"SKIPJACK TUNA","SKIPJACK TUNA","TUNA"
"SLEEK UNICORNFISH","SLEEK UNICORNFISH","UNICORNFISH"
"SLENDER LIZARDFISH","SLENDER LIZARDFISH","LIZARDFISH"
"SMALLMOUTH BONEFISH","SMALLMOUTH BONEFISH","BONEFISH"
"SMALLTOOTH JOBFISH","SMALLTOOTH JOBFISH","JOBFISH"
"SNAKE EEL FAMILY","SNAKE EEL","EEL"
"SOLES","SOLES","SOLES"
"SPECKLED BALOONFISH","SPECKLED BALOONFISH","BALOONFISH"
"SPECKLED SCORPIONFISH","SPECKLED SCORPIONFISH","SCORPIONFISH"
"SPECTACLED PARROTFISH","SPECTACLED PARROTFISH","PARROTFISH"
"SPINY PORCUPINEFISH","SPINY PORCUPINEFISH","PORCUPINEFISH"
"SPOTTED BOXFISH","SPOTTED BOXFISH","BOXFISH"
"SQUIRRELFISH FAMILY","SQUIRRELFISH","SQUIRRELFISH"
"STAREYE PARROTFISH","STAREYE PARROTFISH","PARROTFISH"
"STINGRAY FAMILY","STINGRAY","STINGRAY"
"STOCKY HAWKFISH","STOCKY HAWKFISH","HAWKFISH"
"STOUT MORAY EEL","STOUT MORAY EEL","EEL"
"STRIPEBELLY PUFFER","STRIPEBELLY PUFFER","PUFFER"
"STRIPED BONITO","STRIPED BONITO","BONITO"
"STRIPED MARLIN","STRIPED MARLIN","MARLIN"
"STRIPED MULLET","STRIPED MULLET","MULLET"
"SUMMER MULLET","SUMMER MULLET","MULLET"
"SURGE WRASSE","SURGE WRASSE","WRASSE"
"SURGEON FISH FAMILY","SURGEON FISH","FISH"
"TAHITIAN SQUIRRELFISH","TAHITIAN SQUIRRELFISH","SQUIRRELFISH"
"TEARDROP BUTTERFLYFISH","TEARDROP BUTTERFLYFISH","BUTTERFLYFISH"
"THICK LIPPED JACK","THICK LIPPED JACK","JACK"
"THREADFIN BUTTERFLYFISH","THREADFIN BUTTERFLYFISH","BUTTERFLYFISH"
"TILAPIA","TILAPIA","TILAPIA"
"TITAN SCORPIONFISH","TITAN SCORPIONFISH","SCORPIONFISH"
"TRIGGERFISH FAMILY","TRIGGERFISH","TRIGGERFISH"
"TRUMPETFISH","TRUMPETFISH","TRUMPETFISH"
"UNICORN SURGEONFISH GENUS","UNICORN SURGEONFISH GENUS","GENUS"
"VON SIEBOLDS SNAPPER","VON SIEBOLDS SNAPPER","SNAPPER"
"WAHOO","WAHOO","WAHOO"
"WHITE BAR SURGEONFISH","WHITE BAR SURGEONFISH","SURGEONFISH"
"WHITE TIP REEF SHARK","WHITE TIP REEF SHARK","SHARK"
"WHITEMARGIN UNICORN FISH","WHITEMARGIN UNICORN FISH","FISH"
"WHITEMOUTH MORAY EEL","WHITEMOUTH MORAY EEL","EEL"
"WHITEMOUTH TREVALLY","WHITEMOUTH TREVALLY","TREVALLY"
"WHITESADDLE GOATFISH","WHITESADDLE GOATFISH","GOATFISH"
"WHITETIP SOLDIERFISH","WHITETIP SOLDIERFISH","SOLDIERFISH"
"WRASSE FAMILY","WRASSE","WRASSE"
"YELLOW TANG","YELLOW TANG","TANG"
"YELLOWBAR PARROTFISH","YELLOWBAR PARROTFISH","PARROTFISH"
"YELLOWBARBEL GOATFISH","YELLOWBARBEL GOATFISH","GOATFISH"
"YELLOWFIN GOATFISH","YELLOWFIN GOATFISH","GOATFISH"
"YELLOWFIN SOLDIERFISH","YELLOWFIN SOLDIERFISH","SOLDIERFISH"
"YELLOWFIN SURGEONFISH","YELLOWFIN SURGEONFISH","SURGEONFISH"
"YELLOWFIN TUNA","YELLOWFIN TUNA","TUNA"
"YELLOWHEAD MORAY EEL","YELLOWHEAD MORAY EEL","EEL"
