Species,Group,Habitat
HAWAIIAN ANCHOVIES,ANCHOVIES,Coastal
ANCHOVY FAMILY,ANCHOVIES,Coastal
SMALLMOUTH BONEFISH,BONEFISH,Coastal
BINGHAMS SNAPPER,SNAPPERS,Deep
LONGTAILED RED SNAPPER,SNAPPERS,Deep
PINK SNAPPER,SNAPPERS,Deep
RUBY SNAPPER,SNAPPERS,Deep
VON SIEBOLDS SNAPPER,SNAPPERS,Deep
MULLET FAMILY,MULLETS,Fishpond
SHARPNOSE MULLET,MULLETS,Fishpond
STRIPED MULLET,MULLETS,Fishpond
SUMMER MULLET,MULLETS,Fishpond
MULLETS,MULLETS,Fishpond
TILAPIA,TILAPIA,Fishpond
BILLFISH FAMILY,BILLFISH FAMILY,Pelagic
STRIPED BONITO,STRIPED BONITO,Pelagic
FRIGATE MACKEREL,MACKERELS,Pelagic
MACKEREL FAMILY,MACKERELS,Pelagic
BLACK MARLIN,MARLINS,Pelagic
BLUE MARLIN,MARLINS,Pelagic
STRIPED MARLIN,MARLINS,Pelagic
OILFISH,OILFISH,Pelagic
POMFRET FAMILY,POMFRETS,Pelagic
POMFRETS,POMFRETS,Pelagic
AFRICAN POMPANO,POMPANO,Pelagic
SAILFISH,SAILFISH,Pelagic
SHORTBILL SPEARFISH,SHORTBILL SPEARFISH,Pelagic
ALBACORE,TUNA,Pelagic
KAWAKAWA,TUNA,Pelagic
BIGEYE TUNA,TUNA,Pelagic
BLUEFIN TUNA,TUNA,Pelagic
SKIPJACK TUNA,TUNA,Pelagic
YELLOWFIN TUNA,TUNA,Pelagic
WAHOO,WAHOO,Pelagic
GREATER AMBERJACK,AMBERJACK,Reef
SPECKLED BALOONFISH,SPECKLED BALOONFISH,Reef
GREAT BARRACUDA,BARRACUDAS,Reef
HELLERS BARRACUDA,BARRACUDAS,Reef
BIGEYE FAMILY,BIGEYE,Reef
HAWAIIAN BIGEYE,BIGEYE,Reef
COMBTOOTH BLENNY FAMILY,BLENNY,Reef
SPOTTED BOXFISH,SPOTTED BOXFISH,Reef
BUTTERFLYFISH FAMILY,BUTTERFLYFISHES,Reef
LONGNOSE BUTTERFLYFISH,BUTTERFLYFISHES,Reef
RACOON BUTTERFLYFISH,BUTTERFLYFISHES,Reef
TEARDROP BUTTERFLYFISH,BUTTERFLYFISHES,Reef
THREADFIN BUTTERFLYFISH,BUTTERFLYFISHES,Reef
BUTTERFLYFISHES,BUTTERFLYFISHES,Reef
BANDFIN CARDINALFISH,CARDINALFISHES,Reef
CARDINALFISH FAMILY,CARDINALFISHES,Reef
IRIDESCENT CARDINALFISH,CARDINALFISHES,Reef
CARDINALFISHES,CARDINALFISHES,Reef
GRAY CHUB,CHUBS,Reef
LOWFIN CHUB,CHUBS,Reef
SEA CHUB FAMILY,CHUBS,Reef
SEA CHUBS,CHUBS,Reef
CORNETFISH,CORNETFISH,Reef
DAMSELFISH FAMILY,DAMSELFISHES,Reef
ROCK DAMSELFISH,DAMSELFISHES,Reef
BLACKSPOT SERGEANT,DAMSELFISHES,Reef
HAWAIIAN SERGEANT,DAMSELFISHES,Reef
DOLPHIN,DOLPHINS,Reef
POMPANO DOLPHIN,DOLPHINS,Reef
CONGER EEL FAMILY,EELS,Reef
MUSTACHE CONGER EEL,EELS,Reef
SNAKE EEL FAMILY,EELS,Reef
STOUT MORAY EEL,EELS,Reef
WHITEMOUTH MORAY EEL,EELS,Reef
YELLOWHEAD MORAY EEL,EELS,Reef
YELLOWMARGIN MORAY EEL,EELS,Reef
ZEBRA MORAY EEL,EELS,Reef
BIGEYE EMPEROR,BIGEYE EMPEROR,Reef
BARRED FILEFISH,FILEFISHES,Reef
SCRAWLED FILEFISH,FILEFISHES,Reef
HAWAIIAN FLAGTAIL,HAWAIIAN FLAGTAIL,Reef
FLOWERY FLOUNDER,FLOUNDERS,Reef
LEFTEYE FLOUNDER FAMILY,FLOUNDERS,Reef
BANDTAIL GOATFISH,GOATFISHES,Reef
BLUE GOATFISH,GOATFISHES,Reef
DOUBLEBAR GOATFISH,GOATFISHES,Reef
GOATFISH FAMILY,GOATFISHES,Reef
MANYBAR GOATFISH,GOATFISHES,Reef
PFLUGERS GOATFISH,GOATFISHES,Reef
SIDESPOT GOATFISH,GOATFISHES,Reef
WHITESADDLE GOATFISH,GOATFISHES,Reef
YELLOWBARBEL GOATFISH,GOATFISHES,Reef
YELLOWFIN GOATFISH,GOATFISHES,Reef
YELLOWSTRIPE GOATFISH,GOATFISHES,Reef
GOATFISHES,GOATFISHES,Reef
GOBY FAMILY,GOBIES,Fishpond
HAWAIIAN GROUPER,GROUPERS,Reef
PEACOCK GROUPER,GROUPERS,Reef
HELMET GURNARD,HELMET GURNARD,Reef
HALFBEAK FISH FAMILY,HALFBEAKS,Reef
ACUTE HALFBEAK,HALFBEAKS,Reef
GREEN HALFBEAK,HALFBEAKS,Reef
POLYNESIAN HALFBEAK,HALFBEAKS,Reef
BLACKSIDE HAWKFISH,HAWKFISHES,Reef
HAWKFISH FAMILY,HAWKFISHES,Reef
STOCKY HAWKFISH,HAWKFISHES,Reef
DELICATE ROUND HERRING,HERRINGS,Reef
GOLDSPOT HERRING,HERRINGS,Reef
HERRING FAMILY,HERRINGS,Reef
HAWAIIAN HOGFISH,HAWAIIAN HOGFISH,Reef
HOUNDFISH,HOUNDFISH,Reef
BARRED JACK,JACKS,Reef
ISLAND JACK,JACKS,Reef
JACK FAMILY,JACKS,Reef
THICK LIPPED JACK,JACKS,Reef
RAINBOW RUNNER,JACKS,Reef
GREEN JOBFISH,JOBFISHES,Reef
SMALLTOOTH JOBFISH,JOBFISHES,Reef
HAWAIIAN LIONFISH,HAWAIIAN LIONFISH,Reef
LIZARDFISH FAMILY,LIZARDFISHES,Reef
SLENDER LIZARDFISH,LIZARDFISHES,Reef
MILKFISH,MILKFISH,Fishpond
MOORISH IDOL,MOORISH IDOL,Reef
DRAGON MORAY,MORAYS,Reef
MORAY FAMILY,MORAYS,Reef
NEEDLE-TOOTH MORAY,MORAYS,Reef
KEELTAIL NEEDLEFISH,NEEDLEFISHES,Reef
NEEDLEFISH,NEEDLEFISHES,Reef
NEEDLEFISH FAMILY,NEEDLEFISHES,Reef
BANDTAIL PARROTFISH,PARROTFISHES,Reef
BULLETHEAD PARROTFISH,PARROTFISHES,Reef
PALENOSE PARROTFISH,PARROTFISHES,Reef
PARROTFISH FAMILY,PARROTFISHES,Reef
REDLIP PARROTFISH,PARROTFISHES,Reef
REGAL PARROTFISH,PARROTFISHES,Reef
SPECTACLED PARROTFISH,PARROTFISHES,Reef
STAREYE PARROTFISH,PARROTFISHES,Reef
YELLOWBAR PARROTFISH,PARROTFISHES,Reef
PORCUPINEFISH,PORCUPINEFISHES,Reef
PORCUPINEFISH FAMILY,PORCUPINEFISHES,Reef
SPINY PORCUPINEFISH,PORCUPINEFISHES,Reef
PUFFER FAMILY,PUFFERS,Reef
STRIPEBELLY PUFFER,PUFFERS,Reef
PUFFERS,PUFFERS,Reef
AMBON TOBY,PUFFERS,Reef
EAGLE RAY FAMILY,RAYS,Reef
RAZORFISH GENUS,RAZORFISHES,Reef
BLACKSIDE RAZORFISH,RAZORFISHES,Reef
PEACOCK RAZORFISH,RAZORFISHES,Reef
HIGHFIN RUDDERFISH,HIGHFIN RUDDERFISH,Reef
HAWAIIAN SURF SARDINE,HAWAIIAN SURF SARDINE,Reef
BIGEYE SCAD,SCADS,Reef
MACKEREL SCAD,SCADS,Reef
DEVIL SCORPIONFISH,SCORPIONFISHES,Reef
LARGE HEADED SCORPIONFISH,SCORPIONFISHES,Reef
SCORPIONFISH FAMILY,SCORPIONFISHES,Reef
SPECKLED SCORPIONFISH,SCORPIONFISHES,Reef
TITAN SCORPIONFISH,SCORPIONFISHES,Reef
BLACK-TIPPED REEF SHARK,SHARKS,Reef
GALAPAGOS SHARK,SHARKS,Reef
GRAY REEF SHARK,SHARKS,Reef
REQUIEM SHARK FAMILY,SHARKS,Reef
SANDBAR SHARK,SHARKS,Reef
SCALLOPED HAMMERHEAD SHARK,SHARKS,Reef
WHITE TIP REEF SHARK,SHARKS,Reef
HAWAIIAN SILVERSIDE,HAWAIIAN SILVERSIDE,Reef
BLACKTAIL SNAPPER,SNAPPERS,Reef
