"Year","Catch.Millions","SE","Trips.Millions","SE.Trips","CommDiv"
2003,12.083798,3528469.016,2.402259,117710.691,15.8474991564942
2004,4.087461,269772.426,2.870791,137797.968,34.7739938773158
2005,4.230473,219984.596,2.470403,113638.538,31.2883865648486
2006,4.721089,306870.785,2.644092,118984.14,26.8235489396333
2007,3.329063,729064.797,2.576671,141716.905,20.181430462918
2008,4.354452,287393.832,2.530598,131591.096,24.6505138628573
2009,5.838841,735693.966,2.163026,97336.17,18.7892098628244
2010,4.893106,406127.798,2.39023,131462.65,26.9581401705292
2011,2.503623,282909.399,1.381713,84284.493,18.5849878329798
2012,2.763251,182374.566,1.519488,89649.792,31.145786930254
2013,3.655893,288815.547,1.512876,92285.436,19.0242511870483
2014,3.718347,226819.167,1.374405,82464.3,27.93061858946
2015,4.638345,343237.53,1.431048,93018.12,19.2539685294552
2016,2.483292,146514.228,1.024198,69645.464,24.0531161483087
2017,3.010371,222767.454,1.279884,98551.068,14.7179193962666
2018,10.361796,756411.108,3.420697,194979.729,16.4138295743053
2019,11.154561,825437.514,3.479082,173954.1,13.7645334702468
2020,8.187146,548538.782,3.901794,171678.936,16.0726918266942
2021,9.413688,1280261.568,3.39247,169623.5,NA
