Variable,Hawaii data,category_text,category_numeric,date,data source(s),units
residents_00,"1,211,537",Human population changes near coral reefs,5,1/1/00,1,number of people
residents_10,"1,363,817",Human population changes near coral reefs,5,1/1/10,1,number of people
residents_11,"1,378,323",Human population changes near coral reefs,5,1/1/11,2;3,number of people
residents_12,"1,392,772",Human population changes near coral reefs,5,1/1/12,2;3,number of people
residents_13,"1,408,038",Human population changes near coral reefs,5,1/1/13,2;3,number of people
residents_14,"1,417,710",Human population changes near coral reefs,5,1/1/14,2;3,number of people
residents_15,"1,426,320",Human population changes near coral reefs,5,1/1/15,2;3,number of people
residents_16,"1,428,683",Human population changes near coral reefs,5,1/1/16,2;3,number of people
residents_17,"1,427,538",Human population changes near coral reefs,5,1/1/17,2;3,number of people
visitors_10,"7,018,133",Human population changes near coral reefs,5,1/1/10,3;4;5;6,number of people
visitors_11,"7,299,047",Human population changes near coral reefs,5,1/1/11,3;4;5;6,number of people
visitors_12,"8,028,743",Human population changes near coral reefs,5,1/1/12,3;4;5;6,number of people
visitors_13,"8,174,461",Human population changes near coral reefs,5,1/1/13,3;4;5;6,number of people
visitors_14,"8,320,785",Human population changes near coral reefs,5,1/1/14,3;4;5;6,number of people
visitors_15,"8,679,564",Human population changes near coral reefs,5,1/1/15,3;4;5;6,number of people
visitors_16,"8,934,277",Human population changes near coral reefs,5,1/1/16,3;4;5;6,number of people
visitors_17,"9,404,346",Human population changes near coral reefs,5,1/1/17,3;4;5;6,number of people
hcost_00,$953.50 ,Human population changes near coral reefs,5,1/1/00,1,year 1999 US dollars
hhsize_00,2.92,Human population changes near coral reefs,5,1/1/00,1,number of people
hu_00,"403,240",Human population changes near coral reefs,5,1/1/00,1,number of housing units
huown_00,"227,888",Human population changes near coral reefs,5,1/1/00,1,number of housing units
hurent_00,"175,352",Human population changes near coral reefs,5,1/1/00,1,number of housing units
kit_00,1.40%,Human population changes near coral reefs,5,1/1/00,1,percent
medage_00,36.2,Human population changes near coral reefs,5,1/1/00,1,number of years
pct18_00,8.71%,Human population changes near coral reefs,5,1/1/00,1,percent
pct5_00,6.50%,Human population changes near coral reefs,5,1/1/00,1,percent
pct65_00,13.26%,Human population changes near coral reefs,5,1/1/00,1,percent
pctfem_00,49.76%,Human population changes near coral reefs,5,1/1/00,1,percent
rural_00,"103,312",Human population changes near coral reefs,5,1/1/00,1,number of people
urban_00,"1,108,225",Human population changes near coral reefs,5,1/1/00,1,number of people
urbarea_00,"835,912",Human population changes near coral reefs,5,1/1/00,1,number of people
urbclus_00,"272,313",Human population changes near coral reefs,5,1/1/00,1,number of people
hcost_10,"$2,335.00 ",Human population changes near coral reefs,5,1/1/10,1;2,year 2009 US dollars
hhsize_10,3.09,Human population changes near coral reefs,5,1/1/10,1;2,number of people
hu_10,"455,338",Human population changes near coral reefs,5,1/1/10,1;2,number of housing units
huown_10,"262,682",Human population changes near coral reefs,5,1/1/10,1;2,number of housing units
hurent_10,"192,656",Human population changes near coral reefs,5,1/1/10,1;2,number of housing units
kit_10,1.90%,Human population changes near coral reefs,5,1/1/10,1;2,percent
medage_10,38.6,Human population changes near coral reefs,5,1/1/10,1;2,number of years
pct18_10,22.30%,Human population changes near coral reefs,5,1/1/10,1;2,percent
pct5_10,6.40%,Human population changes near coral reefs,5,1/1/10,1;2,percent
pct65_10,14.30%,Human population changes near coral reefs,5,1/1/10,1;2,percent
pctfem_10,49.90%,Human population changes near coral reefs,5,1/1/10,1;2,percent
rural_10,"109,812",Human population changes near coral reefs,5,1/1/10,1;2,number of people
urban_10,"1,250,489",Human population changes near coral reefs,5,1/1/10,1;2,number of people
urbarea_10,"972,075",Human population changes near coral reefs,5,1/1/10,1;2,number of people
urbclus_10,"278,414",Human population changes near coral reefs,5,1/1/10,1;2,number of people
totalcommyield_05,"28,139,038.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/05,7;8;9,lbs
totalcommyield_06,"26,020,904.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/06,7;8;9,lbs
totalcommyield_07,"28,934,161.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/07,7;8;9,lbs
totalcommyield_08,"30,651,522.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/08,7;8;9,lbs
totalcommyield_09,"26,906,045.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/09,7;8;9,lbs
totalcommyield_10,"28,068,656.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/10,7;8;9,lbs
totalcommyield_11,"29,289,341.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/11,7;8;9,lbs
totalcommyield_12,"31,047,571.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/12,7;8;9,lbs
totalcommyield_13,"32,447,284.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/13,7;8;9,lbs
totalcommyield_14,"33,473,842.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/14,7;8;9,lbs
totalcommyield_15,"34,622,881.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/15,7;8;9,lbs
totalcommyield_16,"35,051,334.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/16,7;8;9,lbs
totalcommreefyield_05,"990,802.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/05,7;8;9,lbs
totalcommreefyield_06,"868,748.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/06,7;8;9,lbs
totalcommreefyield_07,"924,203.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/07,7;8;9,lbs
totalcommreefyield_08,"1,038,465.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/08,7;8;9,lbs
totalcommreefyield_09,"995,239.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/09,7;8;9,lbs
totalcommreefyield_10,"1,064,062.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/10,7;8;9,lbs
totalcommreefyield_11,"806,573.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/11,7;8;9,lbs
totalcommreefyield_12,"1,210,102.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/12,7;8;9,lbs
totalcommreefyield_13,"1,651,459.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/13,7;8;9,lbs
totalcommreefyield_14,"1,679,284.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/14,7;8;9,lbs
totalcommreefyield_15,"1,376,071.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/15,7;8;9,lbs
totalcommreefyield_16,"1,516,323.00",Economic impact of coral reef fishing to jurisdiction,6,1/1/16,7;8;9,lbs
totalcommrev_05,"$87,437,688.61 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/05,7;8;9,Year 2017 US Dollars
totalcommrev_06,"$80,038,675.39 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/06,7;8;9,Year 2017 US Dollars
totalcommrev_07,"$88,343,850.22 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/07,7;8;9,Year 2017 US Dollars
totalcommrev_08,"$97,176,612.30 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/08,7;8;9,Year 2017 US Dollars
totalcommrev_09,"$80,903,568.40 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/09,7;8;9,Year 2017 US Dollars
totalcommrev_10,"$94,394,565.95 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/10,7;8;9,Year 2017 US Dollars
totalcommrev_11,"$100,738,191.83 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/11,7;8;9,Year 2017 US Dollars
totalcommrev_12,"$121,225,367.59 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/12,7;8;9,Year 2017 US Dollars
totalcommrev_13,"$114,550,856.29 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/13,7;8;9,Year 2017 US Dollars
totalcommrev_14,"$105,416,576.71 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/14,7;8;9,Year 2017 US Dollars
totalcommrev_15,"$106,515,585.70 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/15,7;8;9,Year 2017 US Dollars
totalcommrev_16,"$120,378,736.73 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/16,7;8;9,Year 2017 US Dollars
totalcommreefrev_05,"$3,054,856.41 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/05,7;8;9,Year 2017 US Dollars
totalcommreefrev_06,"$2,632,946.72 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/06,7;8;9,Year 2017 US Dollars
totalcommreefrev_07,"$2,934,473.11 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/07,7;8;9,Year 2017 US Dollars
totalcommreefrev_08,"$3,383,905.61 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/08,7;8;9,Year 2017 US Dollars
totalcommreefrev_09,"$3,088,615.62 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/09,7;8;9,Year 2017 US Dollars
totalcommreefrev_10,"$3,532,666.28 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/10,7;8;9,Year 2017 US Dollars
totalcommreefrev_11,"$3,063,315.77 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/11,7;8;9,Year 2017 US Dollars
totalcommreefrev_12,"$4,124,097.21 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/12,7;8;9,Year 2017 US Dollars
totalcommreefrev_13,"$4,962,218.55 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/13,7;8;9,Year 2017 US Dollars
totalcommreefrev_14,"$4,435,754.90 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/14,7;8;9,Year 2017 US Dollars
totalcommreefrev_15,"$3,135,742.66 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/15,7;8;9,Year 2017 US Dollars
totalcommreefrev_16,"$4,965,120.92 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/16,7;8;9,Year 2017 US Dollars
totalrecyield_05,"4,738,849.18",Economic impact of coral reef fishing to jurisdiction,6,1/1/05,10,number of fish
totalrecyield_06,"5,175,380.57",Economic impact of coral reef fishing to jurisdiction,6,1/1/06,10,number of fish
totalrecyield_07,"3,710,230.91",Economic impact of coral reef fishing to jurisdiction,6,1/1/07,10,number of fish
totalrecyield_08,"4,681,069.25",Economic impact of coral reef fishing to jurisdiction,6,1/1/08,10,number of fish
totalrecyield_09,"6,093,065.54",Economic impact of coral reef fishing to jurisdiction,6,1/1/09,10,number of fish
totalrecyield_10,"5,206,511.06",Economic impact of coral reef fishing to jurisdiction,6,1/1/10,10,number of fish
totalrecyield_11,"2,667,712.18",Economic impact of coral reef fishing to jurisdiction,6,1/1/11,10,number of fish
totalrecyield_12,"3,056,765.83",Economic impact of coral reef fishing to jurisdiction,6,1/1/12,10,number of fish
totalrecyield_13,"3,944,354.55",Economic impact of coral reef fishing to jurisdiction,6,1/1/13,10,number of fish
totalrecyield_14,"4,153,702.12",Economic impact of coral reef fishing to jurisdiction,6,1/1/14,10,number of fish
totalrecyield_15,"5,179,095.18",Economic impact of coral reef fishing to jurisdiction,6,1/1/15,10,number of fish
totalrecyield_16,"2,865,543.23",Economic impact of coral reef fishing to jurisdiction,6,1/1/16,10,number of fish
totalrecreefyield_05,"2,101,776.74",Economic impact of coral reef fishing to jurisdiction,6,1/1/05,10,number of fish
totalrecreefyield_06,"2,352,017.65",Economic impact of coral reef fishing to jurisdiction,6,1/1/06,10,number of fish
totalrecreefyield_07,"1,169,547.79",Economic impact of coral reef fishing to jurisdiction,6,1/1/07,10,number of fish
totalrecreefyield_08,"1,598,614.43",Economic impact of coral reef fishing to jurisdiction,6,1/1/08,10,number of fish
totalrecreefyield_09,"2,323,375.47",Economic impact of coral reef fishing to jurisdiction,6,1/1/09,10,number of fish
totalrecreefyield_10,"1,424,394.01",Economic impact of coral reef fishing to jurisdiction,6,1/1/10,10,number of fish
totalrecreefyield_11,"878,694.72",Economic impact of coral reef fishing to jurisdiction,6,1/1/11,10,number of fish
totalrecreefyield_12,"1,054,552.07",Economic impact of coral reef fishing to jurisdiction,6,1/1/12,10,number of fish
totalrecreefyield_13,"1,706,261.54",Economic impact of coral reef fishing to jurisdiction,6,1/1/13,10,number of fish
totalrecreefyield_14,"1,597,837.94",Economic impact of coral reef fishing to jurisdiction,6,1/1/14,10,number of fish
totalrecreefyield_15,"2,019,709.65",Economic impact of coral reef fishing to jurisdiction,6,1/1/15,10,number of fish
totalrecreefyield_16,"1,031,666.03",Economic impact of coral reef fishing to jurisdiction,6,1/1/16,10,number of fish
