"Year","Angler.Trips","Harvest","Released","RCatch","Trips.Millions","RCatch.Millions"
2003,2402259,12083798,427194,12510992,2.402259,12.510992
2004,2870791,4087461,370152,4457613,2.870791,4.457613
2005,2470403,4230473,508380,4738853,2.470403,4.738853
2006,2644092,4721089,454291,5175380,2.644092,5.17538
2007,2576671,3329063,381169,3710232,2.576671,3.710232
2008,2530598,4354452,326619,4681071,2.530598,4.681071
2009,2163026,5838841,254223,6093064,2.163026,6.093064
2010,2390230,4893106,313399,5206505,2.39023,5.206505
2011,1381713,2503623,164089,2667712,1.381713,2.667712
2012,1519488,2763251,293508,3056759,1.519488,3.056759
2013,1512876,3655893,288461,3944354,1.512876,3.944354
2014,1374405,3718347,435356,4153703,1.374405,4.153703
2015,1431048,4638345,540752,5179097,1.431048,5.179097
2016,1024198,2483292,382255,2865547,1.024198,2.865547
2017,1279884,3010371,420579,3430950,1.279884,3.43095
2018,3420697,10361796,1286232,11648028,3.420697,11.648028
2019,3479082,11154561,1087986,12242547,3.479082,12.242547
