"","Year","Harvest","Released","RCatch"
"177",2003,12083798,427194,12510992
"186",2004,4087461,370152,4457613
"197",2005,4230473,508380,4738853
"208",2006,4721089,454291,5175380
"219",2007,3329063,381169,3710232
"230",2008,4354452,326619,4681071
"241",2009,5838841,254223,6093064
"252",2010,4893106,313399,5206505
"263",2011,2503623,164089,2667712
"274",2012,2763251,293508,3056759
"285",2013,3655893,288461,3944354
"296",2014,3718347,435356,4153703
"307",2015,4638345,540752,5179097
"318",2016,2483292,382255,2865547
"329",2017,3010371,420579,3430950
"340",2018,10361796,1286232,11648028
"350",2019,11154561,1087986,12242547
