"Year","Angler.Trips","RCatch","Trips.Millions","RCatch.Millions"
2003,2402259,11492835,2.402259,11.492835
2004,2870791,3115166,2.870791,3.115166
2005,2470403,3801260,2.470403,3.80126
2006,2644092,3983643,2.644092,3.983643
2007,2576671,2848700,2.576671,2.8487
2008,2530598,3236316,2.530598,3.236316
2009,2163026,5264977,2.163026,5.264977
2010,2390230,3844829,2.39023,3.844829
2011,1381713,2097668,1.381713,2.097668
2012,1519488,2265611,1.519488,2.265611
2013,1512876,3053374,1.512876,3.053374
2014,1374405,3307306,1.374405,3.307306
2015,1431048,4298219,1.431048,4.298219
2016,1024198,2470134,1.024198,2.470134
2017,1279884,3082071,1.279884,3.082071
2018,3420697,10436356,3.420697,10.436356
2019,3479082,11128408,3.479082,11.128408
2020,767665,1583059,0.767665,1.583059
