"Year","Wages","Sector"
2002,47.9471886996795,"Combined"
2005,40.3826138162368,"Combined"
2006,41.2022139222403,"Combined"
2009,40.438879405195,"Combined"
2010,40.8805357133572,"Combined"
2011,40.9901172257822,"Combined"
2012,42.3221093516402,"Combined"
2013,43.7344237450551,"Combined"
2014,43.0200043415969,"Combined"
2016,49.4481019702232,"Combined"
2017,51.6929995011219,"Combined"
2018,48.6951115039194,"Combined"
2019,48.6822563045323,"Combined"
2002,9.35298354504978,"Fishing"
2005,6.71420207203552,"Fishing"
2006,6.43367291936897,"Fishing"
2009,5.50091214998514,"Fishing"
2010,5.71346698002839,"Fishing"
2011,5.83092491926529,"Fishing"
2012,6.18627331409971,"Fishing"
2013,6.52554233764957,"Fishing"
2014,5.46520697356932,"Fishing"
2016,8.22773773546095,"Fishing"
2017,7.46923923177413,"Fishing"
2018,6.8457865011433,"Fishing"
2019,6.72951970451575,"Fishing"
2001,14.9237493920935,"Seaf Markets"
2002,15.5167806181483,"Seaf Markets"
2003,16.1470782358726,"Seaf Markets"
2004,16.4013848402515,"Seaf Markets"
2005,16.6686235192603,"Seaf Markets"
2006,14.0490151550426,"Seaf Markets"
2007,12.0933930676396,"Seaf Markets"
2008,11.7613419365088,"Seaf Markets"
2009,11.1501097579264,"Seaf Markets"
2010,11.1894144434103,"Seaf Markets"
2011,11.3701299497764,"Seaf Markets"
2012,11.1498372075581,"Seaf Markets"
2013,11.5757738027961,"Seaf Markets"
2014,11.0411433161117,"Seaf Markets"
2015,11.1289016472521,"Seaf Markets"
2016,11.3883668733908,"Seaf Markets"
2017,11.5244813732838,"Seaf Markets"
2018,11.1277507631434,"Seaf Markets"
2019,11.1274885219331,"Seaf Markets"
2001,21.8216037828082,"Seaf Wholesale"
2002,23.0774245364814,"Seaf Wholesale"
2003,22.1795386398366,"Seaf Wholesale"
2004,20.4304061223648,"Seaf Wholesale"
2005,16.999788224941,"Seaf Wholesale"
2006,20.7195258478287,"Seaf Wholesale"
2007,26.2401728880157,"Seaf Wholesale"
2008,26.0294755699118,"Seaf Wholesale"
2009,23.7878574972835,"Seaf Wholesale"
2010,23.9776542899185,"Seaf Wholesale"
2011,23.7890623567405,"Seaf Wholesale"
2012,24.9859988299824,"Seaf Wholesale"
2013,25.6331076046094,"Seaf Wholesale"
2014,26.5136540519159,"Seaf Wholesale"
2015,29.0656128265012,"Seaf Wholesale"
2016,29.8319973613715,"Seaf Wholesale"
2017,32.699278896064,"Seaf Wholesale"
2018,30.7215742396327,"Seaf Wholesale"
2019,30.8252480780834,"Seaf Wholesale"
