"Year","Employment","Sector"
2002,1.231,"Combined"
2005,1.046,"Combined"
2006,1.022,"Combined"
2009,1.037,"Combined"
2010,1.033,"Combined"
2011,1.038,"Combined"
2012,1.061,"Combined"
2013,1.094,"Combined"
2014,1.096,"Combined"
2016,1.186,"Combined"
2017,1.217,"Combined"
2018,1.203,"Combined"
2019,1.192,"Combined"
2002,0.223,"Fishing"
2005,0.153,"Fishing"
2006,0.14,"Fishing"
2009,0.146,"Fishing"
2010,0.135,"Fishing"
2011,0.122,"Fishing"
2012,0.116,"Fishing"
2013,0.118,"Fishing"
2014,0.109,"Fishing"
2016,0.122,"Fishing"
2017,0.113,"Fishing"
2018,0.105,"Fishing"
2019,0.111,"Fishing"
2001,0.509,"Seaf Markets"
2002,0.523,"Seaf Markets"
2003,0.547,"Seaf Markets"
2004,0.548,"Seaf Markets"
2005,0.542,"Seaf Markets"
2006,0.461,"Seaf Markets"
2007,0.393,"Seaf Markets"
2008,0.413,"Seaf Markets"
2009,0.389,"Seaf Markets"
2010,0.387,"Seaf Markets"
2011,0.394,"Seaf Markets"
2012,0.403,"Seaf Markets"
2013,0.416,"Seaf Markets"
2014,0.384,"Seaf Markets"
2015,0.383,"Seaf Markets"
2016,0.376,"Seaf Markets"
2017,0.383,"Seaf Markets"
2018,0.383,"Seaf Markets"
2019,0.361,"Seaf Markets"
2001,0.489,"Seaf Wholesale"
2002,0.485,"Seaf Wholesale"
2003,0.471,"Seaf Wholesale"
2004,0.396,"Seaf Wholesale"
2005,0.351,"Seaf Wholesale"
2006,0.421,"Seaf Wholesale"
2007,0.518,"Seaf Wholesale"
2008,0.534,"Seaf Wholesale"
2009,0.502,"Seaf Wholesale"
2010,0.511,"Seaf Wholesale"
2011,0.522,"Seaf Wholesale"
2012,0.542,"Seaf Wholesale"
2013,0.56,"Seaf Wholesale"
2014,0.603,"Seaf Wholesale"
2015,0.65,"Seaf Wholesale"
2016,0.688,"Seaf Wholesale"
2017,0.721,"Seaf Wholesale"
2018,0.715,"Seaf Wholesale"
2019,0.72,"Seaf Wholesale"
