"Year","Establishments","Sector"
2004,169,"Combined"
2005,159,"Combined"
2006,150,"Combined"
2007,149,"Combined"
2008,147,"Combined"
2009,150,"Combined"
2010,146,"Combined"
2011,142,"Combined"
2012,140,"Combined"
2013,140,"Combined"
2014,134,"Combined"
2015,129,"Combined"
2016,127,"Combined"
2017,129,"Combined"
2018,126,"Combined"
2019,129,"Combined"
2002,101,"Fishing"
2004,87,"Fishing"
2005,83,"Fishing"
2006,80,"Fishing"
2007,78,"Fishing"
2008,76,"Fishing"
2009,75,"Fishing"
2010,71,"Fishing"
2011,62,"Fishing"
2012,60,"Fishing"
2013,60,"Fishing"
2014,62,"Fishing"
2015,60,"Fishing"
2016,62,"Fishing"
2017,62,"Fishing"
2018,60,"Fishing"
2019,64,"Fishing"
2001,46,"Seaf Markets"
2002,44,"Seaf Markets"
2003,49,"Seaf Markets"
2004,47,"Seaf Markets"
2005,44,"Seaf Markets"
2006,39,"Seaf Markets"
2007,37,"Seaf Markets"
2008,38,"Seaf Markets"
2009,40,"Seaf Markets"
2010,39,"Seaf Markets"
2011,40,"Seaf Markets"
2012,36,"Seaf Markets"
2013,37,"Seaf Markets"
2014,32,"Seaf Markets"
2015,31,"Seaf Markets"
2016,29,"Seaf Markets"
2017,30,"Seaf Markets"
2018,31,"Seaf Markets"
2019,29,"Seaf Markets"
2004,3,"Seaf Packaging"
2005,4,"Seaf Packaging"
2006,3,"Seaf Packaging"
2007,3,"Seaf Packaging"
2008,3,"Seaf Packaging"
2009,4,"Seaf Packaging"
2010,4,"Seaf Packaging"
2011,4,"Seaf Packaging"
2012,5,"Seaf Packaging"
2013,4,"Seaf Packaging"
2014,3,"Seaf Packaging"
2015,2,"Seaf Packaging"
2016,2,"Seaf Packaging"
2017,2,"Seaf Packaging"
2018,3,"Seaf Packaging"
2019,3,"Seaf Packaging"
2001,38,"Seaf Wholesale"
2002,41,"Seaf Wholesale"
2003,38,"Seaf Wholesale"
2004,32,"Seaf Wholesale"
2005,28,"Seaf Wholesale"
2006,28,"Seaf Wholesale"
2007,31,"Seaf Wholesale"
2008,30,"Seaf Wholesale"
2009,31,"Seaf Wholesale"
2010,32,"Seaf Wholesale"
2011,36,"Seaf Wholesale"
2012,39,"Seaf Wholesale"
2013,39,"Seaf Wholesale"
2014,37,"Seaf Wholesale"
2015,36,"Seaf Wholesale"
2016,34,"Seaf Wholesale"
2017,35,"Seaf Wholesale"
2018,32,"Seaf Wholesale"
2019,33,"Seaf Wholesale"
