"Year","State","Industry","Employment","Establishments","Wages.Thousands","Employment.Tot","Wages.Tot.Millions","nominal_revenue"
2001,"HI","Fishing",NA,NA,NA,NA,NA,NA
2002,"HI","Fishing",223,101,9352.98354504978,22523,673.569,6669
2003,"HI","Fishing",NA,NA,NA,NA,NA,NA
2004,"HI","Fishing",NA,87,NA,NA,NA,NA
2005,"HI","Fishing",153,83,6714.20207203552,12699,429.11,5170
2006,"HI","Fishing",140,80,6433.67291936897,11200,408.56,5107
2007,"HI","Fishing",NA,78,NA,NA,NA,NA
2008,"HI","Fishing",NA,76,NA,NA,NA,NA
2009,"HI","Fishing",146,75,5500.91214998514,10950,345,4600
2010,"HI","Fishing",135,71,5713.46698002839,9585,343.285,4835
2011,"HI","Fishing",122,62,5830.92491926529,7564,312.294,5037
2012,"HI","Fishing",116,60,6186.27331409971,6960,326.64,5444
2013,"HI","Fishing",118,60,6525.54233764957,7080,350.58,5843
2014,"HI","Fishing",109,62,5465.20697356932,6758,309.07,4985
2015,"HI","Fishing",NA,60,NA,NA,NA,NA
2016,"HI","Fishing",122,62,8227.73773546095,7564,474.672,7656
2017,"HI","Fishing",113,62,7469.23923177413,7006,439.084,7082
2018,"HI","Fishing",105,60,6845.7865011433,6300,398.76,6646
2019,"HI","Fishing",111,64,6729.51970451575,7104,425.6,6650
