"Year","Employment","Sector"
2001,0.509,"Seaf Markets"
2002,0.523,"Seaf Markets"
2003,0.547,"Seaf Markets"
2004,0.548,"Seaf Markets"
2005,0.542,"Seaf Markets"
2006,0.461,"Seaf Markets"
2007,0.393,"Seaf Markets"
2008,0.413,"Seaf Markets"
2009,0.389,"Seaf Markets"
2010,0.387,"Seaf Markets"
2011,0.394,"Seaf Markets"
2012,0.403,"Seaf Markets"
2013,0.416,"Seaf Markets"
2014,0.384,"Seaf Markets"
2015,0.383,"Seaf Markets"
2016,0.376,"Seaf Markets"
2017,0.383,"Seaf Markets"
2018,0.383,"Seaf Markets"
2019,0.361,"Seaf Markets"
