"Year","State","Industry","Employment","Establishments","Wages.Thousands","Employment.Tot","Wages.Tot.Millions"
2001,"HI","Seaf Markets",509,46,10478,23414,481.988
2002,"HI","Seaf Markets",523,44,11064,23012,486.816
2003,"HI","Seaf Markets",547,49,11740,26803,575.26
2004,"HI","Seaf Markets",548,47,12245,25756,575.515
2005,"HI","Seaf Markets",542,44,12835,23848,564.74
2006,"HI","Seaf Markets",461,39,11152,17979,434.928
2007,"HI","Seaf Markets",393,37,9859,14541,364.783
2008,"HI","Seaf Markets",413,38,9773,15694,371.374
2009,"HI","Seaf Markets",389,40,9324,15560,372.96
2010,"HI","Seaf Markets",387,39,9469,15093,369.291
2011,"HI","Seaf Markets",394,40,9822,15760,392.88
2012,"HI","Seaf Markets",403,36,9812,14508,353.232
2013,"HI","Seaf Markets",416,37,10365,15392,383.505
2014,"HI","Seaf Markets",384,32,10071,12288,322.272
2015,"HI","Seaf Markets",383,31,10253,11873,317.843
2016,"HI","Seaf Markets",376,29,10597,10904,307.313
2017,"HI","Seaf Markets",383,30,10927,11490,327.81
2018,"HI","Seaf Markets",383,31,10803,11873,334.893
2019,"HI","Seaf Markets",361,29,10996,10469,318.884
