"Year","Employment","Sector"
2001,0.489,"Seaf Wholesale"
2002,0.485,"Seaf Wholesale"
2003,0.471,"Seaf Wholesale"
2004,0.396,"Seaf Wholesale"
2005,0.351,"Seaf Wholesale"
2006,0.421,"Seaf Wholesale"
2007,0.518,"Seaf Wholesale"
2008,0.534,"Seaf Wholesale"
2009,0.502,"Seaf Wholesale"
2010,0.511,"Seaf Wholesale"
2011,0.522,"Seaf Wholesale"
2012,0.542,"Seaf Wholesale"
2013,0.56,"Seaf Wholesale"
2014,0.603,"Seaf Wholesale"
2015,0.65,"Seaf Wholesale"
2016,0.688,"Seaf Wholesale"
2017,0.721,"Seaf Wholesale"
2018,0.715,"Seaf Wholesale"
2019,0.72,"Seaf Wholesale"
