"Year","Region","Harvest","PSE.Harvest","Released","PSE.Released","RCatch.upperCI","RCatch.lowerCI"
2003,"HAWAIIAN ISLANDS",12083798,29.2,427194,12,19527267.30016,5494716.69984
2004,"HAWAIIAN ISLANDS",4087461,6.6,370152,11,5066171.72616,3849054.27384
2005,"HAWAIIAN ISLANDS",4230473,5.2,508380,8.9,5258704.61536,4219001.38464
2006,"HAWAIIAN ISLANDS",4721089,6.5,454291,11.5,5879243.93,4471516.07
2007,"HAWAIIAN ISLANDS",3329063,21.9,381169,9.5,5210172.66992,2210291.33008
2008,"HAWAIIAN ISLANDS",4354452,6.6,326619,18.9,5365355.65308,3996786.34692
2009,"HAWAIIAN ISLANDS",5838841,12.6,254223,13,7599800.19376,4586327.80624
2010,"HAWAIIAN ISLANDS",4893106,8.3,313399,10.8,6068855.7844,4344154.2156
2011,"HAWAIIAN ISLANDS",2503623,11.3,164089,14.2,3267883.67252,2067540.32748
2012,"HAWAIIAN ISLANDS",2763251,6.6,293508,12.9,3488423.71208,2625094.28792
2013,"HAWAIIAN ISLANDS",3655893,7.9,288461,11.7,4576582.34864,3312125.65136
2014,"HAWAIIAN ISLANDS",3718347,6.1,435356,7.9,4665679.09036,3641726.90964
2015,"HAWAIIAN ISLANDS",4638345,7.4,540752,7,5926033.7332,4432160.2668
2016,"HAWAIIAN ISLANDS",2483292,5.9,382255,6.6,3202163.39368,2528930.60632
2017,"HAWAIIAN ISLANDS",3010371,7.4,420579,7.8,3931872.32736,2930027.67264
2018,"HAWAIIAN ISLANDS",10361796,7.3,1286232,7.2,13312106.83152,9983949.16848
2019,"HAWAIIAN ISLANDS",11154561,7.4,1087986,8.3,14037398.08992,10447695.91008
2020,"HAWAIIAN ISLANDS",8187146,6.7,1253427,9,10736813.53552,8144332.46448
2021,"HAWAIIAN ISLANDS",8119199,15.4,1048537,7.7,11776680.2302,6558791.7698
