Year,Angler.Trips,RCatch,Trips.Thousands,RCatch.Thousands
2003,2402259,12510992,2402.259,12510.992
2004,2870791,4457613,2870.791,4457.613
2005,2470403,4738853,2470.403,4738.853
2006,2644092,5175380,2644.092,5175.38
2007,2576671,3710232,2576.671,3710.232
2008,2530598,4681071,2530.598,4681.071
2009,2163026,6093064,2163.026,6093.064
2010,2390230,5206505,2390.23,5206.505
2011,1381713,2667712,1381.713,2667.712
2012,1519488,3056759,1519.488,3056.759
2013,1512876,3944354,1512.876,3944.354
2014,1374405,4153703,1374.405,4153.703
2015,1431048,5179097,1431.048,5179.097
2016,1024198,2865547,1024.198,2865.547
2017,1279884,3430950,1279.884,3430.95
2018,3420697,11648028,3420.697,11648.028
2019,3479082,12242547,3479.082,12242.547
