"Year","State","Industry","Establishments","Total.Receipts","nominal_revenue"
1997,"HI","Fishing",NA,NA,NA
1998,"HI","Fishing",1500,74331.2501752905,49212
1999,"HI","Fishing",1549,80095.8769845821,53775
2000,"HI","Fishing",1513,75037.5482547912,51521
2001,"HI","Fishing",1393,59920.0359730265,42070
2002,"HI","Fishing",1289,56203.451127286,40075
2003,"HI","Fishing",1288,59884.479249565,43540
2004,"HI","Fishing",1308,57808.6866737784,43159
2005,"HI","Fishing",1192,59627.8286142048,45914
2006,"HI","Fishing",1170,58063.0477489163,46090
2007,"HI","Fishing",1203,58232.0366264384,47473
2008,"HI","Fishing",1128,57877.6443008817,48093
2009,"HI","Fishing",1095,48007.4170132942,40145
2010,"HI","Fishing",1113,59421.2382814328,50285
2011,"HI","Fishing",1209,59778.2672038793,51639
2012,"HI","Fishing",1287,68958.0840912614,60684
2013,"HI","Fishing",1266,67394.1215754687,60345
2014,"HI","Fishing",1314,73159.2229795897,66731
2015,"HI","Fishing",23,5218.74174582933,4808
2016,"HI","Fishing",1223,69532.7663560683,64701
2017,"HI","Fishing",1159,65441.7996459126,62049
2018,"HI","Fishing",1133,62066.3354839587,60255
