"Year","State","Industry","Establishments","Total.Receipts"
1997,"HI","Seaf Packaging",NA,NA
1998,"HI","Seaf Packaging",6,45
1999,"HI","Seaf Packaging",8,160
2000,"HI","Seaf Packaging",3,44
2001,"HI","Seaf Packaging",7,231
2002,"HI","Seaf Packaging",7,1566
2003,"HI","Seaf Packaging",9,1034
2004,"HI","Seaf Packaging",11,1309
2005,"HI","Seaf Packaging",5,409
2006,"HI","Seaf Packaging",11,1011
2007,"HI","Seaf Packaging",10,1023
2008,"HI","Seaf Packaging",9,1020
2009,"HI","Seaf Packaging",7,712
2010,"HI","Seaf Packaging",11,741
2011,"HI","Seaf Packaging",14,866
2012,"HI","Seaf Packaging",14,965
2013,"HI","Seaf Packaging",16,821
2014,"HI","Seaf Packaging",14,1048
2015,"HI","Seaf Packaging",12,1271
2016,"HI","Seaf Packaging",12,1071
2017,"HI","Seaf Packaging",10,717
2018,"HI","Seaf Packaging",18,1529
