"Sector","Year","fit","se.fit","inc.trend","dec.trend","threshold","se.threshold"
"Combined",1998,1506.65628781366,119.472639960701,NA,1506.65628781366,1506.65628781366,119.472639960701
"Combined",1998.04008016032,1505.6482249611,119.127177363939,NA,1505.6482249611,1505.6482249611,119.127177363939
"Combined",1998.08016032064,1504.64016210864,118.782062897878,NA,1504.64016210864,1504.64016210864,118.782062897878
"Combined",1998.12024048096,1503.63209925637,118.437299606121,NA,1503.63209925637,1503.63209925637,118.437299606121
"Combined",1998.16032064128,1502.62403640441,118.092890564639,NA,1502.62403640441,1502.62403640441,118.092890564639
"Combined",1998.2004008016,1501.61597355285,117.748838882142,NA,1501.61597355285,1501.61597355285,117.748838882142
"Combined",1998.24048096192,1500.60791070178,117.405147700459,NA,1500.60791070178,1500.60791070178,117.405147700459
"Combined",1998.28056112224,1499.59984785131,117.061820194945,NA,1499.59984785131,1499.59984785131,117.061820194945
"Combined",1998.32064128257,1498.59178500155,116.71885957487,NA,1498.59178500155,1498.59178500155,116.71885957487
"Combined",1998.36072144289,1497.58372215258,116.376269083808,NA,1497.58372215258,1497.58372215258,116.376269083808
"Combined",1998.40080160321,1496.5756593045,116.034052000062,NA,1496.5756593045,1496.5756593045,116.034052000062
"Combined",1998.44088176353,1495.56759645743,115.692211637059,NA,1495.56759645743,1495.56759645743,115.692211637059
"Combined",1998.48096192385,1494.55953361146,115.350751343772,NA,1494.55953361146,1494.55953361146,115.350751343772
"Combined",1998.52104208417,1493.55147076668,115.009674505133,NA,1493.55147076668,1493.55147076668,115.009674505133
"Combined",1998.56112224449,1492.5434079232,114.668984542463,NA,1492.5434079232,1492.5434079232,114.668984542463
"Combined",1998.60120240481,1491.53534508112,114.328684913902,NA,1491.53534508112,1491.53534508112,114.328684913902
"Combined",1998.64128256513,1490.52728224054,113.988779114835,NA,1490.52728224054,1490.52728224054,113.988779114835
"Combined",1998.68136272545,1489.51921940155,113.649270678338,NA,1489.51921940155,1489.51921940155,113.649270678338
"Combined",1998.72144288577,1488.51115656426,113.310163175623,NA,1488.51115656426,1488.51115656426,113.310163175623
"Combined",1998.76152304609,1487.50309372877,112.97146021648,NA,1487.50309372877,1487.50309372877,112.97146021648
"Combined",1998.80160320641,1486.49503089517,112.633165449736,NA,1486.49503089517,1486.49503089517,112.633165449736
"Combined",1998.84168336673,1485.48696806357,112.295282563718,NA,1485.48696806357,1485.48696806357,112.295282563718
"Combined",1998.88176352705,1484.47890523407,111.957815286704,NA,1484.47890523407,1484.47890523407,111.957815286704
"Combined",1998.92184368737,1483.47084240676,111.620767387406,NA,1483.47084240676,1483.47084240676,111.620767387406
"Combined",1998.9619238477,1482.46277958175,111.284142675441,NA,1482.46277958175,1482.46277958175,111.284142675441
"Combined",1999.00200400802,1481.45471675914,110.947945001802,NA,1481.45471675914,1481.45471675914,110.947945001802
"Combined",1999.04208416834,1480.44665393902,110.612178259386,NA,1480.44665393902,1480.44665393902,110.612178259386
"Combined",1999.08216432866,1479.43859112152,110.276846383554,NA,1479.43859112152,1479.43859112152,110.276846383554
"Combined",1999.12224448898,1478.43052830677,109.941953352549,NA,1478.43052830677,1478.43052830677,109.941953352549
"Combined",1999.1623246493,1477.42246549488,109.607503187969,NA,1477.42246549488,1477.42246549488,109.607503187969
"Combined",1999.20240480962,1476.41440268597,109.273499955279,NA,1476.41440268597,1476.41440268597,109.273499955279
"Combined",1999.24248496994,1475.40633988018,108.939947764312,NA,1475.40633988018,1475.40633988018,108.939947764312
"Combined",1999.28256513026,1474.39827707762,108.606850769779,NA,1474.39827707762,1474.39827707762,108.606850769779
"Combined",1999.32264529058,1473.3902142784,108.2742131718,NA,1473.3902142784,1473.3902142784,108.2742131718
"Combined",1999.3627254509,1472.38215148267,107.942039216418,NA,1472.38215148267,1472.38215148267,107.942039216418
"Combined",1999.40280561122,1471.37408869053,107.610333196125,NA,1471.37408869053,1471.37408869053,107.610333196125
"Combined",1999.44288577154,1470.36602590211,107.279099450406,NA,1470.36602590211,1470.36602590211,107.279099450406
"Combined",1999.48296593186,1469.35796311754,106.948342366275,NA,1469.35796311754,1469.35796311754,106.948342366275
"Combined",1999.52304609218,1468.34990033693,106.61806637881,NA,1468.34990033693,1468.34990033693,106.61806637881
"Combined",1999.56312625251,1467.34183756041,106.288275971717,NA,1467.34183756041,1467.34183756041,106.288275971717
"Combined",1999.60320641283,1466.3337747881,105.958975677875,NA,1466.3337747881,1466.3337747881,105.958975677875
"Combined",1999.64328657315,1465.32571202012,105.630170079897,NA,1465.32571202012,1465.32571202012,105.630170079897
"Combined",1999.68336673347,1464.3176492566,105.301863810696,NA,1464.3176492566,1464.3176492566,105.301863810696
"Combined",1999.72344689379,1463.30958649765,104.97406155406,NA,1463.30958649765,1463.30958649765,104.97406155406
"Combined",1999.76352705411,1462.3015237434,104.646768045213,NA,1462.3015237434,1462.3015237434,104.646768045213
"Combined",1999.80360721443,1461.29346099398,104.319988071411,NA,1461.29346099398,1461.29346099398,104.319988071411
"Combined",1999.84368737475,1460.28539824949,103.993726472518,NA,1460.28539824949,1460.28539824949,103.993726472518
"Combined",1999.88376753507,1459.27733551008,103.667988141599,NA,1459.27733551008,1459.27733551008,103.667988141599
"Combined",1999.92384769539,1458.26927277586,103.342778025508,NA,1458.26927277586,1458.26927277586,103.342778025508
"Combined",1999.96392785571,1457.26121004694,103.0181011255,NA,1457.26121004694,1457.26121004694,103.0181011255
"Combined",2000.00400801603,1456.25314732346,102.693962497829,NA,1456.25314732346,1456.25314732346,102.693962497829
"Combined",2000.04408817635,1455.24508460555,102.370367254411,NA,1455.24508460555,1455.24508460555,102.370367254411
"Combined",2000.08416833667,1454.23702189335,102.047320563557,NA,1454.23702189335,1454.23702189335,102.047320563557
"Combined",2000.12424849699,1453.22895918706,101.724827650454,NA,1453.22895918706,1453.22895918706,101.724827650454
"Combined",2000.16432865731,1452.22089648681,101.402893797746,NA,1452.22089648681,1452.22089648681,101.402893797746
"Combined",2000.20440881764,1451.21283379279,101.081524346165,NA,1451.21283379279,1451.21283379279,101.081524346165
"Combined",2000.24448897796,1450.20477110516,100.760724695156,NA,1450.20477110516,1450.20477110516,100.760724695156
"Combined",2000.28456913828,1449.19670842407,100.440500303507,NA,1449.19670842407,1449.19670842407,100.440500303507
"Combined",2000.3246492986,1448.1886457497,100.120856689994,NA,1448.1886457497,1448.1886457497,100.120856689994
"Combined",2000.36472945892,1447.18058308221,99.801799434017,NA,1447.18058308221,1447.18058308221,99.801799434017
"Combined",2000.40480961924,1446.17252042177,99.4833341762413,NA,1446.17252042177,1446.17252042177,99.4833341762413
"Combined",2000.44488977956,1445.16445776854,99.1654666192567,NA,1445.16445776854,1445.16445776854,99.1654666192567
"Combined",2000.48496993988,1444.15639512269,98.8482025282257,NA,1444.15639512269,1444.15639512269,98.8482025282257
"Combined",2000.5250501002,1443.14833248437,98.5315477315349,NA,1443.14833248437,1443.14833248437,98.5315477315349
"Combined",2000.56513026052,1442.14026985377,98.2155081214669,NA,1442.14026985377,1442.14026985377,98.2155081214669
"Combined",2000.60521042084,1441.13220723103,97.9000896548568,NA,1441.13220723103,1441.13220723103,97.9000896548568
"Combined",2000.64529058116,1440.12414461634,97.5852983537634,NA,1440.12414461634,1440.12414461634,97.5852983537634
"Combined",2000.68537074148,1439.11608200984,97.271140306133,NA,1439.11608200984,1439.11608200984,97.271140306133
"Combined",2000.7254509018,1438.10801941171,96.9576216664833,NA,1438.10801941171,1438.10801941171,96.9576216664833
"Combined",2000.76553106212,1437.09995682212,96.6447486565754,NA,1437.09995682212,1437.09995682212,96.6447486565754
"Combined",2000.80561122244,1436.09189424122,96.3325275660868,NA,1436.09189424122,1436.09189424122,96.3325275660868
"Combined",2000.84569138277,1435.08383166918,96.0209647533049,NA,1435.08383166918,1435.08383166918,96.0209647533049
"Combined",2000.88577154309,1434.07576910618,95.710066645805,NA,1434.07576910618,1434.07576910618,95.710066645805
"Combined",2000.92585170341,1433.06770655237,95.3998397411314,NA,1433.06770655237,1433.06770655237,95.3998397411314
"Combined",2000.96593186373,1432.05964400791,95.0902906074962,NA,1432.05964400791,1432.05964400791,95.0902906074962
"Combined",2001.00601202405,1431.05158147298,94.7814258844641,NA,1431.05158147298,1431.05158147298,94.7814258844641
"Combined",2001.04609218437,1430.04351894776,94.4732522837153,NA,1430.04351894776,1430.04351894776,94.4732522837153
"Combined",2001.08617234469,1429.0354564325,94.1657765898763,NA,1429.0354564325,1429.0354564325,94.1657765898763
"Combined",2001.12625250501,1428.02739392748,93.8590056610439,NA,1428.02739392748,1428.02739392748,93.8590056610439
"Combined",2001.16633266533,1427.01933143295,93.55294642944,NA,1427.01933143295,1427.01933143295,93.55294642944
"Combined",2001.20641282565,1426.01126894918,93.2476059021132,NA,1426.01126894918,1426.01126894918,93.2476059021132
"Combined",2001.24649298597,1425.00320647643,92.9429911616233,NA,1425.00320647643,1425.00320647643,92.9429911616233
"Combined",2001.28657314629,1423.99514401498,92.6391093667346,NA,1423.99514401498,1423.99514401498,92.6391093667346
"Combined",2001.32665330661,1422.98708156507,92.3359677531,NA,1422.98708156507,1422.98708156507,92.3359677531
"Combined",2001.36673346693,1421.97901912697,92.0335736339597,NA,1421.97901912697,1421.97901912697,92.0335736339597
"Combined",2001.40681362725,1420.97095670096,91.731934400824,NA,1420.97095670096,1420.97095670096,91.731934400824
"Combined",2001.44689378758,1419.96289428729,91.4310575241537,NA,1419.96289428729,1419.96289428729,91.4310575241537
"Combined",2001.4869739479,1418.95483188622,91.1309505540544,NA,1418.95483188622,1418.95483188622,91.1309505540544
"Combined",2001.52705410822,1417.94676949803,90.8316211209523,NA,1417.94676949803,1417.94676949803,90.8316211209523
"Combined",2001.56713426854,1416.93870712297,90.5330769362675,NA,1416.93870712297,1416.93870712297,90.5330769362675
"Combined",2001.60721442886,1415.9306447613,90.2353257930992,NA,1415.9306447613,1415.9306447613,90.2353257930992
"Combined",2001.64729458918,1414.92258241331,89.9383755668913,NA,1414.92258241331,1414.92258241331,89.9383755668913
"Combined",2001.6873747495,1413.91452007923,89.6422342160941,NA,1413.91452007923,1413.91452007923,89.6422342160941
"Combined",2001.72745490982,1412.90645775935,89.3469097828369,NA,1412.90645775935,1412.90645775935,89.3469097828369
"Combined",2001.76753507014,1411.89839545393,89.0524103935792,NA,1411.89839545393,1411.89839545393,89.0524103935792
"Combined",2001.80761523046,1410.89033316321,88.7587442597567,NA,1410.89033316321,1410.89033316321,88.7587442597567
"Combined",2001.84769539078,1409.88227088749,88.4659196784361,NA,1409.88227088749,1409.88227088749,88.4659196784361
"Combined",2001.8877755511,1408.87420862701,88.1739450329479,NA,1408.87420862701,1408.87420862701,88.1739450329479
"Combined",2001.92785571142,1407.86614638204,87.8828287935115,NA,1407.86614638204,1407.86614638204,87.8828287935115
"Combined",2001.96793587174,1406.85808415284,87.5925795178676,NA,1406.85808415284,1406.85808415284,87.5925795178676
"Combined",2002.00801603206,1405.85002193968,87.3032058518855,NA,1405.85002193968,1405.85002193968,87.3032058518855
"Combined",2002.04809619238,1404.84195974283,87.0147165301703,NA,1404.84195974283,1404.84195974283,87.0147165301703
"Combined",2002.08817635271,1403.83389756254,86.727120376651,NA,1403.83389756254,1403.83389756254,86.727120376651
"Combined",2002.12825651303,1402.82583539908,86.4404263051744,NA,1402.82583539908,1402.82583539908,86.4404263051744
"Combined",2002.16833667335,1401.81777325271,86.1546433200726,NA,1401.81777325271,1401.81777325271,86.1546433200726
"Combined",2002.20841683367,1400.80971112371,85.8697805167183,NA,1400.80971112371,1400.80971112371,85.8697805167183
"Combined",2002.24849699399,1399.80164901232,85.5858470820831,NA,1399.80164901232,1399.80164901232,85.5858470820831
"Combined",2002.28857715431,1398.79358691883,85.3028522952663,NA,1398.79358691883,1398.79358691883,85.3028522952663
"Combined",2002.32865731463,1397.78552484348,85.02080552801,NA,1397.78552484348,1397.78552484348,85.02080552801
"Combined",2002.36873747495,1396.77746278654,84.7397162452142,NA,1396.77746278654,1396.77746278654,84.7397162452142
"Combined",2002.40881763527,1395.76940074829,84.4595940054201,NA,1395.76940074829,1395.76940074829,84.4595940054201
"Combined",2002.44889779559,1394.76133872897,84.1804484612779,NA,1394.76133872897,1394.76133872897,84.1804484612779
"Combined",2002.48897795591,1393.75327672886,83.9022893600107,NA,1393.75327672886,1393.75327672886,83.9022893600107
"Combined",2002.52905811623,1392.74521474823,83.6251265438454,NA,1392.74521474823,1392.74521474823,83.6251265438454
"Combined",2002.56913827655,1391.73715278732,83.3489699504241,NA,1391.73715278732,1391.73715278732,83.3489699504241
"Combined",2002.60921843687,1390.72909084641,83.0738296132097,NA,1390.72909084641,1390.72909084641,83.0738296132097
"Combined",2002.64929859719,1389.72102892577,82.7997156618537,NA,1389.72102892577,1389.72102892577,82.7997156618537
"Combined",2002.68937875751,1388.71296702565,82.5266383225509,NA,1388.71296702565,1388.71296702565,82.5266383225509
"Combined",2002.72945891784,1387.70490514632,82.2546079183623,NA,1387.70490514632,1387.70490514632,82.2546079183623
"Combined",2002.76953907816,1386.69684328804,81.9836348695272,NA,1386.69684328804,1386.69684328804,81.9836348695272
"Combined",2002.80961923848,1385.68878145109,81.7137296937372,NA,1385.68878145109,1385.68878145109,81.7137296937372
"Combined",2002.8496993988,1384.68071963571,81.4449030063831,NA,1384.68071963571,1384.68071963571,81.4449030063831
"Combined",2002.88977955912,1383.67265784218,81.1771655207869,NA,1383.67265784218,1383.67265784218,81.1771655207869
"Combined",2002.92985971944,1382.66459607076,80.9105280483921,NA,1382.66459607076,1382.66459607076,80.9105280483921
"Combined",2002.96993987976,1381.65653432171,80.6450014989231,NA,1381.65653432171,1381.65653432171,80.6450014989231
"Combined",2003.01002004008,1380.6484725953,80.3805968805284,NA,1380.6484725953,1380.6484725953,80.3805968805284
"Combined",2003.0501002004,1379.6404108918,80.1173253000381,NA,1379.6404108918,1379.6404108918,80.1173253000381
"Combined",2003.09018036072,1378.63234921144,79.8551979631721,NA,1378.63234921144,1378.63234921144,79.8551979631721
"Combined",2003.13026052104,1377.6242875545,79.594226174286,NA,1377.6242875545,1377.6242875545,79.594226174286
"Combined",2003.17034068136,1376.61622592124,79.3344213363165,NA,1376.61622592124,1376.61622592124,79.3344213363165
"Combined",2003.21042084168,1375.6081643119,79.0757949507261,NA,1375.6081643119,1375.6081643119,79.0757949507261
