"Year","Establishments","Sector"
1998,1500,"Fishing"
1999,1549,"Fishing"
2000,1513,"Fishing"
2001,1393,"Fishing"
2002,1289,"Fishing"
2003,1288,"Fishing"
2004,1308,"Fishing"
2005,1192,"Fishing"
2006,1170,"Fishing"
2007,1203,"Fishing"
2008,1128,"Fishing"
2009,1095,"Fishing"
2010,1113,"Fishing"
2011,1209,"Fishing"
2012,1287,"Fishing"
2013,1266,"Fishing"
2014,1314,"Fishing"
2015,23,"Fishing"
2016,1223,"Fishing"
2017,1159,"Fishing"
2018,1133,"Fishing"
1997,29,"Seafood Markets"
1998,37,"Seafood Markets"
1999,29,"Seafood Markets"
2000,23,"Seafood Markets"
2001,34,"Seafood Markets"
2003,36,"Seafood Markets"
2004,33,"Seafood Markets"
2005,29,"Seafood Markets"
2006,31,"Seafood Markets"
2007,41,"Seafood Markets"
2008,37,"Seafood Markets"
2009,35,"Seafood Markets"
2010,37,"Seafood Markets"
2011,39,"Seafood Markets"
2012,42,"Seafood Markets"
2013,40,"Seafood Markets"
2014,38,"Seafood Markets"
2015,39,"Seafood Markets"
2016,31,"Seafood Markets"
2017,27,"Seafood Markets"
2018,21,"Seafood Markets"
1998,6,"Seafood Packaging"
1999,8,"Seafood Packaging"
2000,3,"Seafood Packaging"
2001,7,"Seafood Packaging"
2002,7,"Seafood Packaging"
2003,9,"Seafood Packaging"
2004,11,"Seafood Packaging"
2005,5,"Seafood Packaging"
2006,11,"Seafood Packaging"
2007,10,"Seafood Packaging"
2008,9,"Seafood Packaging"
2009,7,"Seafood Packaging"
2010,11,"Seafood Packaging"
2011,14,"Seafood Packaging"
2012,14,"Seafood Packaging"
2013,16,"Seafood Packaging"
2014,14,"Seafood Packaging"
2015,12,"Seafood Packaging"
2016,12,"Seafood Packaging"
2017,10,"Seafood Packaging"
2018,18,"Seafood Packaging"
1998,1543,"Combined"
1999,1586,"Combined"
2000,1539,"Combined"
2001,1434,"Combined"
2003,1333,"Combined"
2004,1352,"Combined"
2005,1226,"Combined"
2006,1212,"Combined"
2007,1254,"Combined"
2008,1174,"Combined"
2009,1137,"Combined"
2010,1161,"Combined"
2011,1262,"Combined"
2012,1343,"Combined"
2013,1322,"Combined"
2014,1366,"Combined"
2015,74,"Combined"
2016,1266,"Combined"
2017,1196,"Combined"
2018,1172,"Combined"
