GEO_ID,GEO_ID2,SUMLEVEL,GEO_NAME,Geography,REGION,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,TOTPOP,PCTMALES,PCTFEMALE,POPCHPCT,POPDENS,POP0_5PCT,POP85PCT,MEDAGE,POPWAPCT,POPBAPCT,POPNAPCT,POPAAPCT,POPPAPCT,POPHSPCT,POPWNPCT,TOTHU,PCTVACANT,HMOWNVAC,RENTVAC,PCTMBLHM,PCTBLT2014,PCTBLT2010_13,PCTBLT2000_09,PCTBLT2005,PCTBLT2000_04,PCTBLT2010,HUMNR,PCTOWNER,PCTRENTER,MOV2015,MOV2010_14,MOV2000_09,MOV2005,MOV2000_04,MOV2010,PCTNOVHCL,HOUSHEATFUEL,PCTNOPLBG,MEDHOMVAL,MED_MTMRG,OWNRMTHLYCST,MED_GRRNT,RENTRMTHLYCST,TOTHH,PCTHFOFMNOHS,PCTHHUNDR18,PCTHHUOVER65,AVGHHSZE,PCTMALESEPARATD,PCTMALEDIVORCD,PCTFEMALESEPARATD,PCTFEMALEDIVORCD,PCTPOP9THGRD,PCTNODIPLOMA,PCTPOPHSGRD,PCTBATCHLRS,PCTLIVESMHS,PCTLIVEDRCO,PCTLIVDFST,PCTFORBRN,PCTSPKENGNTWL,PCTLABFORCE,PCTEMPLOYED,PCTUNEMPLD,PCTLABFEMALE,PCTEMPFEMA,MEANTRAVTIM,PCTSERVOCC,PCTFRMFSHOCC,PCTAGRFRFSH,PCTSERVIND,PCTSLFEMP,PCTHHHUNDR10K,PCTHH200K,MEDHHINC,MEANHHINC,PCTRECSOC,PCTRECRET,MEANRETINC,PCTRECSSI,PUBLICASSIST,PERCPHHINC,PCTFMINPOV,PCTPOV,PCTCHLDPOV,PCT65POV,MEDDWELLAGE,MDYRSRESID,HASMORTGAGE,HSMORTGAGELON,PCTGRPQRTRS,GINIINDX,PCTCHGRNT,PCTCHGMRG,PCTCHNGHOMVAL,PCTCHGRENTER,PCTCHGUNEM,PCTCHGRAVTIM,PCTWTRCVG,NEARCTYPOP,CSTOFLIVNG,MARINANUM,NUMBOTRMPS,EPAREGFAC,CRIMINDEX,HAILRSKAVG,HURRSKAVG,TORNRSKAVG,WNDRSKAVG,POUNDS_14,VALUE_14,DEALERNUM_14,COMMPMT_14,PNDSPRPOP_14,VALUPRPOP_14,DEALERNUMPRPOP_14,COMMPRPOP_14,RECPSSRMODESH_14,RECPSSRMODECH,RECPSSRMODEPR_14,RECPSSRMODESHPOP_14,RECPSSRMODECHPOP_14,RECPSSRMODEPRPOP_14
0600000US1500190630,1500190630,60,"Hilo, HI","Hilo CCD, Hawaii County, Hawaii",Hawaii,19.6869881,-155.2335958,46618,48.7,51.3,9.883323512,156.2841464,5.5,3.6,40.4,17.4,0.8,0.3,32.9,10.4,10.6,15.7,18189,13.8,1.5,9.6,0.5,,,9.3,,,0.8,5,64.6,35.4,,,33.9,,,19.3,6.6,0,1,301300,1633,26.6,855,51.2,15683,13.9,29.1,36.5,2.86,2.3,9.4,1.3,11,2.8,6.4,30.8,18.5,89.3,1.2,2.2,7.5,4.5,55.6,51.5,4.1,53.9,50.4,17.2,19.3,1.542245222,2.4,9.3,6.1,9.8,2.5,51796,66366,40,28.6,25272,5.9,5.1,24291,12.8,18.1,27.6,9,36,13,59.5,1.016079708,3.942683084,0.4585,56.88073394,42.37140366,96.03122967,-8.408851675,-31.66666667,-3.910614525,8.412159115,209.3,95.1,1,1,661,122,0,34,4,0,477071,1497525,8,118,10233.62221,32123.32146,0.171607534,2.53121112,61,72,38,1.308507443,1.544467802,0.815135784
0600000US1500190720,1500190720,60,"Honokaa-Kukuihaele, HI","Honokaa-Kukuihaele CCD, Hawaii County, Hawaii",Hawaii,20.1072972,-155.5725782,4500,50.8,49.2,15.53273427,39.01163563,4.6,3.4,39.5,37.7,0,0.3,28.4,8.2,6,36.3,1425,13.5,2.8,3.1,0.6,,,14.8,,,0,5.1,65.5,34.5,,,39,,,13.2,5.9,0.2,1.3,369800,2054,46,1013,47.1,1233,19.9,33.4,40.8,3.59,1.1,10.4,1.7,9.8,7.3,4.3,37.5,11.9,88.1,0.8,0.2,18.7,5.4,62.3,55.3,7,60.8,54.1,34.5,32,8.041440553,15.3,26.3,11.2,8.5,5.4,56734,69548,47,36.5,20265,3.9,2,22494,7.4,14.8,22.5,11.9,37,13,58.2,1.610904585,1.577777778,0.4171,66.33825944,95.43292103,135.8418367,9.666666667,79.48717949,7.476635514,37.75082261,175,96.5,0,0,58,137,0,31,0,0,16257,22271,0,11,3612.666667,4949.111111,0,2.444444444,0,1,0,0,0.222222222,0
0600000US1500191170,1500191170,60,"Kau, HI","Kau CCD, Hawaii County, Hawaii",Hawaii,19.2356053,-155.5438316,7669,49.6,50.4,31.61146388,8.205967442,5.5,2.5,48.6,38.4,0.1,0,18.7,7.9,10.3,37.3,4296,33.7,8.6,9.2,1,,,34.8,,,0.5,3.9,74.6,25.4,,,52.3,,,14.1,6.5,0,10.9,162800,1220,40,704,58.2,2847,6.6,18.3,37.2,2.68,1.6,12.4,0.7,8.1,5.5,5.4,44.9,9.3,91.7,0.3,2.5,18.6,7.6,52.3,46.7,5.6,49.3,44,45.7,22.7,9.674099485,18.5,11.9,22,18.9,1.2,41502,51458,40.9,22.9,14194,6.3,3.8,20705,17.6,27.6,43.5,9.8,21,11,42.3,1.271186441,0.378145782,0.5022,63.34106729,62.88384513,87.7739331,-1.39086116,-34.88372093,7.529411765,21.89899403,209.1,105.9,0,2,92,145,0,29,0,0,194454,581877,1,40,25355.84822,75873.90794,0.130395097,5.215803886,20,1,0,2.607901943,0.130395097,0
0600000US1500191350,1500191350,60,"Keaau-Mountain View, HI","Keaau-Mountain View CCD, Hawaii County, Hawaii",Hawaii,19.5585499,-155.0949534,34017,51,49,49.60418682,146.5896005,6.1,2.3,40.7,33.9,1.1,0.4,23.1,19.4,18.1,29.5,14336,16.4,3.2,3.4,0.4,,,28.5,,,1.9,4.8,68.7,31.3,,,45.3,,,19.7,3.5,0,3.7,225600,1362,39.2,1033,53.7,11986,13.4,29.3,24.9,2.83,5.1,10.6,2.5,13.5,4,6.6,34,14.8,90.1,1.5,2.5,11.5,8.3,51.9,47,4.8,51.3,48,31.4,23.2,3.645427637,6,13.8,11.5,19.1,1.6,38755,50764,28.4,15.7,26194,7.5,8.5,19378,23.3,28.6,38.7,19.2,22,11,62.6,1.397326853,0.270453009,0.4997,65.28,51.50166852,106.2157221,13.11162686,-21.31147541,1.948051948,14.50650501,214.9,93.9,0,0,132,80,0,33,4,0,501029,1427219,0,64,14728.78267,41956.05139,0,1.881412235,0,0,0,0,0,0
0600000US1500192430,1500192430,60,"North Hilo, HI","North Hilo CCD, Hawaii County, Hawaii",Hawaii,19.617504,-155.4204305,1898,54.1,45.9,10.34883721,5.964906378,7.8,0.7,34.9,27.9,0,0.2,32.1,7.7,15.9,25.2,899,25.9,0,19.1,0.9,,,17.6,,,3.6,5.1,69.1,30.9,,,30.9,,,10.1,0.3,0,0,260600,1980,25.9,854,52.3,666,5.7,43.5,38.4,2.85,0,5.6,0,4.2,1.9,9,25.3,15.6,98.5,0,0,16.8,1.5,63.1,54.7,7.9,64.1,58.2,43.3,36.3,0,2.9,20.7,6.3,2.7,0.6,55500,59512,44.4,29.1,10144,5.1,2,22101,9.4,11.5,12.8,12.6,32,17,37.8,0,0,0.3599,18.44660194,142.6470588,136.0507246,45.25433071,243.4782609,15.46666667,13.39553178,193,108.3,0,1,37,,0,33,4,0,12664,36856,0,3,6672.286617,19418.33509,0,1.58061117,2,0,0,1.05374078,0,0
0600000US1500192520,1500192520,60,"North Kohala, HI","North Kohala CCD, Hawaii County, Hawaii",Hawaii,20.176362,-155.8227292,6550,51,49,8.479629016,46.46383466,6.2,2.2,39.1,23.2,0.4,0,16.7,12.8,13.6,21.7,2541,22.7,4.3,0,0,,,18.3,,,0.8,5,69.9,30.1,,,29.8,,,17.9,4.5,0,1.3,348400,1674,34.1,1270,41.4,1964,11.5,37.6,38.6,3.32,1.3,7.2,1.9,8.5,2.4,5.3,42.9,18,92.5,0.1,0.4,7.1,2.3,62.3,56,6.3,57.8,54.6,30.5,40.2,3.458110517,6.7,33.5,8.3,3.6,2.9,59615,69637,46,25.7,21464,2.6,2.6,22716,12,19.8,29.1,17.1,28,15,49,0,0.351145038,0.4204,71.85385656,34.45783133,96.94742793,1.551252408,142.3076923,2.006688963,46.52489486,151.7,98.7,0,0,40,172,0,26,0,0,43999,72319,2,17,6717.40458,11041.0687,0.305343511,2.595419847,2,0,0,0.305343511,0,0
0600000US1500192610,1500192610,60,"North Kona, HI","North Kona CCD, Hawaii County, Hawaii",Hawaii,19.6685679,-155.9187231,40480,50.9,49.1,41.82111201,83.34276175,6.8,1.6,40.5,45.6,0.6,0.2,13.6,12.8,13.1,43.3,19568,28.6,3.2,9,0.1,,,22.9,,,0.8,4.5,59.5,40.5,,,42.4,,,30.2,3.8,0.1,0.2,421300,2097,49,1183,44.5,13967,10.6,30.3,29.2,2.84,1.9,10,1.6,12.9,2.2,6.5,31.2,17.9,79.9,0.5,4.5,14.7,7.1,68,61.8,6,62.3,58,20.7,28.1,0.961396243,3.2,23.4,12.6,6,3.9,61558,75156,32.2,18.3,34309,2.6,4.3,28484,9.7,14.4,20.8,7.9,29,9,72.1,1.56381571,1.966403162,0.4276,58.79194631,47.36472242,80.11970928,-2.350824931,122.2222222,0.975609756,19.64255743,165.5,103.4,1,6,486,61,0,25,0,0,1480490,3276523,17,328,36573.36957,80941.77372,0.419960474,8.102766798,54,4053,165,1.333992095,100.1235178,4.076086957
0600000US1500192700,1500192700,60,"Paauhau-Paauilo, HI","Paauhau-Paauilo CCD, Hawaii County, Hawaii",Hawaii,19.8281713,-155.4950401,3220,49.9,50.1,45.50384094,6.937385478,8,1.6,34.1,29.8,0,0,37.5,7.8,4,27.9,1001,14.9,5.9,0,1.5,,,16.3,,,0,5,70.9,29.1,,,34.2,,,16.3,2.6,0,1.2,311000,1579,38.1,1140,29.3,852,11.3,41.3,31.5,3.78,2.5,7.1,1.3,8.1,5,3.7,35.7,14.4,93.2,0,2.4,17.1,6.9,66.5,61.5,5,67.9,63.2,42.7,34.3,4.787592717,4.6,26.5,5.6,4.6,3.6,48838,67188,40,33.3,14142,4.3,1.4,20442,13.2,13.6,16.9,1.3,38,14,63.1,2.483443709,0,0.4072,85.36585366,62.28160329,174.2504409,26.81647727,6.382978723,8.101265823,8.606505118,181.3,109.2,0,0,45,148,0,29,0,0,21180,44809,1,11,6577.639752,13915.83851,0.310559006,3.416149068,0,0,0,0,0,0
0600000US1500192790,1500192790,60,"Pahoa-Kalapana, HI","Pahoa-Kalapana CCD, Hawaii County, Hawaii",Hawaii,19.427903,-155.0891095,10365,50.2,49.8,20.56531348,38.6869166,4.9,1,45.3,37.6,0.6,1.6,15.1,16.9,14.3,35.4,5408,26.7,4.7,11.4,0.6,,,28.2,,,1.2,4.6,67.6,32.4,,,41.4,,,19.7,6.6,0.1,4.5,178900,1275,41.7,991,67.7,3962,14.3,25.4,33.4,2.61,2.1,15.9,2.2,15.2,2.5,7,32.2,13,85.3,0.7,6.4,10.2,5.3,48,38.4,9.5,46,38.5,33.3,20.9,2.311589614,5.7,11,13.8,16.6,0.5,32353,42075,46.4,26.9,18774,9.7,11.6,17289,24.7,31.9,43.9,7.5,24,11,44.1,0.111940299,0.154365654,0.4671,62.99342105,74.18032787,107.5406032,1.842583249,1.063829787,5.714285714,29.4727872,226.6,107.1,0,1,76,96,0,33,2,0,270732,940698,0,42,26119.82634,90757.16353,0,4.052098408,4,0,6,0.385914134,0,0.578871201
0600000US1500192880,1500192880,60,"Papaikou-Wailea, HI","Papaikou-Wailea CCD, Hawaii County, Hawaii",Hawaii,19.8307533,-155.1516688,5126,52.5,47.5,3.32594235,52.81034444,3.9,3.9,45.3,35.8,0.7,0,26.1,8.6,10.5,31.9,2073,16.4,3.2,14.3,0.4,,,12,,,0.5,5.1,71.2,28.8,,,34.9,,,16.7,5.9,0,1.9,283300,1785,47.3,922,45.7,1734,13.4,26.1,43.8,2.92,1.3,4.7,1.7,9.5,5.1,7.7,28.1,22.1,94.7,0.2,1,13.9,6.7,52.7,47.4,5.3,47.1,42.4,24.3,18.1,2.069985214,7,11.5,12,8.7,0.4,43580,55856,42.9,24.7,32068,7.7,7.2,21412,17.1,19.4,28.5,9.4,42,14,46.7,0.16194332,1.111978151,0.4268,88.93442623,85.9375,110.4754829,4.817922607,29.26829268,-2.8,29.71233571,202.7,107.5,0,0,61,80,0,33,4,0,6975,13387,0,11,1360.710105,2611.587983,0,2.145922747,2,0,0,0.390167772,0,0
