GEO_ID,GEO_ID2,SUMLEVEL,GEO_NAME,Geography,REGION,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,TOTPOP,PCTMALES,PCTFEMALE,POPCHPCT,POPDENS,POP0_5PCT,POP85PCT,MEDAGE,POPWAPCT,POPBAPCT,POPNAPCT,POPAAPCT,POPPAPCT,POPHSPCT,POPWNPCT,TOTHU,PCTVACANT,HMOWNVAC,RENTVAC,PCTMBLHM,PCTBLT2014,PCTBLT2010_13,PCTBLT2000_09,HUMNR,PCTOWNER,PCTRENTER,MOV2015,MOV2010_14,MOV2000_09,PCTNOVHCL,HOUSHEATFUEL,PCTNOPLBG,MEDHOMVAL,MED_MTMRG,OWNRMTHLYCST,MED_GRRNT,RENTRMTHLYCST,TOTHH,PCTHFOFMNOHS,PCTHHUNDR18,PCTHHUOVER65,AVGHHSZE,PCTMALESEPARATD,PCTMALEDIVORCD,PCTFEMALESEPARATD,PCTFEMALEDIVORCD,PCTPOP9THGRD,PCTNODIPLOMA,PCTPOPHSGRD,PCTBATCHLRS,PCTLIVESMHS,PCTLIVEDRCO,PCTLIVDFST,PCTFORBRN,PCTSPKENGNTWL,PCTLABFORCE,PCTEMPLOYED,PCTUNEMPLD,PCTLABFEMALE,PCTEMPFEMA,MEANTRAVTIM,PCTSERVOCC,PCTFRMFSHOCC,PCTAGRFRFSH,PCTSERVIND,PCTSLFEMP,PCTHHHUNDR10K,PCTHH200K,MEDHHINC,MEANHHINC,PCTRECSOC,PCTRECRET,MEANRETINC,PCTRECSSI,PUBLICASSIST,PERCPHHINC,PCTFMINPOV,PCTPOV,PCTCHLDPOV,PCT65POV,MEDDWELLAGE,MDYRSRESID,HASMORTGAGE,HSMORTGAGELON,PCTGRPQRTRS,GINIINDX,PCTCHGRNT,PCTCHGMRG,PCTCHNGHOMVAL,PCTCHGRENTER,PCTCHGUNEM,PCTCHGRAVTIM,PCTWTRCVG,NEARCTYPOP,CSTOFLIVNG,MARINANUM,NUMBOTRMPS,EPAREGFAC,CRIMINDEX,HAILRSKAVG,HURRSKAVG,TORNRSKAVG,WNDRSKAVG,POUNDS_17,VALUE_17,DEALERNUM_17,COMMPMT_17,PNDSPRPOP_17,VALUPRPOP_17,DEALERNUMPRPOP_17,COMMPRPOP_17,RECPSSRMODESH_17,RECPSSRMODECH,RECPSSRMODEPR_17,RECPSSRMODESHPOP_17,RECPSSRMODECHPOP_17,RECPSSRMODEPRPOP_17
0600000US1500190630,1500190630,60,"Hilo, HI","Hilo CCD, Hawaii County, Hawaii",Hawaii,19.6868952,-155.2344328,47938,50.2,49.8,12.99469652,160.7469794,5.1,3.7,40.5,18.8,0.8,0.2,32.3,9.6,11.2,16.1,19021,13,1.8,6.8,0.2,0.3,1.3,8.7,5.1,61.8,38.2,8.4,24.7,25.2,6.8,0,0.4,304800,1500,26.5,992,49.5,16556,15.3,28.5,36.7,2.77,2.1,8.1,1.5,11.6,2,5.5,31.1,21.8,90.3,1.2,2,7.5,4.4,55.9,52.2,3.5,55.2,51.6,17.6,19.4,1.086376643,2.3,10.2,7.9,9.6,2.7,56829,69843,39.9,27.3,27219,7.1,5.8,26143,13.5,19.1,26.3,9.1,39,14,58.8,0.263697627,4.278442989,0.4594,82.01834862,30.77593723,98.30839297,-1.164354067,-41.66666667,-1.675977654,8.413965575,209.3,5,1,1,661,93.87879,0,34.09091,4,0,214135,686231,10,103,4466.9155993157829,14314.969335391546,0.2086027785890108,2.148608619466811,29,0,11,0.604948058,0,0.229463056
0600000US1500190720,1500190720,60,"Honokaa-Kukuihaele, HI","Honokaa-Kukuihaele CCD, Hawaii County, Hawaii",Hawaii,20.1072972,-155.5725782,4292,48.1,51.9,10.19255456,37.20843102,5.5,2,43.3,31.7,0,0,31.5,7.5,10.9,29.1,1444,19.9,4.4,1.5,0.7,0,1.5,13.2,5.2,72.3,27.7,3.5,19.6,29.7,2.9,0.3,2.1,356400,1664,36.5,835,42.9,1157,21.9,37.3,52.6,3.66,0.6,8.9,4.2,13.3,5.6,2.4,44.6,12.8,87,0.3,0.1,18.6,9.5,63.8,58.8,5,59.9,56.2,38.1,33.5,10.11342155,18.7,28.3,7.9,5.3,4.9,61549,73239,53.8,37.6,16607,4.7,2.4,23045,7.4,15.3,25.5,9.5,42,16,65.5,1.314217443,1.304753029,0.387,37.11001642,58.32540438,127.2959184,-11.94879227,28.20512821,18.69158879,37.75079296,175,5,0,0,58,114.66667,0,31.66667,0,0,68961,169579,0,11,16067.334575955267,39510.484622553588,0,2.5629077353215286,0,0,0,0,0,0
0600000US1500191170,1500191170,60,"Kau, HI","Kau CCD, Hawaii County, Hawaii",Hawaii,19.2356053,-155.5438316,8948,48.8,51.2,53.5610091,9.624403362,8.9,1.8,41.8,36.2,0.8,0.4,17.9,11.9,19.5,33,4094,29.8,5.1,10,2.1,0.9,5,34.3,4.1,76.5,23.5,9,29.1,32,5.8,0.2,6.1,166900,1081,26.7,1078,65.1,2876,10.6,30.3,40.3,3.1,1.5,9.1,3.4,9.2,5.5,5.5,38.8,12.9,90.9,0.3,5.7,16.1,11.1,50.3,44.2,6,42,37.8,35.9,21.8,9.244288225,19.8,9.3,16.3,16.3,1.9,43697,54306,52.6,25.2,17049,6.7,3.1,19396,25,32,47.5,12.8,23,11,44.1,0,0.424675905,0.5123,150.1160093,44.32576769,92.50288351,-8.767135325,-30.23255814,-15.52941176,21.98805957,209.1,5,0,2,92,113,0,30,0,0,271125,892473,1,36,30300.067054090297,99739.941886455068,0.11175681716584711,4.0232454179704957,32,1,0,3.576218149,0.111756817,0
0600000US1500191350,1500191350,60,"Keaau-Mountain View, HI","Keaau-Mountain View CCD, Hawaii County, Hawaii",Hawaii,19.5585499,-155.0949534,36124,51.4,48.6,58.87061307,155.3432877,5.5,2.3,40.7,35.6,0.3,0.5,19.1,16.6,16.9,30.3,14902,15.3,1.7,2.9,0.4,0.4,2.5,29.8,4.8,74.5,25.5,7.8,25.1,37.9,3.1,0,2.2,219900,1322,32,1084,53.7,12625,13.1,28.3,31.2,2.86,3,12.1,1.4,16.3,2.2,5.2,34.3,15.4,92.5,0.4,1.6,9,5.3,51.1,47.5,3.6,49.5,47.4,31,21.1,1.835525365,4.4,13.6,11.5,13.1,1.9,44853,57413,35,18.4,23215,8.3,5.1,21704,17.3,22.7,27.8,11.9,24,11,59.2,0.148904488,0.160558078,0.4706,73.44,47.05228031,101.0054845,-7.848355115,-40.98360656,0.649350649,14.48086008,214.9,5,0,0,132,98.26667,0,33.46667,3.2,0,328961,1099912,0,59,9106.4389325656066,30448.233861144945,0,1.633263204517772,8,0,0,0.221459418,0,0
0600000US1500192430,1500192430,60,"North Hilo, HI","North Hilo CCD, Hawaii County, Hawaii",Hawaii,19.5103591,-155.5478792,1617,52.6,47.4,-5.988372093,5.042132816,6.2,5.2,47.1,31.2,0.9,2,39.3,0,13.5,25,857,32.7,2.8,15.2,1.9,0,3.5,20.7,5,77.1,22.9,5.5,25.5,33.4,1.4,0,0,298700,1484,58.6,668,54.5,577,11.3,32.4,38,2.8,1.4,4,0.6,10.5,2.1,10.6,30.3,16,91.2,0,3.2,21.2,6.7,50.9,46.3,4.6,48.9,46.9,40.3,31.5,7.55033557,12.9,30.5,10.7,3.8,2.1,37404,53000,51.6,27.2,23308,9.4,1,21255,22.2,21.4,26.4,25.8,38,13,38,0,0,0.4494,-7.350901526,81.8627451,170.5615942,7.648031496,100,7.466666667,13.30479423,193,5,0,1,37,192,0,33.5,3.5,0,1574,7424,0,2,973.40754483611624,4591.2183055040196,0,1.2368583797155226,2,0,0,1.23685838,0,0
0600000US1500192520,1500192520,60,"North Kohala, HI","North Kohala CCD, Hawaii County, Hawaii",Hawaii,20.176362,-155.8227292,6310,47.4,52.6,4.504802915,44.76134227,7.6,2.8,41.6,31.6,0.2,0,20.9,12.6,12.7,29.8,2566,22.8,2,7,0,0.2,1.8,21.5,5,68.7,31.3,6.3,24.9,31.9,3.6,0,1.6,365700,1533,21.3,1247,36.7,1980,12.9,33.4,43.2,3.18,1.1,7.2,1.7,9.6,2.6,4.3,37.6,18,88.1,0.9,1.6,13.5,6.4,64,59.4,4.6,61.9,57.5,32.7,44.1,2.555592433,4.8,38.2,13,4.8,7,71209,80349,45.1,23.8,21991,3.5,2.1,27096,11.3,14.3,16.9,7.1,27,13,52.8,0,0.332805071,0.4105,68.74154263,23.13253012,106.7269644,5.599807322,76.92307692,9.364548495,46.52466583,151.7,5,0,0,40,127.5,0,25.5,0,0,37552,140535,2,16,5951.1885895404121,22271.79080824089,0.31695721077654521,2.5356576862123617,0,0,0,0,0,0
0600000US1500192610,1500192610,60,"North Kona, HI","North Kona CCD, Hawaii County, Hawaii",Hawaii,19.6685679,-155.9187231,41369,50.5,49.5,44.93571103,84.69075835,6.5,1.9,43.5,45.1,0.5,0.3,17,14.6,10.5,41.4,20131,28.5,3.2,16.2,0.1,0.3,2.6,24.5,4.7,60.9,39.1,13.2,35.7,27.9,4.7,0,0.4,489900,2179,34.6,1295,41.5,14395,8.2,26.4,34.6,2.81,1.7,11.2,0.6,13.2,2,6.2,27.2,22,85,0.7,4.2,13.7,6.4,64.9,61.2,3.4,62.3,58.5,20.2,25.2,1.263362488,2.4,20.1,10.5,5.6,6,70315,87085,37.9,21.1,36054,3.5,2.8,32216,7.9,11.4,13.1,8.1,29,7,64.2,0.296769775,2.061930431,0.4316,73.82550336,53.12719606,109.4484823,-5.726351971,25.92592593,-1.463414634,19.5531974,165.5,5,1,6,486,104.95,0,25.2,0,0,790715,2242712,8,231,19113.708332326139,54212.381251661871,0.19338151756145908,5.5838913195871305,77,3551,357,1.861297107,85.83722111,8.629650221
0600000US1500192700,1500192700,60,"Paauhau-Paauilo, HI","Paauhau-Paauilo CCD, Hawaii County, Hawaii",Hawaii,19.8281671,-155.4950421,3003,47,53,35.69814731,6.464721467,10,2.8,41.1,30.7,0,0,33.4,5.5,9.8,25.5,1062,18.1,7.2,0,1.3,0,0.8,16,5.1,73.3,26.7,1.8,32,26.4,3,0,1.8,298600,1539,28.6,1099,51.4,870,17,36.3,43,3.45,3.9,7.2,0.7,9.9,5.3,7.2,34.5,12.8,95.2,0,0.3,17.7,7.3,64.6,61,3.7,64,62.8,41.2,29.4,8.315863033,9.1,24.5,7.3,4.8,4.9,55985,73748,50.8,31.7,20807,5.7,0.2,23463,14.3,13.6,26,3.1,42,13,57.5,0,0,0.4501,78.69918699,58.17060637,163.3156966,16.35738636,-21.27659574,4.303797468,8.600098164,181.3,5,0,0,45,78,0,29,0,0,25435,78372,1,10,8469.8634698634687,26097.902097902097,0.33300033300033299,3.33000333000333,0,0,0,0,0,0
0600000US1500192790,1500192790,60,"Pahoa-Kalapana, HI","Pahoa-Kalapana CCD, Hawaii County, Hawaii",Hawaii,19.427903,-155.0891095,11228,48.3,51.7,30.60369896,41.90980185,7.1,1.1,45.1,44.8,1.3,1.5,9.5,16.2,17.7,39.9,5617,24,1.6,2.8,0,0.6,3.9,23.4,4.8,72.4,27.6,10.5,26.6,32,4.9,0,3.3,208200,1212,32.3,1055,58.1,4271,13.9,23.9,41.1,2.62,4.2,18.8,1.6,15.5,1.4,5.4,27.7,15.1,80.3,0.8,7.6,8.2,4,51.2,41.4,9.8,51,41.7,28.8,22.2,4.125950054,5,8.4,16.5,15.1,1.7,35055,47245,46.7,24.8,23931,5.1,8.5,19513,18.6,25.1,36.7,14.9,26,11,45.5,0.129282482,0.169219808,0.4681,73.51973684,65.57377049,141.5313225,-13.24520686,4.255319149,-8.571428571,29.47387304,226.6,5,0,1,76,107.16667,0,32.5,2.666667,0,129667,548662,0,29,11548.539365871036,48865.514784467407,0,2.5828286426790168,11,10,0,0.979693623,0.890630566,0
0600000US1500192880,1500192880,60,"Papaikou-Wailea, HI","Papaikou-Wailea CCD, Hawaii County, Hawaii",Hawaii,19.8307533,-155.1516688,4646,47.3,52.7,-6.349526305,47.86516368,5.6,4.1,49.6,36.2,0.2,0.2,32.9,6.6,13.5,29.9,2184,21.4,2.2,7.1,0.5,0.2,0.5,12,5.1,74.2,25.8,4.7,25.1,24.1,4.6,0,2.3,260700,1673,40.2,926,42.9,1716,12.1,21.7,48.6,2.69,0.8,6.9,1,9,2.8,4.8,31.8,21.5,95.7,1,0.7,18,8.2,52.2,49.7,2.5,51.3,48.4,28.6,20.8,2.972399151,7,11.3,12.8,7.1,1.9,50321,66941,44.3,27.8,33573,8.7,4.5,26643,12.8,20,29.5,13.7,42,15,48.2,0,0.495049505,0.4757,89.75409836,74.27083333,93.68499257,-6.100610998,-39.02439024,14.4,29.71223047,202.7,5,0,0,61,108.5,0,32.75,4,0,3100,9648,0,8,667.24063710718895,2076.6250538097288,0,1.7219113215669393,3,0,0,0.645716746,0,0
