"Year","GEO_ID2","Community","County","PRIMARY_LATITUDE","PRIMARY_LONGITUDE","TotPopulation","PopDensity","PCTWaterCover","BoatLaunches1000","Pounds1000","Value1000","Dealers1000","CommPermits1000","RecFshTrps1000"
2010,1500190630,"Hilo","Hawaii County",19.6869881,-155.2335958,50805,170.3250005,8.412352385,1,10763.17292,26420.01771,0.177147919,2.342289145,6.239543352
2010,1500190720,"Honokaa-Kukuihaele","Hawaii County",20.1072972,-155.5725782,4509,39.08965773,37.75065199,0,2177.866489,3130.627634,0.221778665,2.661343979,0
2010,1500191170,"Kau","Hawaii County",19.2387695,-155.5469905,6949,7.435778133,21.89951003,2,13136.71032,20981.58008,0.143905598,4.17326234,2.014678371
2010,1500191350,"Keaau-Mountain View","Hawaii County",19.5586293,-155.0952535,27063,116.6314464,14.50741977,0,10852.78794,23261.9074,0.073901637,2.032295015,0.147803274
2010,1500192430,"North Hilo","Hawaii County",19.617504,-155.4204305,1896,5.958645171,13.39558019,1,7218.881857,14854.43038,0,2.109704641,1.582278481
2010,1500192520,"North Kohala","Hawaii County",20.176362,-155.8227292,5303,37.61790605,46.52458501,0,7302.658872,9465.962663,0.377145012,5.280030172,3.205732604
2010,1500192610,"North Kona","Hawaii County",19.6674725,-155.9154358,38825,79.93547114,19.6425849,6,31500.09015,57943.51578,0.334835802,9.426915647,104.571796523
2010,1500192700,"Paauhau-Paauilo","Hawaii County",19.809767,-155.5061027,2415,5.202834072,8.60608148,0,4887.784679,7492.339545,0.82815735,5.383022774,0
2010,1500192790,"Pahoa-Kalapana","Hawaii County",19.426842,-155.0895975,9644,35.99557463,29.47263328,1,25360.94981,53734.44629,0,3.421816674,3.732890917
2010,1500192880,"Papaikou-Wailea","Hawaii County",19.8307533,-155.1516688,5649,58.19582052,29.7113063,0,678.173128,1604.177731,0,1.062134891,5.133651974
2010,1500193150,"South Kohala","Hawaii County",19.9375677,-155.7344009,17752,51.67995135,12.78952036,2,6009.858044,10139.08292,0.281658405,3.943217666,9.801712483
2010,1500193240,"South Kona","Hawaii County",19.3373678,-155.8372283,9552,28.88574896,26.83403871,2,20952.366,48279.52261,0.314070352,8.37520938,2.931323283
2010,1500390270,"Ewa","Honolulu County",21.3689599,-158.020929,320373,1939.898437,31.68216611,1,4592.824614,15326.47258,0.043699063,0.746005437,0.730398629
2010,1500390810,"Honolulu","Honolulu County",27.7845986,-175.8600409,382622,4301.955638,92.44874634,6,36002.5665,122465.9978,0.057498001,0.763155281,4.827218508
2010,1500391710,"Koolauloa","Honolulu County",21.6375126,-157.9523666,19634,285.9971709,60.39734302,1,4995.161455,13309.15758,0,1.171437303,1.833554039
2010,1500391800,"Koolaupoko","Honolulu County",21.4369085,-157.7454893,118083,1751.348506,64.66481622,5,16877.45061,58363.63405,0.016937239,1.329573266,1.98165697
2010,1500393420,"Wahiawa","Honolulu County",21.5011916,-158.0264564,36724,925.7699705,1.237271747,0,13979.16894,49557.42838,0.027230149,0.517372835,0
2010,1500393510,"Waialua","Honolulu County",21.5812308,-158.1222568,13066,118.8282155,37.83336749,3,13714.90892,28395.83652,0,2.066431961,52.885351298
2010,1500393600,"Waianae","Honolulu County",21.4613641,-158.2019756,46482,762.6067216,52.11796333,7,17281.22714,55606.19164,0.086054817,1.721096338,7.27163203
2010,1500590990,"Kalawao","Kalawao County",21.2187644,-156.9740097,74,6.171046837,77.30146326,0,NA,NA,NA,NA,0
2010,1500790180,"Eleele-Kalaheo","Kauai County",21.9171599,-159.5311099,8409,234.1155642,34.50305502,1,6295.278868,9594.838863,0.118920205,3.091925318,51.254608162
2010,1500790540,"Hanalei","Kauai County",22.1997371,-159.4970614,7126,57.95439167,43.84809448,2,6714.005052,7878.89419,0.561324726,4.630928992,17.541397699
2010,1500791080,"Kapaa","Kauai County",22.0904889,-159.3064559,8091,2256.047611,74.20053907,1,23025.58398,30714.62118,0.247188234,7.168458781,24.47163515
2010,1500791260,"Kaumakani-Hanapepe","Kauai County",22.0053299,-159.5992211,3845,31.71642233,19.12849203,1,25101.95059,29501.95059,0,3.901170351,0
2010,1500791440,"Kekaha-Waimea","Kauai County",22.0723781,-159.7347792,4679,51.82475233,55.60852105,1,35451.3785,94081.42766,0.427441761,4.488138491,9.403718744
2010,1500791620,"Koloa-Poipu","Kauai County",21.8805412,-159.4452894,5720,235.3336282,58.5441515,2,13940.20979,39691.43357,1.223776224,2.097902098,5.76923077
2010,1500792160,"Lihue","Kauai County",21.965615,-159.3325091,6534,1062.432945,65.20958892,1,42473.37006,123375.2678,1.224364861,5.203550658,120.293847595
2010,1500792340,"Niihau","Kauai County",21.8676031,-160.2321837,NA,NA,79.54972855,0,NA,NA,NA,NA,NA
2010,1500792970,"Puhi-Hanamaulu","Kauai County",21.983507,-159.3861793,8530,108.2395389,28.489066,2,7619.460727,19647.59672,0.234466589,1.055099648,0.703399766
2010,1500793780,"Wailua-Anahola","Kauai County",22.1270048,-159.3440621,12526,181.240834,36.17062066,1,2559.396455,2862.525946,0.079833945,1.117675236,1.357177072
2010,1500990090,"East Molokai","Maui County",21.1310836,-156.8363995,4903,39.91444796,58.7972541,1,5399.755252,17249.43912,0.407913522,3.263308179,40.791352226
2010,1500990360,"Haiku-Pauwela","Maui County",20.9163573,-156.2587054,9552,159.5936347,46.68021251,1,6139.447236,15853.11977,0,2.931323283,1.465661642
2010,1500990450,"Hana","Maui County",20.7109582,-156.0964687,2351,10.98420578,43.89765666,2,25349.63845,63700.97831,0.850701829,7.656316461,8.50701829
2010,1500990900,"Kahului","Maui County",20.878197,-156.4793696,24712,4307.527282,14.01533126,1,2744.253804,6558.068954,0.283263192,1.45678213,7.16251214
2010,1500991530,"Kihei","Maui County",20.784995,-156.4668463,23066,604.9485688,46.43822451,4,3373.580161,9229.558658,0.130061562,1.604092604,40.05896124
2010,1500991890,"Kula","Maui County",20.600356,-156.42133,12135,52.45205092,50.86501957,0,7758.220025,13275.23692,0,2.801812938,6.839719819
