"Year","Community","County","TotPopulation","PopDensity","PCTWaterCover","Pounds1000","Value1000","Dealers1000","CommPermits1000","RecFshTrps1000","nominal_revenue","Dollars1000"
2010,"Hilo","Hawaii County",50805,170.3250005,8.412352385,10763.17292,26420.01771,0.177147919,2.342289145,6.239543352,26420.01771,31220.2479416443
2010,"Honokaa-Kukuihaele","Hawaii County",4509,39.08965773,37.75065199,2177.866489,3130.627634,0.221778665,2.661343979,0,3130.627634,3699.42866879491
2010,"Kau","Hawaii County",6949,7.435778133,21.89951003,13136.71032,20981.58008,0.143905598,4.17326234,2.014678371,20981.58008,24793.7052690592
2010,"Keaau-Mountain View","Hawaii County",27063,116.6314464,14.50741977,10852.78794,23261.9074,0.073901637,2.032295015,0.147803274,23261.9074,27488.3432931495
2010,"North Hilo","Hawaii County",1896,5.958645171,13.39558019,7218.881857,14854.43038,0,2.109704641,1.582278481,14854.43038,17553.3190244593
2010,"North Kohala","Hawaii County",5303,37.61790605,46.52458501,7302.658872,9465.962663,0.377145012,5.280030172,3.205732604,9465.962663,11185.8252552703
2010,"North Kona","Hawaii County",38825,79.93547114,19.6425849,31500.09015,57943.51578,0.334835802,9.426915647,104.571796523,57943.51578,68471.2231883731
2010,"Paauhau-Paauilo","Hawaii County",2415,5.202834072,8.60608148,4887.784679,7492.339545,0.82815735,5.383022774,0,7492.339545,8853.61625512274
2010,"Pahoa-Kalapana","Hawaii County",9644,35.99557463,29.47263328,25360.94981,53734.44629,0,3.421816674,3.732890917,53734.44629,63497.4114928695
2010,"Papaikou-Wailea","Hawaii County",5649,58.19582052,29.7113063,678.173128,1604.177731,0,1.062134891,5.133651974,1604.177731,1895.63939941373
2010,"South Kohala","Hawaii County",17752,51.67995135,12.78952036,6009.858044,10139.08292,0.281658405,3.943217666,9.801712483,10139.08292,11981.2441512285
2010,"South Kona","Hawaii County",9552,28.88574896,26.83403871,20952.366,48279.52261,0.314070352,8.37520938,2.931323283,48279.52261,57051.3874340784
2010,"Ewa","Honolulu County",320373,1939.898437,31.68216611,4592.824614,15326.47258,0.043699063,0.746005437,0.730398629,15326.47258,18111.1261646619
2010,"Honolulu","Honolulu County",382622,4301.955638,92.44874634,36002.5665,122465.9978,0.057498001,0.763155281,4.827218508,122465.9978,144716.739318827
2010,"Koolauloa","Honolulu County",19634,285.9971709,60.39734302,4995.161455,13309.15758,0,1.171437303,1.833554039,13309.15758,15727.2869421561
2010,"Koolaupoko","Honolulu County",118083,1751.348506,64.66481622,16877.45061,58363.63405,0.016937239,1.329573266,1.98165697,58363.63405,68967.6723845161
2010,"Wahiawa","Honolulu County",36724,925.7699705,1.237271747,13979.16894,49557.42838,0.027230149,0.517372835,0,49557.42838,58561.474801293
2010,"Waialua","Honolulu County",13066,118.8282155,37.83336749,13714.90892,28395.83652,0,2.066431961,52.885351298,28395.83652,33555.0515671777
2010,"Waianae","Honolulu County",46482,762.6067216,52.11796333,17281.22714,55606.19164,0.086054817,1.721096338,7.27163203,55606.19164,65709.2326412142
2010,"Kalawao","Kalawao County",74,6.171046837,77.30146326,NA,NA,NA,NA,0,NA,NA
2010,"Eleele-Kalaheo","Kauai County",8409,234.1155642,34.50305502,6295.278868,9594.838863,0.118920205,3.091925318,51.254608162,9594.838863,11338.1168608984
2010,"Hanalei","Kauai County",7126,57.95439167,43.84809448,6714.005052,7878.89419,0.561324726,4.630928992,17.541397699,7878.89419,9310.40368018666
2010,"Kapaa","Kauai County",8091,2256.047611,74.20053907,23025.58398,30714.62118,0.247188234,7.168458781,24.47163515,30714.62118,36295.1342122049
2010,"Kaumakani-Hanapepe","Kauai County",3845,31.71642233,19.12849203,25101.95059,29501.95059,0,3.901170351,0,29501.95059,34862.134548582
2010,"Kekaha-Waimea","Kauai County",4679,51.82475233,55.60852105,35451.3785,94081.42766,0.427441761,4.488138491,9.403718744,94081.42766,111175.001110515
2010,"Koloa-Poipu","Kauai County",5720,235.3336282,58.5441515,13940.20979,39691.43357,1.223776224,2.097902098,5.76923077,39691.43357,46902.9359032441
2010,"Lihue","Kauai County",6534,1062.432945,65.20958892,42473.37006,123375.2678,1.224364861,5.203550658,120.293847595,123375.2678,145791.213800922
2010,"Niihau","Kauai County",NA,NA,79.54972855,NA,NA,NA,NA,NA,NA,NA
2010,"Puhi-Hanamaulu","Kauai County",8530,108.2395389,28.489066,7619.460727,19647.59672,0.234466589,1.055099648,0.703399766,19647.59672,23217.3516228819
2010,"Wailua-Anahola","Kauai County",12526,181.240834,36.17062066,2559.396455,2862.525946,0.079833945,1.117675236,1.357177072,2862.525946,3382.61581632793
2010,"East Molokai","Maui County",4903,39.91444796,58.7972541,5399.755252,17249.43912,0.407913522,3.263308179,40.791352226,17249.43912,20383.4748368418
2010,"Haiku-Pauwela","Maui County",9552,159.5936347,46.68021251,6139.447236,15853.11977,0,2.931323283,1.465661642,15853.11977,18733.4594284034
2010,"Hana","Maui County",2351,10.98420578,43.89765666,25349.63845,63700.97831,0.850701829,7.656316461,8.50701829,63700.97831,75274.7541198944
2010,"Kahului","Maui County",24712,4307.527282,14.01533126,2744.253804,6558.068954,0.283263192,1.45678213,7.16251214,6558.068954,7749.59884621061
2010,"Kihei","Maui County",23066,604.9485688,46.43822451,3373.580161,9229.558658,0.130061562,1.604092604,40.05896124,9229.558658,10906.4692104898
2010,"Kula","Maui County",12135,52.45205092,50.86501957,7758.220025,13275.23692,0,2.801812938,6.839719819,13275.23692,15687.2032666957
2010,"Lahaina","Maui County",20121,211.1454642,54.79500569,9452.909895,15333.73093,0.347895234,2.137070722,68.187465831,15333.73093,18119.7032780134
2010,"Lanai","Maui County",3335,23.64131166,59.73002769,3287.856072,5661.469265,0.59970015,5.397301349,23.08845577,5661.469265,6690.0967329934
2010,"Makawao-Paia","Maui County",20729,478.7509835,22.22657281,15939.36032,50109.70138,0.144724782,2.315596507,0.482415939,50109.70138,59214.0898063522
2010,"Puunene","Maui County",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2010,"Spreckelsville","Maui County",280,14.18086854,54.84444889,4942.857143,11810.71429,3.571428571,3.571428571,17.85714286,11810.71429,13956.5927831364
2010,"Waihee-Waikapu","Maui County",5201,94.78070207,45.85102523,4483.560854,9168.621419,0.384541434,3.268602192,0,9168.621419,10834.4603370915
2010,"Wailuku","Maui County",21685,3896.579629,7.072852415,2223.241872,4546.414572,0.23057413,1.660133733,0,4546.414572,5372.44871450712
2010,"West Molokai","Maui County",2641,21.02265878,56.04185465,1283.226051,656.1908368,0.378644453,2.271866717,2.271866717,656.1908368,775.413584002895
2011,"Hilo","Hawaii County",48840,163.7372882,8.412348495,10480.56921,26375.26618,0.143325143,2.334152334,5.364455364,26375.26618,30532.4988725863
2011,"Honokaa-Kukuihaele","Hawaii County",4710,40.83217699,37.75065202,4627.388535,7283.864119,0,3.397027601,1.061571125,7283.864119,8431.93662894965
2011,"Kau","Hawaii County",7020,7.511751473,21.89950946,15483.90313,30653.4188,0.284900285,3.988603989,3.703703703,30653.4188,35484.9679455221
2011,"Keaau-Mountain View","Hawaii County",28753,123.9116262,14.50711068,12344.93792,31968.10768,0.03477898,2.017180816,0.139115918,31968.10768,37006.8762543316
2011,"North Hilo","Hawaii County",1982,6.228951927,13.39563766,5531.281534,10825.9334,0,1.513622603,0,10825.9334,12532.3019329693
2011,"North Kohala","Hawaii County",5675,40.25676251,46.5245826,5654.096916,9615.682819,0.352422907,3.524229075,1.057268722,9615.682819,11131.2933422788
2011,"North Kona","Hawaii County",40184,82.73414589,19.64271344,39105.93769,65028.51881,0.373282899,8.983675095,106.086999804,65028.51881,75278.223305964
2011,"Paauhau-Paauilo","Hawaii County",2562,5.519528214,8.606080635,4964.480874,8240.046838,0.390320062,3.903200625,0,8240.046838,9538.83153535981
2011,"Pahoa-Kalapana","Hawaii County",9958,37.16790035,29.47282493,23302.5708,61124.22173,0,3.816027315,3.313918457,61124.22173,70758.5363621508
2011,"Papaikou-Wailea","Hawaii County",5608,57.77610584,29.71227097,226.9971469,714.1583452,0,0.713266762,2.674750357,714.1583452,826.722988153254
2011,"South Kohala","Hawaii County",17737,51.63629962,12.78952401,6091.503636,10216.10193,0.33827592,3.157241924,3.157241923,10216.10193,11826.3496766709
2011,"South Kona","Hawaii County",9968,30.14381232,26.83407757,21082.46388,47971.20787,0.200642055,7.724719101,1.80577849,47971.20787,55532.3627906369
2011,"Ewa","Honolulu County",324250,1963.374219,31.68216551,5219.176561,18554.9946,0.040092521,0.746337702,0.724749422,18554.9946,21479.606986296
2011,"Honolulu","Honolulu County",387918,4361.500115,92.4487458,37706.9226,136298.6069,0.051557288,0.793982233,4.232853334,136298.6069,157781.803342139
2011,"Koolauloa","Honolulu County",19856,289.2309187,60.39734307,4817.888799,14497.88477,0,1.158340048,1.20870266,14497.88477,16783.0211598232
2011,"Koolaupoko","Honolulu County",114979,1705.311468,64.66481571,17763.78295,61397.28994,0.017394481,1.321980536,1.817723237,61397.28994,71074.6452027997
