"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"MAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOB",0,0,0,1.81436948,0,5.44310844,0,0,0,0,0,0,0,0,0,4.98951607,0,0,0,1.81436948,2.540117272,3.62873896,0
"BG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFF",0,0,0,0,0,0,0,19.05087954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC",0,0,0,0,0,0,0,0,0,0,0,0,2.72155422,0,0,1.1659420695,0.226796185,0,0,0,0,0,0
"BIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045359237,0,0,0,0,0,0,0
"OCT",79.37866475,4.08233133,3.62873896,0,0,0,0,109.134324222,54.022851267,43.99845989,481.941893125,285.173523019,571.571745437,403.561131589,733.00526992,111.402286072,98.88313666,28.57631931,70.805768957,14.96854821,10.43262451,2.494758035,74.706663339
"CEP",3494.47561848,1571.24396968,1735.761922279,830.52762947,962.97660151,1195.21589495,513.01297047,968.646506135,522.08481787,90.26488163,193.457145805,211.056529761,342.416880113,408.68672537,1654.432810338,2322.574371348,1000.307253561,1166.957090299,1422.601750031,1614.244526356,245.030598274,222.759212907,213.687365507
"DFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHP",778.81809929,235.8680324,410.04750248,214.54919101,85.27536556,261.72279749,259.90842801,1997.257923584,7871.505911269,5183.336089701,4985.978049514,5740.66503472,8816.47489569,5204.019901773,9539.649581882,8342.062635907,5340.415127432,8610.634678184,13114.035805255,19630.797385045,18453.95198108,12658.039395694,11171.571839967
"PIS",20706.4916905,14260.717316615,13970.327481341,18127.274756206,12110.961638237,16300.340767557,12081.43277495,11313.818407199,11028.055214099,11107.5567267825,12158.180603954,8434.005809306,19108.531130227,14023.397788631,12711.291139932,18718.305614316,15871.559900196,19463.920752122,14838.639355232,15719.379660061,16455.560076571,16216.3505803787,20089.15247493
"SHR",4906.05507392,3977.09790016,4172.14261926,26739.2702115,32594.24052346,3371.55208621,2524.69513142,1610.70650587,1118.25638950667,625.50387823,801.724513975,1048.932355625,1346.79134525833,1518.02246493333,1723.72660472833,3292.400217645,2553.7250431,3025.76350281333,1595.057569105,1705.05371883,2110.56529761,2325.976314123,2079.176705606
