"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"MAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OCT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHP",87698.2323725742,145886.635328882,145886.635328882,62810.3587526306,145886.635328882,56265.6403364818,80021.1685071858,87698.2323725742,126230.994198835,80021.1685071858,62810.3587526306,125750.484319985,107826.54092366,56265.6403364818,113688.790790749,118098.627235669,46801.5354498307,87698.2323725742,126230.994198835,145886.635328882,164644.028428056,125750.484319985,80021.1685071858
"PIS",664373.092993932,190023.555198186,190023.555198186,232478.289871342,351123.058301705,351123.058301705,232478.289871342,307699.337863953,279061.124931244,376606.403970352,373333.476749885,664373.092993932,190023.555198186,405001.11401092,232478.289871342,351123.058301705,279061.124931244,405159.820423634,328310.846462269,307699.337863953,467118.555157309,376606.403970352,328310.846462269
"SHR",0,0,0,0,0,0,0,0,28357.0019229174,0,230145.435614498,0,28357.0019229174,0,0,0,0,0,0,0,0,28357.0019229174,230145.435614498
"UKU",99339.348797367,46541.5378322015,49351.0427616619,46541.5378322015,73138.6844968701,49741.5919037029,49741.5919037029,46541.5378322015,87882.9249653007,49351.0427616619,73138.6844968701,26910.1036206114,46541.5378322015,15467.8943678702,30549.1578162275,38199.2436505796,51026.5490593108,99339.348797367,15296.4403897006,49741.5919037029,87882.9249653007,26910.1036206114,49741.5919037029
"RBC",85241.3391517195,138569.142418288,79345.6686483139,181022.990352385,85241.3391517195,85241.3391517195,85241.3391517195,85241.3391517195,79345.6686483139,162601.812571739,119804.461517817,138569.142418288,85241.3391517195,85619.4143643255,105211.739869036,80171.5982706067,45743.8112084067,79345.6686483139,181022.990352385,187963.698782616,264972.056216733,187963.698782616,79345.6686483139
"RBP",1679.09566889131,3965.84411717742,603.402620080036,603.402620080036,1679.09566889131,2966.16744749175,7498.17144653983,4643.11639493181,1756.18065217348,2966.16744749175,7757.84686750313,3106.4903247071,2883.72873336095,10246.2656956966,603.402620080036,1044.4821630082,1756.18065217348,4643.11639493181,3965.84411717742,7498.17144653983,1679.09566889131,1044.4821630082,7757.84686750313
"RBR",136736.301389369,30580.1586989905,30580.1586989905,21783.1090995456,27439.5034911406,25199.7734625404,30580.1586989905,12664.6679545649,21783.1090995456,27439.5034911406,12664.6679545649,30580.1586989905,7507.65736895647,136736.301389369,18347.74285808,16901.2416593539,5773.24141762712,13351.826855053,11872.8732865693,25199.7734625404,21783.1090995456,30580.1586989905,12664.6679545649
"RGR",9900.76083474166,10337.8387323553,9900.76083474166,7656.34053200695,10337.8387323553,10337.8387323553,11920.5737372842,5653.53886399852,5653.53886399852,7656.34053200695,11587.9328076968,10337.8387323553,4072.63579989035,5653.53886399852,15463.1763251799,12411.126352478,6952.25292043454,10727.5355047284,9900.76083474166,11920.5737372842,7016.14779453807,4072.63579989035,5653.53886399852
"ROF",9339.95739662907,71507.1048065473,28461.7930376156,50281.7941623157,19057.3407972216,26278.6627839987,26278.6627839987,71507.1048065473,38444.137959092,88849.3142138187,71507.1048065473,38444.137959092,19057.3407972216,26278.6627839987,28461.7930376156,18864.3125129654,9339.95739662907,50281.7941623157,56644.1941031429,20056.4231333364,20699.7510754853,18864.3125129654,20699.7510754853
"RPA",565.602628035726,864.570841025297,1540.85729864452,565.602628035726,1042.84795975267,409.7792789128,1042.84795975267,1540.85729864452,565.602628035726,1791.81722040104,1156.45173824236,1150.81000517225,1646.5797555731,1261.19153711098,565.602628035726,495.109909041791,409.7792789128,366.489722230197,1540.85729864452,864.570841025297,1042.84795975267,565.602628035726,1156.45173824236
"RLP",12574.6920348928,6082.10574408012,11061.7637644674,4984.41331506425,9321.98038093257,8790.6194475186,7860.26354191878,12574.6920348928,7775.76243601598,7860.26354191878,12574.6920348928,4984.41331506425,989.63251658587,9626.89406305364,8790.6194475186,9321.98038093257,32649.0375884836,6082.10574408012,7775.76243601598,11061.7637644674,10037.5589465029,7775.76243601598,8790.6194475186
"RSP",1620.81238038961,11995.8410820999,6266.87426005647,346.482204862761,368.907215387151,368.907215387151,1731.97091212388,2237.01648168328,3924.4199900222,2013.92290569241,6266.87426005647,11995.8410820999,1639.33348539585,1578.95070285778,1731.97091212388,3924.4199900222,368.907215387151,2237.01648168328,1917.10377478486,1620.81238038961,346.482204862761,1731.97091212388,1731.97091212388
"MBC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCO",0,0,0,0,0,322.16245734959,0,0,0,2031.14493138076,0,322.16245734959,0,0,0,0,0,0,0,0,0,0,0
"BD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
