"Year","Catch.Millions","CommDiv"
2003,12.083798,15.8474991564942
2004,4.087461,34.7739938773158
2005,4.230473,31.2883865648486
2006,4.721089,26.8235489396333
2007,3.329063,20.181430462918
2008,4.354452,24.6505138628573
2009,5.838841,18.7892098628244
2010,4.893106,26.9581401705292
2011,2.503623,18.5849878329798
2012,2.763251,31.145786930254
2013,3.655893,19.0242511870483
2014,3.718347,27.93061858946
2015,4.638345,19.2539685294552
2016,2.483292,24.0531161483087
2017,3.010371,14.7179193962666
2018,10.361796,16.4138295743053
2019,11.154561,13.7645334702468
2020,8.187146,16.0726918266942
