"Year","Species","RCatch"
2003,"ACHILLES TANG",52933
2006,"ACHILLES TANG",0
2007,"ACHILLES TANG",8389
2008,"ACHILLES TANG",4479
2010,"ACHILLES TANG",2187
2011,"ACHILLES TANG",131
2012,"ACHILLES TANG",963
2013,"ACHILLES TANG",5270
2015,"ACHILLES TANG",2292
2016,"ACHILLES TANG",1423
2018,"ACHILLES TANG",16934
2019,"ACHILLES TANG",77956
2020,"ACHILLES TANG",32420
2004,"ACUTE HALFBEAK",3161
2014,"ACUTE HALFBEAK",16340
2015,"ACUTE HALFBEAK",11308
2016,"ACUTE HALFBEAK",1129
2019,"ACUTE HALFBEAK",24281
2020,"ACUTE HALFBEAK",17284
2004,"AFRICAN POMPANO",2235
2005,"AFRICAN POMPANO",695
2008,"AFRICAN POMPANO",913
2012,"AFRICAN POMPANO",1295
2013,"AFRICAN POMPANO",1320
2014,"AFRICAN POMPANO",330
2015,"AFRICAN POMPANO",1426
2016,"AFRICAN POMPANO",218
2017,"AFRICAN POMPANO",246
2019,"AFRICAN POMPANO",962
2020,"AFRICAN POMPANO",1505
2003,"ALBACORE",657
2006,"ALBACORE",4712
2007,"ALBACORE",1433
2008,"ALBACORE",2719
2009,"ALBACORE",1634
2010,"ALBACORE",200
2014,"ALBACORE",1236
2015,"ALBACORE",377
2016,"ALBACORE",2176
2017,"ALBACORE",760
2018,"ALBACORE",6298
2019,"ALBACORE",281
2003,"AMBON TOBY",2168
2004,"AMBON TOBY",0
2005,"AMBON TOBY",0
2006,"AMBON TOBY",0
2007,"AMBON TOBY",0
2008,"AMBON TOBY",0
2009,"AMBON TOBY",979
2011,"AMBON TOBY",0
2003,"ANCHOVY FAMILY",21248
2006,"ANCHOVY FAMILY",10307
2003,"BALDWINS WRASSE",56683
2004,"BALDWINS WRASSE",23422
2005,"BALDWINS WRASSE",27004
2006,"BALDWINS WRASSE",6636
2007,"BALDWINS WRASSE",2323
2008,"BALDWINS WRASSE",9715
2009,"BALDWINS WRASSE",12574
2010,"BALDWINS WRASSE",7392
2011,"BALDWINS WRASSE",4111
2012,"BALDWINS WRASSE",2745
2013,"BALDWINS WRASSE",4383
2014,"BALDWINS WRASSE",3036
2015,"BALDWINS WRASSE",12718
2016,"BALDWINS WRASSE",6937
2017,"BALDWINS WRASSE",6903
2018,"BALDWINS WRASSE",27414
2019,"BALDWINS WRASSE",32968
2020,"BALDWINS WRASSE",35306
2003,"BANDFIN CARDINALFISH",54059
2016,"BANDFIN CARDINALFISH",5267
2003,"BANDTAIL GOATFISH",65537
2004,"BANDTAIL GOATFISH",3176
2006,"BANDTAIL GOATFISH",6886
2007,"BANDTAIL GOATFISH",2611
2008,"BANDTAIL GOATFISH",10565
2009,"BANDTAIL GOATFISH",1422
2010,"BANDTAIL GOATFISH",15169
2011,"BANDTAIL GOATFISH",5771
2012,"BANDTAIL GOATFISH",0
2013,"BANDTAIL GOATFISH",6715
2014,"BANDTAIL GOATFISH",29482
2015,"BANDTAIL GOATFISH",25040
2016,"BANDTAIL GOATFISH",1983
2017,"BANDTAIL GOATFISH",2094
2018,"BANDTAIL GOATFISH",6364
2019,"BANDTAIL GOATFISH",15488
2020,"BANDTAIL GOATFISH",0
2003,"BANDTAIL PARROTFISH",8559
2004,"BANDTAIL PARROTFISH",13141
2006,"BANDTAIL PARROTFISH",1703
2007,"BANDTAIL PARROTFISH",7532
2008,"BANDTAIL PARROTFISH",3477
2010,"BANDTAIL PARROTFISH",2012
2017,"BARRED FILEFISH",585
2003,"BARRED JACK",9325
2004,"BARRED JACK",3161
2005,"BARRED JACK",263
2009,"BARRED JACK",5145
2011,"BARRED JACK",2572
2012,"BARRED JACK",5815
2014,"BARRED JACK",3526
2015,"BARRED JACK",4133
2016,"BARRED JACK",1768
2017,"BARRED JACK",2043
2018,"BARRED JACK",17160
2019,"BARRED JACK",14786
2020,"BARRED JACK",5756
2003,"BIGEYE EMPEROR",1117
2004,"BIGEYE EMPEROR",3466
2005,"BIGEYE EMPEROR",3020
2006,"BIGEYE EMPEROR",2029
2007,"BIGEYE EMPEROR",2988
2008,"BIGEYE EMPEROR",785
2011,"BIGEYE EMPEROR",384
2012,"BIGEYE EMPEROR",1080
2013,"BIGEYE EMPEROR",254
2014,"BIGEYE EMPEROR",1284
2015,"BIGEYE EMPEROR",1646
2016,"BIGEYE EMPEROR",1464
2017,"BIGEYE EMPEROR",213
2018,"BIGEYE EMPEROR",6175
2019,"BIGEYE EMPEROR",1413
2020,"BIGEYE EMPEROR",3510
2003,"BIGEYE FAMILY",27135
2004,"BIGEYE FAMILY",3466
2005,"BIGEYE FAMILY",6009
2006,"BIGEYE FAMILY",0
2008,"BIGEYE FAMILY",5657
2010,"BIGEYE FAMILY",4711
2012,"BIGEYE FAMILY",768
2013,"BIGEYE FAMILY",2156
2014,"BIGEYE FAMILY",7626
2015,"BIGEYE FAMILY",2859
2016,"BIGEYE FAMILY",718
2017,"BIGEYE FAMILY",1368
2003,"BIGEYE SCAD",590357
2004,"BIGEYE SCAD",85670
2005,"BIGEYE SCAD",682514
2006,"BIGEYE SCAD",587037
2007,"BIGEYE SCAD",1022023
2008,"BIGEYE SCAD",352490
2009,"BIGEYE SCAD",720587
2010,"BIGEYE SCAD",675563
2011,"BIGEYE SCAD",655607
2012,"BIGEYE SCAD",347515
2013,"BIGEYE SCAD",810147
2014,"BIGEYE SCAD",731985
2015,"BIGEYE SCAD",1035617
2016,"BIGEYE SCAD",542125
2017,"BIGEYE SCAD",1064372
2018,"BIGEYE SCAD",3637857
2019,"BIGEYE SCAD",4438580
2020,"BIGEYE SCAD",3256580
2003,"BIGEYE TREVALLY",9407
2004,"BIGEYE TREVALLY",11926
2005,"BIGEYE TREVALLY",314
2010,"BIGEYE TREVALLY",1553
2011,"BIGEYE TREVALLY",1140
2012,"BIGEYE TREVALLY",1880
2013,"BIGEYE TREVALLY",2937
2014,"BIGEYE TREVALLY",5471
2015,"BIGEYE TREVALLY",401
2018,"BIGEYE TREVALLY",600
2020,"BIGEYE TREVALLY",2984
2003,"BIGEYE TUNA",2893
2004,"BIGEYE TUNA",42184
2005,"BIGEYE TUNA",63170
2006,"BIGEYE TUNA",20932
2007,"BIGEYE TUNA",13363
2008,"BIGEYE TUNA",23972
2009,"BIGEYE TUNA",21020
2010,"BIGEYE TUNA",17520
2011,"BIGEYE TUNA",9136
2012,"BIGEYE TUNA",22077
2013,"BIGEYE TUNA",3162
2014,"BIGEYE TUNA",38322
2015,"BIGEYE TUNA",4592
2016,"BIGEYE TUNA",10465
2017,"BIGEYE TUNA",375
2018,"BIGEYE TUNA",6578
2019,"BIGEYE TUNA",8762
2020,"BIGEYE TUNA",8020
2003,"BIGSCALE SOLDIERFISH",45672
2005,"BIGSCALE SOLDIERFISH",24972
2006,"BIGSCALE SOLDIERFISH",6041
2007,"BIGSCALE SOLDIERFISH",660
2008,"BIGSCALE SOLDIERFISH",8043
2009,"BIGSCALE SOLDIERFISH",26610
2010,"BIGSCALE SOLDIERFISH",41029
2011,"BIGSCALE SOLDIERFISH",1863
2012,"BIGSCALE SOLDIERFISH",7908
2013,"BIGSCALE SOLDIERFISH",10689
2014,"BIGSCALE SOLDIERFISH",23825
2015,"BIGSCALE SOLDIERFISH",31543
2016,"BIGSCALE SOLDIERFISH",50331
2017,"BIGSCALE SOLDIERFISH",74778
2018,"BIGSCALE SOLDIERFISH",480643
2019,"BIGSCALE SOLDIERFISH",154773
2020,"BIGSCALE SOLDIERFISH",78600
2005,"BILLFISH FAMILY",335
2008,"BILLFISH FAMILY",488
2010,"BILLFISH FAMILY",417
2014,"BILLFISH FAMILY",421
2016,"BILLFISH FAMILY",236
2017,"BILLFISH FAMILY",0
2018,"BILLFISH FAMILY",1842
2019,"BILLFISH FAMILY",399
2020,"BILLFISH FAMILY",1335
2004,"BINGHAMS SNAPPER",813
2005,"BINGHAMS SNAPPER",3674
2007,"BINGHAMS SNAPPER",850
2008,"BINGHAMS SNAPPER",8037
2009,"BINGHAMS SNAPPER",484
2010,"BINGHAMS SNAPPER",2110
2011,"BINGHAMS SNAPPER",167
2012,"BINGHAMS SNAPPER",9254
2013,"BINGHAMS SNAPPER",2147
2014,"BINGHAMS SNAPPER",166
2015,"BINGHAMS SNAPPER",1708
2016,"BINGHAMS SNAPPER",238
2017,"BINGHAMS SNAPPER",920
2018,"BINGHAMS SNAPPER",2151
2019,"BINGHAMS SNAPPER",20394
2020,"BINGHAMS SNAPPER",4999
2003,"BIRD WRASSE",11781
2004,"BIRD WRASSE",1588
2006,"BIRD WRASSE",3509
2007,"BIRD WRASSE",8280
2010,"BIRD WRASSE",4159
2008,"BLACK MARLIN",164
2014,"BLACK MARLIN",191
2017,"BLACK MARLIN",203
2003,"BLACK SURGEONFISH",35364
2005,"BLACK SURGEONFISH",29780
2007,"BLACK SURGEONFISH",15275
2008,"BLACK SURGEONFISH",164
2009,"BLACK SURGEONFISH",8300
2010,"BLACK SURGEONFISH",22420
2011,"BLACK SURGEONFISH",5051
2012,"BLACK SURGEONFISH",11194
2013,"BLACK SURGEONFISH",3114
2014,"BLACK SURGEONFISH",8840
2015,"BLACK SURGEONFISH",1755
2016,"BLACK SURGEONFISH",91
2019,"BLACK SURGEONFISH",1561
2003,"BLACK TREVALLY",762
2004,"BLACK TREVALLY",406
2005,"BLACK TREVALLY",2218
2006,"BLACK TREVALLY",1401
2008,"BLACK TREVALLY",76897
2009,"BLACK TREVALLY",210
2015,"BLACK TREVALLY",82
2020,"BLACK TREVALLY",1323
2003,"BLACK TRIGGERFISH",34539
2004,"BLACK TRIGGERFISH",0
2005,"BLACK TRIGGERFISH",0
2006,"BLACK TRIGGERFISH",2802
2007,"BLACK TRIGGERFISH",0
2009,"BLACK TRIGGERFISH",1245
2010,"BLACK TRIGGERFISH",12580
2011,"BLACK TRIGGERFISH",2379
2012,"BLACK TRIGGERFISH",1895
2014,"BLACK TRIGGERFISH",5003
2015,"BLACK TRIGGERFISH",3627
2016,"BLACK TRIGGERFISH",10924
2017,"BLACK TRIGGERFISH",15419
2018,"BLACK TRIGGERFISH",8543
2019,"BLACK TRIGGERFISH",8764
2020,"BLACK TRIGGERFISH",16255
2004,"BLACK-TIPPED REEF SHARK",0
2007,"BLACK-TIPPED REEF SHARK",1476
2012,"BLACK-TIPPED REEF SHARK",0
2015,"BLACK-TIPPED REEF SHARK",0
2020,"BLACK-TIPPED REEF SHARK",0
2007,"BLACKSIDE HAWKFISH",11552
2003,"BLACKSIDE RAZORFISH",5679
2004,"BLACKSIDE RAZORFISH",0
2006,"BLACKSIDE RAZORFISH",1144
2008,"BLACKSIDE RAZORFISH",1312
2014,"BLACKSIDE RAZORFISH",441
2015,"BLACKSIDE RAZORFISH",1440
2017,"BLACKSIDE RAZORFISH",446
2003,"BLACKSPOT SERGEANT",206662
2004,"BLACKSPOT SERGEANT",88369
2005,"BLACKSPOT SERGEANT",45316
2006,"BLACKSPOT SERGEANT",38864
2007,"BLACKSPOT SERGEANT",39867
2008,"BLACKSPOT SERGEANT",20499
2009,"BLACKSPOT SERGEANT",36148
2010,"BLACKSPOT SERGEANT",13724
2011,"BLACKSPOT SERGEANT",7833
2012,"BLACKSPOT SERGEANT",28850
2013,"BLACKSPOT SERGEANT",11790
2014,"BLACKSPOT SERGEANT",12744
2015,"BLACKSPOT SERGEANT",9825
2016,"BLACKSPOT SERGEANT",16458
2017,"BLACKSPOT SERGEANT",10711
2018,"BLACKSPOT SERGEANT",89066
2019,"BLACKSPOT SERGEANT",54090
2020,"BLACKSPOT SERGEANT",79299
2003,"BLACKTAIL SNAPPER",39944
2004,"BLACKTAIL SNAPPER",28849
2005,"BLACKTAIL SNAPPER",25368
2006,"BLACKTAIL SNAPPER",32963
2007,"BLACKTAIL SNAPPER",25950
2008,"BLACKTAIL SNAPPER",19595
2009,"BLACKTAIL SNAPPER",22363
2010,"BLACKTAIL SNAPPER",34120
2011,"BLACKTAIL SNAPPER",28594
2012,"BLACKTAIL SNAPPER",31071
2013,"BLACKTAIL SNAPPER",23436
2014,"BLACKTAIL SNAPPER",15407
2015,"BLACKTAIL SNAPPER",11997
2016,"BLACKTAIL SNAPPER",15234
2017,"BLACKTAIL SNAPPER",8662
2018,"BLACKTAIL SNAPPER",56580
2019,"BLACKTAIL SNAPPER",31129
2020,"BLACKTAIL SNAPPER",75315
2003,"BLACKTAIL WRASSE",4250
2005,"BLACKTAIL WRASSE",0
2007,"BLACKTAIL WRASSE",0
2009,"BLACKTAIL WRASSE",845
2010,"BLACKTAIL WRASSE",1790
2014,"BLACKTAIL WRASSE",0
2015,"BLACKTAIL WRASSE",1312
2003,"BLUE GOATFISH",4407
2004,"BLUE GOATFISH",2823
2005,"BLUE GOATFISH",5405
2006,"BLUE GOATFISH",10144
2007,"BLUE GOATFISH",3944
2008,"BLUE GOATFISH",3979
2009,"BLUE GOATFISH",1947
2010,"BLUE GOATFISH",9092
2011,"BLUE GOATFISH",4944
2012,"BLUE GOATFISH",3092
2013,"BLUE GOATFISH",4488
2014,"BLUE GOATFISH",6233
2015,"BLUE GOATFISH",6034
2016,"BLUE GOATFISH",6320
2017,"BLUE GOATFISH",2411
2018,"BLUE GOATFISH",9026
2019,"BLUE GOATFISH",14206
2020,"BLUE GOATFISH",17202
2003,"BLUE MARLIN",3816
2004,"BLUE MARLIN",4949
2005,"BLUE MARLIN",19166
2006,"BLUE MARLIN",3370
2007,"BLUE MARLIN",1821
2008,"BLUE MARLIN",11033
2009,"BLUE MARLIN",2802
2010,"BLUE MARLIN",1253
2011,"BLUE MARLIN",1685
2012,"BLUE MARLIN",2786
2013,"BLUE MARLIN",3928
2014,"BLUE MARLIN",2678
2015,"BLUE MARLIN",4938
2016,"BLUE MARLIN",2340
2017,"BLUE MARLIN",4074
2018,"BLUE MARLIN",12639
2019,"BLUE MARLIN",9555
2020,"BLUE MARLIN",10285
2004,"BLUE SPINE UNICORNFISH",12642
2005,"BLUE SPINE UNICORNFISH",21350
2006,"BLUE SPINE UNICORNFISH",14803
2007,"BLUE SPINE UNICORNFISH",10060
2008,"BLUE SPINE UNICORNFISH",9305
2009,"BLUE SPINE UNICORNFISH",12759
2010,"BLUE SPINE UNICORNFISH",14773
2011,"BLUE SPINE UNICORNFISH",1933
2012,"BLUE SPINE UNICORNFISH",5112
2013,"BLUE SPINE UNICORNFISH",3714
2014,"BLUE SPINE UNICORNFISH",9598
2015,"BLUE SPINE UNICORNFISH",5970
2016,"BLUE SPINE UNICORNFISH",4878
2018,"BLUE SPINE UNICORNFISH",9341
2019,"BLUE SPINE UNICORNFISH",32893
2020,"BLUE SPINE UNICORNFISH",9609
2003,"BLUEFIN TREVALLY",57639
2004,"BLUEFIN TREVALLY",183984
2005,"BLUEFIN TREVALLY",181964
2006,"BLUEFIN TREVALLY",132546
2007,"BLUEFIN TREVALLY",110231
2008,"BLUEFIN TREVALLY",130701
2009,"BLUEFIN TREVALLY",77102
2010,"BLUEFIN TREVALLY",74854
2011,"BLUEFIN TREVALLY",74984
2012,"BLUEFIN TREVALLY",59925
2013,"BLUEFIN TREVALLY",89333
2014,"BLUEFIN TREVALLY",107399
2015,"BLUEFIN TREVALLY",103555
2016,"BLUEFIN TREVALLY",72651
2017,"BLUEFIN TREVALLY",77594
2018,"BLUEFIN TREVALLY",117747
2019,"BLUEFIN TREVALLY",203031
2020,"BLUEFIN TREVALLY",165574
2003,"BLUEFIN TUNA",3859
2011,"BLUEFIN TUNA",1077
2005,"BLUELINED SURGEONFISH",4053
2006,"BLUELINED SURGEONFISH",1031
2010,"BLUELINED SURGEONFISH",561
2013,"BLUELINED SURGEONFISH",854
2016,"BLUELINED SURGEONFISH",325
2018,"BLUELINED SURGEONFISH",11754
2020,"BLUELINED SURGEONFISH",0
2003,"BLUESTRIPE SNAPPER",114271
2004,"BLUESTRIPE SNAPPER",58107
2005,"BLUESTRIPE SNAPPER",100003
2006,"BLUESTRIPE SNAPPER",46862
2007,"BLUESTRIPE SNAPPER",27667
2008,"BLUESTRIPE SNAPPER",31946
2009,"BLUESTRIPE SNAPPER",53415
2010,"BLUESTRIPE SNAPPER",67534
2011,"BLUESTRIPE SNAPPER",16687
2012,"BLUESTRIPE SNAPPER",21858
2013,"BLUESTRIPE SNAPPER",20687
2014,"BLUESTRIPE SNAPPER",86237
2015,"BLUESTRIPE SNAPPER",34664
2016,"BLUESTRIPE SNAPPER",52322
2017,"BLUESTRIPE SNAPPER",78121
2018,"BLUESTRIPE SNAPPER",94702
2019,"BLUESTRIPE SNAPPER",79804
2020,"BLUESTRIPE SNAPPER",153281
2005,"BRICK SOLDIERFISH",314
2011,"BRICK SOLDIERFISH",399
2012,"BRICK SOLDIERFISH",322
2013,"BRICK SOLDIERFISH",8625
2014,"BRICK SOLDIERFISH",21908
2015,"BRICK SOLDIERFISH",6912
2016,"BRICK SOLDIERFISH",2752
2017,"BRICK SOLDIERFISH",1723
2018,"BRICK SOLDIERFISH",213263
2019,"BRICK SOLDIERFISH",31848
2020,"BRICK SOLDIERFISH",111121
2010,"BROWN SURGEONFISH",28639
2012,"BROWN SURGEONFISH",8419
2014,"BROWN SURGEONFISH",6160
2015,"BROWN SURGEONFISH",23684
2016,"BROWN SURGEONFISH",3777
2018,"BROWN SURGEONFISH",49411
2019,"BROWN SURGEONFISH",53916
2020,"BROWN SURGEONFISH",28204
2003,"BULLETHEAD PARROTFISH",1117
2004,"BULLETHEAD PARROTFISH",3556
2005,"BULLETHEAD PARROTFISH",2680
2006,"BULLETHEAD PARROTFISH",6068
2007,"BULLETHEAD PARROTFISH",1659
2008,"BULLETHEAD PARROTFISH",164
2010,"BULLETHEAD PARROTFISH",187
2011,"BULLETHEAD PARROTFISH",2800
2014,"BULLETHEAD PARROTFISH",937
2015,"BULLETHEAD PARROTFISH",1748
2016,"BULLETHEAD PARROTFISH",545
2017,"BULLETHEAD PARROTFISH",2139
2018,"BULLETHEAD PARROTFISH",4702
2019,"BULLETHEAD PARROTFISH",4724
2020,"BULLETHEAD PARROTFISH",24398
2004,"BUTTERFLYFISH FAMILY",1155
2013,"BUTTERFLYFISH FAMILY",0
2015,"BUTTERFLYFISH FAMILY",0
2018,"BUTTERFLYFISHES",0
2019,"BUTTERFLYFISHES",2343
2020,"BUTTERFLYFISHES",1747
2005,"CARDINALFISH FAMILY",0
2009,"CARDINALFISH FAMILY",2574
2018,"CARDINALFISHES",0
2019,"CARDINALFISHES",0
2003,"CHRISTMAS WRASSE",5220
2004,"CHRISTMAS WRASSE",7065
2005,"CHRISTMAS WRASSE",2965
2006,"CHRISTMAS WRASSE",0
2007,"CHRISTMAS WRASSE",3644
2008,"CHRISTMAS WRASSE",10054
2009,"CHRISTMAS WRASSE",981
2010,"CHRISTMAS WRASSE",3772
2011,"CHRISTMAS WRASSE",1021
2012,"CHRISTMAS WRASSE",1895
2013,"CHRISTMAS WRASSE",3181
2014,"CHRISTMAS WRASSE",1735
2015,"CHRISTMAS WRASSE",7413
2016,"CHRISTMAS WRASSE",1690
2017,"CHRISTMAS WRASSE",4893
2018,"CHRISTMAS WRASSE",4013
2019,"CHRISTMAS WRASSE",2527
2020,"CHRISTMAS WRASSE",0
2005,"CIGAR",4144
2013,"CIGAR",779
2018,"CIGAR",0
2016,"COMBTOOTH BLENNY FAMILY",2192
2003,"CONGER EEL FAMILY",0
2012,"CONGER EEL FAMILY",3960
2013,"CONGER EEL FAMILY",1053
2003,"CONVICT TANG",176237
2004,"CONVICT TANG",119691
2005,"CONVICT TANG",417328
2006,"CONVICT TANG",420344
2007,"CONVICT TANG",94472
2008,"CONVICT TANG",154996
2009,"CONVICT TANG",755157
2010,"CONVICT TANG",252557
2011,"CONVICT TANG",137890
2012,"CONVICT TANG",140827
2013,"CONVICT TANG",110641
2014,"CONVICT TANG",64461
2015,"CONVICT TANG",91153
2016,"CONVICT TANG",122811
2017,"CONVICT TANG",56853
2018,"CONVICT TANG",273397
2019,"CONVICT TANG",399834
2020,"CONVICT TANG",292216
2004,"CORNETFISH",1036
2006,"CORNETFISH",0
2007,"CORNETFISH",1015
2009,"CORNETFISH",0
2011,"CORNETFISH",0
2012,"CORNETFISH",0
2013,"CORNETFISH",0
2014,"CORNETFISH",0
2015,"CORNETFISH",1392
2016,"CORNETFISH",0
2017,"CORNETFISH",0
2018,"CORNETFISH",0
2019,"CORNETFISH",0
2020,"CORNETFISH",0
2003,"DAMSELFISH FAMILY",7621
2014,"DAMSELFISH FAMILY",0
2015,"DAMSELFISH FAMILY",0
2016,"DAMSELFISH FAMILY",0
2004,"DELICATE ROUND HERRING",8286
2006,"DELICATE ROUND HERRING",291
2003,"DEVIL SCORPIONFISH",1854
2016,"DEVIL SCORPIONFISH",622
2017,"DEVIL SCORPIONFISH",1458
2020,"DEVIL SCORPIONFISH",413
2003,"DOLPHIN",108991
2004,"DOLPHIN",224742
2005,"DOLPHIN",177953
2006,"DOLPHIN",219463
2007,"DOLPHIN",136090
2008,"DOLPHIN",184001
2009,"DOLPHIN",102620
2010,"DOLPHIN",163722
2011,"DOLPHIN",62784
2012,"DOLPHIN",162995
2013,"DOLPHIN",93675
2014,"DOLPHIN",91698
2015,"DOLPHIN",78348
2016,"DOLPHIN",43937
2017,"DOLPHIN",46969
2018,"DOLPHIN",216175
2019,"DOLPHIN",124516
2020,"DOLPHIN",117426
2004,"DOUBLEBAR GOATFISH",2445
2005,"DOUBLEBAR GOATFISH",4829
2006,"DOUBLEBAR GOATFISH",2632
2007,"DOUBLEBAR GOATFISH",5265
2011,"DOUBLEBAR GOATFISH",131
2012,"DOUBLEBAR GOATFISH",1499
2013,"DOUBLEBAR GOATFISH",242
2014,"DOUBLEBAR GOATFISH",1557
2015,"DOUBLEBAR GOATFISH",1204
2016,"DOUBLEBAR GOATFISH",2424
2017,"DOUBLEBAR GOATFISH",577
2018,"DOUBLEBAR GOATFISH",7834
2020,"DOUBLEBAR GOATFISH",5551
2005,"DRAGON MORAY",5599
2004,"DRAGON WRASSE",1036
2013,"EAGLE RAY FAMILY",96
2003,"EPAULETTE SOLDIERFISH",868
2003,"EYESTRIPED SURGEONFISH",55968
2004,"EYESTRIPED SURGEONFISH",34621
2005,"EYESTRIPED SURGEONFISH",32642
2006,"EYESTRIPED SURGEONFISH",35311
2007,"EYESTRIPED SURGEONFISH",10149
2008,"EYESTRIPED SURGEONFISH",26868
2009,"EYESTRIPED SURGEONFISH",27723
2010,"EYESTRIPED SURGEONFISH",41338
2011,"EYESTRIPED SURGEONFISH",19811
2012,"EYESTRIPED SURGEONFISH",24664
2013,"EYESTRIPED SURGEONFISH",42907
2014,"EYESTRIPED SURGEONFISH",33517
2015,"EYESTRIPED SURGEONFISH",43614
2016,"EYESTRIPED SURGEONFISH",21805
