"Region","Year","fit","se.fit","inc.trend","dec.trend","threshold","se.threshold"
"Alaska",1996,1080.76593859368,187.983340857481,NA,NA,NA,NA
"Alaska",1996.04809619238,1082.97384853969,186.43676123809,NA,NA,NA,NA
"Alaska",1996.09619238477,1085.18174179255,184.904471688531,NA,NA,NA,NA
"Alaska",1996.14428857715,1087.38960165911,183.387116808901,NA,NA,NA,NA
"Alaska",1996.19238476954,1089.5974114462,181.885325323416,NA,NA,NA,NA
"Alaska",1996.24048096192,1091.80515446069,180.399708111052,NA,NA,NA,NA
"Alaska",1996.28857715431,1094.01281400942,178.930856112061,NA,NA,NA,NA
"Alaska",1996.33667334669,1096.22037339924,177.479338109737,NA,NA,NA,NA
"Alaska",1996.38476953908,1098.42781593699,176.045698390928,NA,NA,NA,NA
"Alaska",1996.43286573146,1100.63512492952,174.630454293705,NA,NA,NA,NA
"Alaska",1996.48096192385,1102.84228368368,173.234093657185,NA,NA,NA,NA
"Alaska",1996.52905811623,1105.04927550632,171.857072195738,NA,NA,NA,NA
"Alaska",1996.57715430862,1107.2560837043,170.499810828546,NA,NA,NA,NA
"Alaska",1996.625250501,1109.46269158444,169.162693004687,NA,NA,NA,NA
"Alaska",1996.67334669339,1111.6690824536,167.846062073212,NA,NA,NA,NA
"Alaska",1996.72144288577,1113.87523961863,166.550218756766,NA,NA,NA,NA
"Alaska",1996.76953907816,1116.08114638639,165.275418794425,NA,NA,NA,NA
"Alaska",1996.81763527054,1118.28678606371,164.021870824702,NA,NA,NA,NA
"Alaska",1996.86573146293,1120.49214195744,162.789734581254,NA,NA,NA,NA
"Alaska",1996.91382765531,1122.69719737443,161.579119472057,NA,NA,NA,NA
"Alaska",1996.9619238477,1124.90193562153,160.390083606483,NA,NA,NA,NA
"Alaska",1997.01002004008,1127.10633998543,159.222633404254,NA,NA,NA,NA
"Alaska",1997.05811623246,1129.31038989813,158.076739473905,NA,NA,NA,NA
"Alaska",1997.10621242485,1131.51405638969,156.952360059792,NA,NA,NA,NA
"Alaska",1997.15430861723,1133.71730938338,155.849416316469,NA,NA,NA,NA
"Alaska",1997.20240480962,1135.92011880251,154.767788711907,NA,NA,NA,NA
"Alaska",1997.250501002,1138.12245457033,153.707317939824,NA,NA,NA,NA
"Alaska",1997.29859719439,1140.32428661015,152.667806169488,NA,NA,NA,NA
"Alaska",1997.34669338677,1142.52558484525,151.649018607864,NA,NA,NA,NA
"Alaska",1997.39478957916,1144.72631919892,150.650685344126,NA,NA,NA,NA
"Alaska",1997.44288577154,1146.92645959445,149.672503443819,NA,NA,NA,NA
"Alaska",1997.49098196393,1149.12597595512,148.714139259008,NA,NA,NA,NA
"Alaska",1997.53907815631,1151.32483820421,147.775230921246,NA,NA,NA,NA
"Alaska",1997.5871743487,1153.52301626502,146.855390986267,NA,NA,NA,NA
"Alaska",1997.63527054108,1155.72048006084,145.954209202059,NA,NA,NA,NA
"Alaska",1997.68336673347,1157.91719951494,145.07125537571,NA,NA,NA,NA
"Alaska",1997.73146292585,1160.11314455061,144.206082318291,NA,NA,NA,NA
"Alaska",1997.77955911824,1162.30828509115,143.358228851415,NA,NA,NA,NA
"Alaska",1997.82765531062,1164.50259105983,142.527222863061,NA,NA,NA,NA
"Alaska",1997.87575150301,1166.69603237995,141.712584404336,NA,NA,NA,NA
"Alaska",1997.92384769539,1168.88857897479,140.913828822464,NA,NA,NA,NA
"Alaska",1997.97194388778,1171.08020076763,140.130469928553,NA,NA,NA,NA
"Alaska",1998.02004008016,1173.2708674646,139.362025459407,NA,NA,NA,NA
"Alaska",1998.06813627255,1175.46054110506,138.608098743738,NA,NA,NA,NA
"Alaska",1998.11623246493,1177.64917419569,137.868405136456,NA,NA,NA,NA
"Alaska",1998.16432865731,1179.83671864731,137.142681153602,NA,NA,NA,NA
"Alaska",1998.2124248497,1182.02312637071,136.430677231438,NA,NA,NA,NA
"Alaska",1998.26052104208,1184.20834927671,135.732156622794,NA,NA,NA,NA
"Alaska",1998.30861723447,1186.39233927611,135.046894326206,NA,NA,NA,NA
"Alaska",1998.35671342685,1188.57504827971,134.37467605456,NA,NA,NA,NA
"Alaska",1998.40480961924,1190.7564281983,133.715297248868,NA,NA,NA,NA
"Alaska",1998.45290581162,1192.9364309427,133.068562142042,NA,NA,NA,NA
"Alaska",1998.50100200401,1195.11500842372,132.43428287668,NA,NA,NA,NA
"Alaska",1998.54909819639,1197.29211255214,131.812278680402,NA,NA,NA,NA
"Alaska",1998.59719438878,1199.46769523878,131.202375101652,NA,NA,NA,NA
"Alaska",1998.64529058116,1201.64170839443,130.604403308584,NA,NA,NA,NA
"Alaska",1998.69338677355,1203.81410392991,130.018199453228,NA,NA,NA,NA
"Alaska",1998.74148296593,1205.98483375603,129.443604102871,NA,NA,NA,NA
"Alaska",1998.78957915832,1208.15384978356,128.880461740359,NA,NA,NA,NA
"Alaska",1998.8376753507,1210.32110392333,128.328620334796,NA,NA,NA,NA
"Alaska",1998.88577154309,1212.48654808613,127.787930984001,NA,NA,NA,NA
"Alaska",1998.93386773547,1214.65013418278,127.258247629878,NA,NA,NA,NA
"Alaska",1998.98196392786,1216.81181412406,126.739426847777,NA,NA,NA,NA
"Alaska",1999.03006012024,1218.97153863189,126.23133408909,NA,NA,NA,NA
"Alaska",1999.07815631263,1221.12924228759,125.733922606192,NA,NA,NA,NA
"Alaska",1999.12625250501,1223.28484804025,125.247204315842,NA,NA,NA,NA
"Alaska",1999.17434869739,1225.43827858217,124.771185302539,NA,NA,NA,NA
"Alaska",1999.22244488978,1227.5894566056,124.305862208913,NA,NA,NA,NA
"Alaska",1999.27054108216,1229.73830480286,123.851220180522,NA,NA,NA,NA
"Alaska",1999.31863727455,1231.88474586622,123.407230983317,NA,NA,NA,NA
"Alaska",1999.36673346693,1234.02870248798,122.973851302836,NA,NA,NA,NA
"Alaska",1999.41482965932,1236.1700973604,122.551021234244,NA,NA,NA,NA
"Alaska",1999.4629258517,1238.30885317579,122.138662972103,NA,NA,NA,NA
"Alaska",1999.51102204409,1240.44489262641,121.736679708372,NA,NA,NA,NA
"Alaska",1999.55911823647,1242.57813840457,121.344954746374,NA,NA,NA,NA
"Alaska",1999.60721442886,1244.70851320256,120.963350837624,NA,NA,NA,NA
"Alaska",1999.65531062124,1246.83593971264,120.591709747256,NA,NA,NA,NA
"Alaska",1999.70340681363,1248.9603406271,120.229852052518,NA,NA,NA,NA
"Alaska",1999.75150300601,1251.08163863824,119.877577177436,NA,NA,NA,NA
"Alaska",1999.7995991984,1253.19975643834,119.534663665265,NA,NA,NA,NA
"Alaska",1999.84769539078,1255.31461671968,119.200869688925,NA,NA,NA,NA
"Alaska",1999.89579158317,1257.42614217455,118.875933798208,NA,NA,NA,NA
"Alaska",1999.94388777555,1259.53425549523,118.559575901357,NA,NA,NA,NA
"Alaska",1999.99198396794,1261.63887937402,118.251498477483,NA,NA,NA,NA
"Alaska",2000.04008016032,1263.73993258437,117.951402703514,NA,NA,NA,NA
"Alaska",2000.08817635271,1265.83730784735,117.659074647945,NA,NA,NA,NA
"Alaska",2000.13627254509,1267.9308872562,117.374332181378,NA,NA,NA,NA
"Alaska",2000.18436873747,1270.02055287279,117.096985907855,NA,NA,NA,NA
"Alaska",2000.23246492986,1272.106186759,116.82683882597,NA,NA,NA,NA
"Alaska",2000.28056112224,1274.18767097669,116.563686226021,NA,NA,NA,NA
"Alaska",2000.32865731463,1276.26488758773,116.307315706858,NA,NA,NA,NA
"Alaska",2000.37675350701,1278.337718654,116.057507311998,NA,NA,NA,NA
"Alaska",2000.4248496994,1280.40604623737,115.814033784364,NA,NA,NA,NA
"Alaska",2000.47294589178,1282.46975239973,115.576660938853,NA,NA,NA,NA
"Alaska",2000.52104208417,1284.52871920293,115.345148151845,NA,NA,NA,NA
"Alaska",2000.56913827655,1286.58282870884,115.119248966712,NA,NA,NA,NA
"Alaska",2000.61723446894,1288.63196297935,114.898711814413,NA,NA,NA,NA
"Alaska",2000.66533066132,1290.67600407633,114.68328084833,NA,NA,NA,NA
"Alaska",2000.71342685371,1292.71483406164,114.472696892644,NA,NA,NA,NA
"Alaska",2000.76152304609,1294.74833499716,114.266698503731,NA,NA,NA,NA
