"Region","Year","fit","se.fit","dec.trend","threshold","se.threshold"
"California Current",1981,11451.1783031263,1061.71355379505,NA,NA,NA
"California Current",1981.07815631263,11423.5652479606,1050.78521087676,NA,NA,NA
"California Current",1981.15631262525,11395.9515287389,1039.96452517232,NA,NA,NA
"California Current",1981.23446893788,11368.3364814053,1029.25588274444,NA,NA,NA
"California Current",1981.3126252505,11340.719441904,1018.66356679706,NA,NA,NA
"California Current",1981.39078156313,11313.0997461789,1008.19174857641,NA,NA,NA
"California Current",1981.46893787575,11285.4767301741,997.844478224449,NA,NA,NA
"California Current",1981.54709418838,11257.8497298336,987.625675621277,NA,NA,NA
"California Current",1981.625250501,11230.2180811016,977.539121258792,NA,NA,NA
"California Current",1981.70340681363,11202.5811199221,967.588447192222,NA,NA,NA
"California Current",1981.78156312625,11174.9381822391,957.777128122337,NA,NA,NA
"California Current",1981.85971943888,11147.2886039967,948.108472665478,NA,NA,NA
"California Current",1981.9378757515,11119.631721139,938.585614874373,NA,NA,NA
"California Current",1982.01603206413,11091.9668690702,929.211506564277,NA,NA,NA
"California Current",1982.09418837675,11064.2932758658,919.989001446744,NA,NA,NA
"California Current",1982.17234468938,11036.6099335522,910.920931368323,NA,NA,NA
"California Current",1982.250501002,11008.9158027389,902.009890207316,NA,NA,NA
"California Current",1982.32865731463,10981.2098440355,893.258195868181,NA,NA,NA
"California Current",1982.40681362725,10953.4910180516,884.667882804934,NA,NA,NA
"California Current",1982.48496993988,10925.7582853968,876.240695605984,NA,NA,NA
"California Current",1982.56312625251,10898.0106066806,867.97808376598,NA,NA,NA
"California Current",1982.64128256513,10870.2469425128,859.881197771394,NA,NA,NA
"California Current",1982.71943887776,10842.4662535029,851.950886625968,NA,NA,NA
"California Current",1982.79759519038,10814.6675002605,844.187696941576,NA,NA,NA
"California Current",1982.87575150301,10786.8496433951,836.591873716371,NA,NA,NA
"California Current",1982.95390781563,10759.0116435165,829.163362918674,NA,NA,NA
"California Current",1983.03206412826,10731.1524600938,821.901819716564,NA,NA,NA
"California Current",1983.11022044088,10703.2710108354,814.806754273867,NA,NA,NA
"California Current",1983.18837675351,10675.3661606443,807.877607149641,NA,NA,NA
"California Current",1983.26653306613,10647.4367710363,801.113608480961,NA,NA,NA
"California Current",1983.34468937876,10619.4817035267,794.513771891927,NA,NA,NA
"California Current",1983.42284569138,10591.499819631,788.076900256503,NA,NA,NA
"California Current",1983.50100200401,10563.4899808648,781.801592782594,NA,NA,NA
"California Current",1983.57915831663,10535.4510487436,775.686253453097,NA,NA,NA
"California Current",1983.65731462926,10507.3818847829,769.729100852039,NA,NA,NA
"California Current",1983.73547094188,10479.2813504982,763.928179397261,NA,NA,NA
"California Current",1983.81362725451,10451.148307405,758.281371993095,NA,NA,NA
"California Current",1983.89178356713,10422.9816170188,752.786414109496,NA,NA,NA
"California Current",1983.96993987976,10394.7801408552,747.44090928634,NA,NA,NA
"California Current",1984.04809619238,10366.5427484953,742.242373451588,NA,NA,NA
"California Current",1984.12625250501,10338.2684231475,737.188621334984,NA,NA,NA
"California Current",1984.20440881764,10309.9562320158,732.277712975502,NA,NA,NA
"California Current",1984.28256513026,10281.6052442736,727.507690212365,NA,NA,NA
"California Current",1984.36072144289,10253.2145290941,722.876571844929,NA,NA,NA
"California Current",1984.43887775551,10224.7831556506,718.382355685188,NA,NA,NA
"California Current",1984.51703406814,10196.3101931162,714.023020965952,NA,NA,NA
"California Current",1984.59519038076,10167.7947106644,709.796531108956,NA,NA,NA
"California Current",1984.67334669339,10139.2357774682,705.700836855384,NA,NA,NA
"California Current",1984.75150300601,10110.6324627011,701.733879760472,NA,NA,NA
"California Current",1984.82965931864,10081.9838355361,697.893596052066,NA,NA,NA
"California Current",1984.90781563126,10053.2889651466,694.177920852058,NA,NA,NA
"California Current",1984.98597194389,10024.5469207058,690.584792758105,NA,NA,NA
"California Current",1985.06412825651,9995.75681998635,687.112231768492,NA,NA,NA
"California Current",1985.14228456914,9966.91811719295,683.758772725579,NA,NA,NA
"California Current",1985.22044088176,9938.03040885803,680.523162161902,NA,NA,NA
"California Current",1985.29859719439,9909.09329202246,677.404131370937,NA,NA,NA
"California Current",1985.37675350701,9880.10636372719,674.400382936247,NA,NA,NA
"California Current",1985.45490981964,9851.06922101319,671.510578709289,NA,NA,NA
"California Current",1985.53306613226,9821.98146092132,668.733328533809,NA,NA,NA
"California Current",1985.61122244489,9792.84268049271,666.067179778078,NA,NA,NA
"California Current",1985.68937875751,9763.65247676822,663.510607732788,NA,NA,NA
"California Current",1985.76753507014,9734.4104467888,661.062006929135,NA,NA,NA
"California Current",1985.84569138277,9705.11618759534,658.71968342716,NA,NA,NA
"California Current",1985.92384769539,9675.76929622895,656.481848120225,NA,NA,NA
"California Current",1986.00200400802,9646.36936973269,654.346611098206,NA,NA,NA
"California Current",1986.08016032064,9616.91614492088,652.31208689373,NA,NA,NA
"California Current",1986.15831663327,9587.40987632863,650.376680232913,NA,NA,NA
"California Current",1986.23647294589,9557.85093833509,648.53875389908,NA,NA,NA
"California Current",1986.31462925852,9528.23970531919,646.796522776055,NA,9528.23970531919,646.796522776055
"California Current",1986.39278557114,9498.5765516599,645.148044955711,NA,NA,NA
"California Current",1986.47094188377,9468.86185173615,643.5912145597,NA,NA,NA
"California Current",1986.54909819639,9439.0959799271,642.123756312205,NA,NA,NA
"California Current",1986.62725450902,9409.27931061167,640.7432218915,9409.27931061167,NA,NA
"California Current",1986.70541082164,9379.41221816884,639.446988079143,9379.41221816884,NA,NA
"California Current",1986.78356713427,9349.49507697762,638.232256716571,9349.49507697762,NA,NA
"California Current",1986.86172344689,9319.52826141691,637.096056470389,9319.52826141691,NA,NA
"California Current",1986.93987975952,9289.51214586588,636.035246399433,9289.51214586588,NA,NA
"California Current",1987.01803607214,9259.4471064272,635.046522694113,9259.4471064272,NA,NA
"California Current",1987.09619238477,9229.33377381031,634.12663245336,9229.33377381031,NA,NA
"California Current",1987.17434869739,9199.17330013192,633.272619386514,9199.17330013192,NA,NA
"California Current",1987.25250501002,9168.96690135221,632.481476655154,9168.96690135221,NA,NA
"California Current",1987.33066132265,9138.71579343108,631.750099810886,9138.71579343108,NA,NA
"California Current",1987.40881763527,9108.42119232854,631.075291296655,9108.42119232854,NA,NA
"California Current",1987.4869739479,9078.0843140045,630.453766112345,9078.0843140045,NA,NA
"California Current",1987.56513026052,9047.70637441914,629.882158626861,9047.70637441914,NA,NA
"California Current",1987.64328657315,9017.28858953237,629.357030517059,9017.28858953237,NA,NA
"California Current",1987.72144288577,8986.83217530418,628.874879813186,8986.83217530418,NA,NA
"California Current",1987.7995991984,8956.3383476945,628.432151030027,8956.3383476945,NA,NA
"California Current",1987.87775551102,8925.80832266349,628.025246363553,8925.80832266349,NA,NA
"California Current",1987.95591182365,8895.24331617107,627.650537933818,8895.24331617107,NA,NA
"California Current",1988.03406813627,8864.64455299063,627.304396248548,8864.64455299063,NA,NA
"California Current",1988.1122244489,8834.01353767796,626.983680051412,8834.01353767796,NA,NA
"California Current",1988.19038076152,8803.35210556298,626.685875817614,8803.35210556298,NA,NA
"California Current",1988.26853707415,8772.66211107669,626.408581848032,8772.66211107669,8772.66211107669,626.408581848032
"California Current",1988.34669338677,8741.94540865017,626.149475277271,8741.94540865017,8741.94540865017,626.149475277271
"California Current",1988.4248496994,8711.20385271454,625.906311798947,8711.20385271454,NA,NA
"California Current",1988.50300601202,8680.4392977008,625.676925759054,8680.4392977008,NA,NA
"California Current",1988.58116232465,8649.6535980402,625.459230628251,8649.6535980402,NA,NA
"California Current",1988.65931863727,8618.84860816377,625.251219863325,8618.84860816377,8618.84860816377,625.251219863325
"California Current",1988.7374749499,8588.02618250259,625.050968167672,8588.02618250259,NA,NA
"California Current",1988.81563126253,8557.18817548767,624.856633160303,8557.18817548767,NA,NA
"California Current",1988.89378757515,8526.33644155028,624.666457462601,8526.33644155028,NA,NA
"California Current",1988.97194388778,8495.47283512142,624.478771211918,8495.47283512142,NA,NA
"California Current",1989.0501002004,8464.59921830445,624.292058003109,8464.59921830445,8464.59921830445,624.292058003109
"California Current",1989.12825651303,8433.71755123265,624.10570316648,8433.71755123265,8433.71755123265,624.10570316648
"California Current",1989.20641282565,8402.82986175231,623.919752296949,8402.82986175231,NA,NA
"California Current",1989.28456913828,8371.9381790568,623.734355591464,8371.9381790568,8371.9381790568,623.734355591464
"California Current",1989.3627254509,8341.0445323396,623.549740937584,8341.0445323396,NA,NA
"California Current",1989.44088176353,8310.1509507941,623.366198735758,8310.1509507941,NA,NA
"California Current",1989.51903807615,8279.25946361394,623.184067440852,8279.25946361394,8279.25946361394,623.184067440852
"California Current",1989.59719438878,8248.37209999252,623.003719823387,8248.37209999252,NA,NA
"California Current",1989.6753507014,8217.49088912331,622.825549951164,8217.49088912331,8217.49088912331,622.825549951164
"California Current",1989.75350701403,8186.61786019977,622.649960892383,8186.61786019977,8186.61786019977,622.649960892383
"California Current",1989.83166332665,8155.75504241529,622.477353141733,8155.75504241529,8155.75504241529,622.477353141733
"California Current",1989.90981963928,8124.90446496354,622.308113771417,8124.90446496354,8124.90446496354,622.308113771417
"California Current",1989.9879759519,8094.06815703789,622.142606309348,8094.06815703789,8094.06815703789,622.142606309348
"California Current",1990.06613226453,8063.2481478318,621.981161347191,8063.2481478318,NA,NA
"California Current",1990.14428857715,8032.44646653868,621.824067881053,8032.44646653868,NA,NA
"California Current",1990.22244488978,8001.66514235217,621.671565387867,8001.66514235217,NA,NA
"California Current",1990.3006012024,7970.90620446565,621.523836640488,7970.90620446565,NA,NA
"California Current",1990.37875751503,7940.1716820726,621.381001264477,7940.1716820726,NA,NA
"California Current",1990.45691382766,7909.46360436641,621.243110039436,7909.46360436641,7909.46360436641,621.243110039436
"California Current",1990.53507014028,7878.78400054072,621.110139947383,7878.78400054072,7878.78400054072,621.110139947383
"California Current",1990.61322645291,7848.13489978892,620.981989970385,7848.13489978892,7848.13489978892,620.981989970385
"California Current",1990.69138276553,7817.51833130449,620.858477639204,7817.51833130449,NA,NA
"California Current",1990.76953907816,7786.9363242808,620.739336334142,7786.9363242808,NA,NA
"California Current",1990.84769539078,7756.39090791151,620.624213338824,7756.39090791151,7756.39090791151,620.624213338824
"California Current",1990.92585170341,7725.88411139001,620.512668646949,7725.88411139001,7725.88411139001,620.512668646949
"California Current",1991.00400801603,7695.41796390977,620.404174521531,7695.41796390977,7695.41796390977,620.404174521531
"California Current",1991.08216432866,7664.99449466425,620.29811580551,7664.99449466425,7664.99449466425,620.29811580551
"California Current",1991.16032064128,7634.61573284686,620.193790982111,7634.61573284686,7634.61573284686,620.193790982111
"California Current",1991.23847695391,7604.28370765123,620.090413982766,7604.28370765123,7604.28370765123,620.090413982766
"California Current",1991.31663326653,7574.00044827076,619.987116740094,7574.00044827076,NA,NA
"California Current",1991.39478957916,7543.76798389891,619.88295248301,7543.76798389891,7543.76798389891,619.88295248301
"California Current",1991.47294589178,7513.58834372907,619.776899770965,7513.58834372907,NA,NA
"California Current",1991.55110220441,7483.4635569549,619.667867264156,7483.4635569549,NA,NA
"California Current",1991.62925851703,7453.39565276977,619.554699226734,7453.39565276977,7453.39565276977,619.554699226734
"California Current",1991.70741482966,7423.38666036716,619.4361817603,7423.38666036716,7423.38666036716,619.4361817603
"California Current",1991.78557114228,7393.43860894047,619.311049765391,7393.43860894047,7393.43860894047,619.311049765391
"California Current",1991.86372745491,7363.55352768333,619.177994629427,7363.55352768333,7363.55352768333,619.177994629427
"California Current",1991.94188376754,7333.73344578912,619.035672640326,7333.73344578912,7333.73344578912,619.035672640326
"California Current",1992.02004008016,7303.98038873601,618.882717157302,7303.98038873601,7303.98038873601,618.882717157302
"California Current",1992.09819639279,7274.2959597582,618.718088448263,7274.2959597582,7274.2959597582,618.718088448263
"California Current",1992.17635270541,7244.68095632374,618.541385181174,7244.68095632374,NA,NA
"California Current",1992.25450901804,7215.13608528715,618.352256976266,7215.13608528715,7215.13608528715,618.352256976266
"California Current",1992.33266533066,7185.66205350304,618.150330650856,7185.66205350304,7185.66205350304,618.150330650856
"California Current",1992.41082164329,7156.25956782594,617.935211250254,7156.25956782594,NA,NA
"California Current",1992.48897795591,7126.92933511064,617.706483709463,7126.92933511064,7126.92933511064,617.706483709463
"California Current",1992.56713426854,7097.67206221166,617.463715147495,7097.67206221166,7097.67206221166,617.463715147495
"California Current",1992.64529058116,7068.48845598361,617.206457796521,7068.48845598361,7068.48845598361,617.206457796521
"California Current",1992.72344689379,7039.37922328112,616.934252568553,7039.37922328112,7039.37922328112,616.934252568553
"California Current",1992.80160320641,7010.3450709587,616.646633262929,7010.3450709587,7010.3450709587,616.646633262929
"California Current",1992.87975951904,6981.38670587114,616.343131418456,6981.38670587114,6981.38670587114,616.343131418456
"California Current",1992.95791583166,6952.50483487298,616.023281814697,6952.50483487298,6952.50483487298,616.023281814697
"California Current",1993.03607214429,6923.7001447664,615.686644791665,6923.7001447664,6923.7001447664,615.686644791665
"California Current",1993.11422845691,6894.97276580642,615.333243018719,6894.97276580642,6894.97276580642,615.333243018719
"California Current",1993.19238476954,6866.32221293643,614.96360176514,6866.32221293643,6866.32221293643,614.96360176514
"California Current",1993.27054108216,6837.74796925714,614.578270964723,6837.74796925714,6837.74796925714,614.578270964723
"California Current",1993.34869739479,6809.2495178693,614.177795580196,6809.2495178693,6809.2495178693,614.177795580196
