"Region","Year","fit","se.fit","inc.trend","dec.trend","threshold","se.threshold"
"Gulf of Mexico",1981,135707.021099116,12402.6129826514,NA,NA,NA,NA
"Gulf of Mexico",1981.07815631263,135661.704586484,12239.6055277456,NA,NA,NA,NA
"Gulf of Mexico",1981.15631262525,135616.425304523,12078.522419629,NA,NA,NA,NA
"Gulf of Mexico",1981.23446893788,135571.220483906,11919.4932698032,NA,NA,NA,NA
"Gulf of Mexico",1981.3126252505,135526.127355304,11762.6480508831,NA,NA,NA,NA
"Gulf of Mexico",1981.39078156313,135481.183149389,11608.1167709539,NA,NA,NA,NA
"Gulf of Mexico",1981.46893787575,135436.425096833,11456.0290844276,NA,NA,NA,NA
"Gulf of Mexico",1981.54709418838,135391.890428307,11306.5138312547,NA,NA,NA,NA
"Gulf of Mexico",1981.625250501,135347.616374484,11159.6984965284,NA,NA,NA,NA
"Gulf of Mexico",1981.70340681363,135303.640166034,11015.7085831332,NA,NA,NA,NA
"Gulf of Mexico",1981.78156312625,135259.99903363,10874.6668913487,NA,NA,NA,NA
"Gulf of Mexico",1981.85971943888,135216.730207944,10736.6927012929,NA,NA,NA,NA
"Gulf of Mexico",1981.9378757515,135173.870919647,10601.900856978,NA,NA,NA,NA
"Gulf of Mexico",1982.01603206413,135131.458437632,10470.4007650819,NA,NA,NA,NA
"Gulf of Mexico",1982.09418837675,135089.537628435,10342.2972344007,NA,NA,NA,NA
"Gulf of Mexico",1982.17234468938,135048.170068252,10217.6907933052,NA,NA,NA,NA
"Gulf of Mexico",1982.250501002,135007.419557222,10096.6716688056,NA,NA,NA,NA
"Gulf of Mexico",1982.32865731463,134967.349895478,9979.31773551492,NA,NA,NA,NA
"Gulf of Mexico",1982.40681362725,134928.024883158,9865.69313664223,NA,NA,NA,NA
"Gulf of Mexico",1982.48496993988,134889.508320396,9755.84697611823,NA,NA,NA,NA
"Gulf of Mexico",1982.56312625251,134851.864007329,9649.81213306052,NA,NA,NA,NA
"Gulf of Mexico",1982.64128256513,134815.155744094,9547.60425134287,NA,NA,NA,NA
"Gulf of Mexico",1982.71943887776,134779.447330825,9449.22095510776,NA,NA,NA,NA
"Gulf of Mexico",1982.79759519038,134744.802567659,9354.64133534888,NA,NA,NA,NA
"Gulf of Mexico",1982.87575150301,134711.285254733,9263.8257432502,NA,NA,NA,NA
"Gulf of Mexico",1982.95390781563,134678.959192181,9176.71591341863,NA,NA,NA,NA
"Gulf of Mexico",1983.03206412826,134647.888326891,9093.23554295995,NA,NA,NA,NA
"Gulf of Mexico",1983.11022044088,134618.141979609,9013.29559402186,NA,NA,NA,NA
"Gulf of Mexico",1983.18837675351,134589.796266193,8936.79807387837,NA,NA,NA,NA
"Gulf of Mexico",1983.26653306613,134562.927738421,8863.63283630272,NA,NA,NA,NA
"Gulf of Mexico",1983.34468937876,134537.612948071,8793.67845764677,NA,NA,NA,NA
"Gulf of Mexico",1983.42284569138,134513.928446921,8726.80357145372,NA,NA,NA,NA
"Gulf of Mexico",1983.50100200401,134491.950786746,8662.86829699114,NA,NA,NA,NA
"Gulf of Mexico",1983.57915831663,134471.756519326,8601.7257220934,NA,NA,NA,NA
"Gulf of Mexico",1983.65731462926,134453.422196437,8543.22340370318,NA,NA,NA,NA
"Gulf of Mexico",1983.73547094188,134437.024369856,8487.2048542014,NA,NA,NA,NA
"Gulf of Mexico",1983.81362725451,134422.639591361,8433.51098738656,NA,NA,NA,NA
"Gulf of Mexico",1983.89178356713,134410.34441273,8381.98150427148,NA,NA,NA,NA
"Gulf of Mexico",1983.96993987976,134400.21538574,8332.45620517963,NA,NA,NA,NA
"Gulf of Mexico",1984.04809619238,134392.328876711,8284.77731944867,NA,NA,NA,NA
"Gulf of Mexico",1984.12625250501,134386.758639272,8238.80539859372,NA,NA,NA,NA
"Gulf of Mexico",1984.20440881764,134383.576495695,8194.4173768182,NA,NA,NA,NA
"Gulf of Mexico",1984.28256513026,134382.854222975,8151.49612838436,NA,NA,NA,NA
"Gulf of Mexico",1984.36072144289,134384.663598107,8109.9303463114,NA,NA,NA,NA
"Gulf of Mexico",1984.43887775551,134389.076398084,8069.61463987051,NA,NA,NA,NA
"Gulf of Mexico",1984.51703406814,134396.164399902,8030.44959829217,NA,NA,NA,NA
"Gulf of Mexico",1984.59519038076,134405.999380556,7992.34182986785,NA,NA,NA,NA
"Gulf of Mexico",1984.67334669339,134418.653117039,7955.20398472137,NA,NA,NA,NA
"Gulf of Mexico",1984.75150300601,134434.197386346,7918.9547686084,NA,NA,NA,NA
"Gulf of Mexico",1984.82965931864,134452.703965472,7883.51895420945,NA,NA,NA,NA
"Gulf of Mexico",1984.90781563126,134474.244631412,7848.82739554326,NA,NA,NA,NA
"Gulf of Mexico",1984.98597194389,134498.891161159,7814.81705035073,NA,NA,NA,NA
"Gulf of Mexico",1985.06412825651,134526.713105151,7781.43396551729,NA,NA,NA,NA
"Gulf of Mexico",1985.14228456914,134557.764600295,7748.65057814259,NA,NA,NA,NA
"Gulf of Mexico",1985.22044088176,134592.093262824,7716.45320138654,NA,NA,NA,NA
"Gulf of Mexico",1985.29859719439,134629.746685666,7684.83278418224,NA,NA,NA,NA
"Gulf of Mexico",1985.37675350701,134670.772461745,7653.78435406087,NA,NA,NA,NA
"Gulf of Mexico",1985.45490981964,134715.218183988,7623.30652484758,NA,NA,NA,NA
"Gulf of Mexico",1985.53306613226,134763.131445322,7593.40103635762,NA,NA,NA,NA
"Gulf of Mexico",1985.61122244489,134814.559838673,7564.0723243515,NA,NA,NA,NA
"Gulf of Mexico",1985.68937875751,134869.550956967,7535.32711914107,NA,NA,NA,NA
"Gulf of Mexico",1985.76753507014,134928.152393131,7507.17407141006,NA,NA,NA,NA
