"Region","Year","fit","se.fit","inc.trend","dec.trend","threshold","se.threshold"
"Gulf of Mexico",1981,33362.9142510065,2537.56938669717,NA,NA,NA,NA
"Gulf of Mexico",1981.07815631263,33445.5729060203,2499.30051700832,NA,NA,NA,NA
"Gulf of Mexico",1981.15631262525,33528.2270679608,2461.49389915773,NA,NA,NA,NA
"Gulf of Mexico",1981.23446893788,33610.8722437553,2424.17735891503,NA,NA,NA,NA
"Gulf of Mexico",1981.3126252505,33693.5039403303,2387.37851377121,NA,NA,NA,NA
"Gulf of Mexico",1981.39078156313,33776.1176646128,2351.12470439258,NA,NA,NA,NA
"Gulf of Mexico",1981.46893787575,33858.7089235296,2315.44292030313,NA,NA,NA,NA
"Gulf of Mexico",1981.54709418838,33941.2732240079,2280.35971963117,NA,NA,NA,NA
"Gulf of Mexico",1981.625250501,34023.806072974,2245.90114283127,NA,NA,NA,NA
"Gulf of Mexico",1981.70340681363,34106.3029773552,2212.09262037865,NA,NA,NA,NA
"Gulf of Mexico",1981.78156312625,34188.7594440782,2178.95887454343,NA,NA,NA,NA
"Gulf of Mexico",1981.85971943888,34271.1709800702,2146.52381547407,NA,NA,NA,NA
"Gulf of Mexico",1981.9378757515,34353.5330922576,2114.81043196555,NA,NA,NA,NA
"Gulf of Mexico",1982.01603206413,34435.8412868099,2083.84068010643,NA,NA,NA,NA
"Gulf of Mexico",1982.09418837675,34518.0909193019,2053.63586092639,NA,NA,NA,NA
"Gulf of Mexico",1982.17234468938,34600.277014103,2024.21690932048,NA,NA,NA,NA
"Gulf of Mexico",1982.250501002,34682.3945515009,1995.60308627107,NA,NA,NA,NA
"Gulf of Mexico",1982.32865731463,34764.4385117837,1967.8116652553,NA,NA,NA,NA
"Gulf of Mexico",1982.40681362725,34846.4038752395,1940.85778462926,NA,NA,NA,NA
"Gulf of Mexico",1982.48496993988,34928.2856221564,1914.75430522156,NA,NA,NA,NA
"Gulf of Mexico",1982.56312625251,35010.0787328225,1889.51167569973,NA,NA,NA,NA
"Gulf of Mexico",1982.64128256513,35091.7781875254,1865.13780843617,NA,NA,NA,NA
"Gulf of Mexico",1982.71943887776,35173.3789665535,1841.63796870751,NA,NA,NA,NA
"Gulf of Mexico",1982.79759519038,35254.8760501947,1819.01468010738,NA,NA,NA,NA
"Gulf of Mexico",1982.87575150301,35336.2644187373,1797.26764901814,NA,NA,NA,NA
"Gulf of Mexico",1982.95390781563,35417.5390524688,1776.39371087654,NA,NA,NA,NA
"Gulf of Mexico",1983.03206412826,35498.6949616683,1756.3868219767,NA,NA,NA,NA
"Gulf of Mexico",1983.11022044088,35579.7282548386,1737.23886533424,NA,NA,NA,NA
"Gulf of Mexico",1983.18837675351,35660.6364291614,1718.94013753645,NA,NA,NA,NA
"Gulf of Mexico",1983.26653306613,35741.4170709034,1701.47858090145,NA,NA,NA,NA
"Gulf of Mexico",1983.34468937876,35822.0677663322,1684.83975756414,NA,NA,NA,NA
"Gulf of Mexico",1983.42284569138,35902.586101715,1669.00690499222,NA,NA,NA,NA
"Gulf of Mexico",1983.50100200401,35982.9696633194,1653.96101421931,NA,NA,NA,NA
"Gulf of Mexico",1983.57915831663,36063.216037412,1639.68093065942,NA,NA,NA,NA
"Gulf of Mexico",1983.65731462926,36143.3228102606,1626.14347697927,NA,NA,NA,NA
"Gulf of Mexico",1983.73547094188,36223.2875681322,1613.32359714125,NA,NA,NA,NA
"Gulf of Mexico",1983.81362725451,36303.1078972944,1601.19452039574,NA,NA,NA,NA
"Gulf of Mexico",1983.89178356713,36382.7813840141,1589.72794371913,NA,NA,NA,NA
"Gulf of Mexico",1983.96993987976,36462.3056145586,1578.89423096421,NA,NA,NA,NA
"Gulf of Mexico",1984.04809619238,36541.6783288455,1568.66283049738,NA,NA,NA,NA
"Gulf of Mexico",1984.12625250501,36620.8994313992,1559.00526025926,NA,NA,NA,NA
"Gulf of Mexico",1984.20440881764,36699.9704268664,1549.89487771814,NA,NA,NA,NA
"Gulf of Mexico",1984.28256513026,36778.8928574058,1541.30503808377,NA,NA,NA,NA
"Gulf of Mexico",1984.36072144289,36857.6682651766,1533.20914794265,NA,NA,NA,NA
"Gulf of Mexico",1984.43887775551,36936.298192338,1525.58076710553,NA,NA,NA,NA
"Gulf of Mexico",1984.51703406814,37014.784181049,1518.39370970654,NA,NA,NA,NA
"Gulf of Mexico",1984.59519038076,37093.1277734683,1511.62214401866,NA,NA,NA,NA
"Gulf of Mexico",1984.67334669339,37171.3305117552,1505.24069053989,NA,NA,NA,NA
"Gulf of Mexico",1984.75150300601,37249.3939380686,1499.22451799653,NA,NA,NA,NA
"Gulf of Mexico",1984.82965931864,37327.3195945678,1493.54943700168,NA,NA,NA,NA
"Gulf of Mexico",1984.90781563126,37405.1090234113,1488.19199119697,NA,NA,NA,NA
"Gulf of Mexico",1984.98597194389,37482.7637667585,1483.12954579036,NA,NA,NA,NA
"Gulf of Mexico",1985.06412825651,37560.2856631123,1478.34098665453,NA,NA,NA,NA
"Gulf of Mexico",1985.14228456914,37637.6786024405,1473.81042332421,NA,NA,NA,NA
"Gulf of Mexico",1985.22044088176,37714.9473425798,1469.52473589723,NA,NA,NA,NA
"Gulf of Mexico",1985.29859719439,37792.09664447,1465.47172200729,NA,NA,NA,NA
"Gulf of Mexico",1985.37675350701,37869.1312690503,1461.64002197982,NA,NA,NA,NA
"Gulf of Mexico",1985.45490981964,37946.0559772599,1458.01905212718,NA,NA,NA,NA
"Gulf of Mexico",1985.53306613226,38022.8755300385,1454.59894023255,NA,NA,NA,NA
"Gulf of Mexico",1985.61122244489,38099.5946883249,1451.37046364336,NA,NA,NA,NA
"Gulf of Mexico",1985.68937875751,38176.2182130586,1448.3249903544,NA,NA,NA,NA
"Gulf of Mexico",1985.76753507014,38252.750865179,1445.4544234231,NA,NA,NA,NA
"Gulf of Mexico",1985.84569138277,38329.1974056256,1442.75114902472,NA,NA,NA,NA
"Gulf of Mexico",1985.92384769539,38405.5625953373,1440.20798842294,NA,NA,NA,NA
"Gulf of Mexico",1986.00200400802,38481.8511952563,1437.81815411696,NA,NA,NA,NA
"Gulf of Mexico",1986.08016032064,38558.0681459999,1435.57615579783,NA,NA,NA,NA
"Gulf of Mexico",1986.15831663327,38634.2190537122,1433.48022108439,NA,NA,NA,NA
"Gulf of Mexico",1986.23647294589,38710.3096785954,1431.5293667092,NA,NA,NA,NA
"Gulf of Mexico",1986.31462925852,38786.3457808522,1429.72246149086,NA,NA,NA,NA
"Gulf of Mexico",1986.39278557114,38862.3331206851,1428.05812795161,NA,NA,NA,NA
"Gulf of Mexico",1986.47094188377,38938.2774582968,1426.53465379662,NA,NA,NA,NA
"Gulf of Mexico",1986.54909819639,39014.1845538894,1425.14991350946,NA,NA,NA,NA
"Gulf of Mexico",1986.62725450902,39090.0601676656,1423.90130028653,NA,NA,NA,NA
"Gulf of Mexico",1986.70541082164,39165.9100598279,1422.78566849947,NA,NA,NA,NA
"Gulf of Mexico",1986.78356713427,39241.7399905788,1421.79928683704,NA,NA,NA,NA
"Gulf of Mexico",1986.86172344689,39317.5557201211,1420.93780223907,NA,NA,NA,NA
"Gulf of Mexico",1986.93987975952,39393.3630086569,1420.19621469479,NA,NA,NA,NA
"Gulf of Mexico",1987.01803607214,39469.1676134654,1419.56887170386,NA,NA,NA,NA
"Gulf of Mexico",1987.09619238477,39544.9748600337,1419.05075093808,NA,NA,NA,NA
"Gulf of Mexico",1987.17434869739,39620.7891895841,1418.63881359583,NA,NA,NA,NA
