"Region","Year","fit","se.fit","inc.trend","dec.trend","threshold","se.threshold"
"Hawai'i",2003,8278.37990602799,1629.78763860726,NA,NA,NA,NA
"Hawai'i",2003.03406813627,8231.29998240658,1610.99701033624,NA,NA,NA,NA
"Hawai'i",2003.06813627255,8184.22871554421,1592.44404589213,NA,NA,NA,NA
"Hawai'i",2003.10220440882,8137.17476220085,1574.13974980906,NA,NA,NA,NA
"Hawai'i",2003.13627254509,8090.14677913555,1556.09476496518,NA,NA,NA,NA
"Hawai'i",2003.17034068136,8043.15342310761,1538.31933549411,NA,NA,NA,NA
"Hawai'i",2003.20440881764,7996.2033508761,1520.82326889313,NA,NA,NA,NA
"Hawai'i",2003.23847695391,7949.30521920097,1503.61589752461,NA,NA,NA,NA
"Hawai'i",2003.27254509018,7902.46768484129,1486.7060397466,NA,NA,NA,NA
"Hawai'i",2003.30661322645,7855.69940455609,1470.10196095757,NA,NA,NA,NA
"Hawai'i",2003.34068136273,7809.0090351053,1453.81133488383,NA,NA,NA,NA
"Hawai'i",2003.374749499,7762.405233248,1437.8412054864,NA,NA,NA,NA
"Hawai'i",2003.40881763527,7715.89665574353,1422.19794991339,NA,NA,NA,NA
"Hawai'i",2003.44288577154,7669.49195935089,1406.88724296463,NA,NA,NA,NA
"Hawai'i",2003.47695390782,7623.19980083009,1391.91402357684,NA,NA,NA,NA
"Hawai'i",2003.51102204409,7577.02883694016,1377.28246386647,NA,NA,NA,NA
"Hawai'i",2003.54509018036,7530.98772444012,1362.99594129277,NA,NA,NA,NA
"Hawai'i",2003.57915831663,7485.08512008995,1349.05701451085,NA,NA,NA,NA
"Hawai'i",2003.61322645291,7439.32968064868,1335.46740348129,NA,NA,NA,NA
"Hawai'i",2003.64729458918,7393.73006287566,1322.22797438756,NA,NA,NA,NA
"Hawai'i",2003.68136272545,7348.29492352996,1309.3387298774,NA,NA,NA,NA
"Hawai'i",2003.71543086172,7303.03291937148,1296.79880510044,NA,NA,NA,NA
"Hawai'i",2003.749498998,7257.95270715927,1284.60646995489,NA,NA,NA,NA
"Hawai'i",2003.78356713427,7213.06294365275,1272.75913789168,NA,NA,NA,NA
"Hawai'i",2003.81763527054,7168.37228561091,1261.25338154872,NA,NA,NA,NA
"Hawai'i",2003.85170340681,7123.8893897937,1250.0849554141,NA,NA,NA,NA
"Hawai'i",2003.88577154309,7079.62291296016,1239.24882563995,NA,NA,NA,NA
"Hawai'i",2003.91983967936,7035.58151186937,1228.73920705979,NA,NA,NA,NA
"Hawai'i",2003.95390781563,6991.77384328126,1218.54960739434,NA,NA,NA,NA
"Hawai'i",2003.9879759519,6948.20856395486,1208.67287857428,NA,NA,NA,NA
"Hawai'i",2004.02204408818,6904.89415926034,1199.10140351037,NA,NA,NA,NA
"Hawai'i",2004.05611222445,6861.83697342594,1189.82870995977,NA,NA,NA,NA
"Hawai'i",2004.09018036072,6819.04189522463,1180.84924482406,NA,NA,NA,NA
"Hawai'i",2004.12424849699,6776.51378561489,1172.15739169222,NA,NA,NA,NA
"Hawai'i",2004.15831663327,6734.25750555512,1163.74745361008,NA,NA,NA,NA
"Hawai'i",2004.19238476954,6692.27791600458,1155.61365647346,NA,NA,NA,NA
"Hawai'i",2004.22645290581,6650.57987792172,1147.75015298789,NA,NA,NA,NA
"Hawai'i",2004.26052104208,6609.16825226522,1140.15102721801,NA,NA,NA,NA
"Hawai'i",2004.29458917836,6568.04789999352,1132.81029974675,NA,NA,NA,NA
"Hawai'i",2004.32865731463,6527.2236820659,1125.72193346255,NA,NA,NA,NA
"Hawai'i",2004.3627254509,6486.70045944077,1118.87983998934,NA,NA,NA,NA
"Hawai'i",2004.39679358717,6446.48309307659,1112.27788677167,NA,NA,NA,NA
"Hawai'i",2004.43086172345,6406.57644393258,1105.90990482324,NA,NA,NA,NA
"Hawai'i",2004.46492985972,6366.9853729672,1099.769697143,NA,NA,NA,NA
"Hawai'i",2004.49899799599,6327.71474113918,1093.85104780155,NA,NA,NA,NA
"Hawai'i",2004.53306613226,6288.7694094069,1088.14773169528,NA,NA,NA,NA
"Hawai'i",2004.56713426854,6250.15423872965,1082.65352496452,NA,NA,NA,NA
"Hawai'i",2004.60120240481,6211.87409006589,1077.36221606818,NA,NA,NA,NA
"Hawai'i",2004.63527054108,6173.933824374,1072.2676175065,NA,NA,NA,NA
"Hawai'i",2004.66933867735,6136.33830261325,1067.36357818112,NA,NA,NA,NA
"Hawai'i",2004.70340681363,6099.0923857421,1062.6439963801,NA,NA,NA,NA
"Hawai'i",2004.7374749499,6062.20093471923,1058.10283337609,NA,NA,NA,NA
"Hawai'i",2004.77154308617,6025.66881050315,1053.73412762393,NA,NA,NA,NA
"Hawai'i",2004.80561122244,5989.50087405297,1049.532009545,NA,NA,NA,NA
"Hawai'i",2004.83967935872,5953.70198632723,1045.49071688521,NA,NA,NA,NA
"Hawai'i",2004.87374749499,5918.27700828439,1041.60461063499,NA,NA,NA,NA
"Hawai'i",2004.90781563126,5883.23080088362,1037.86819149996,NA,NA,NA,NA
"Hawai'i",2004.94188376754,5848.56822508338,1034.27611691168,NA,NA,NA,NA
"Hawai'i",2004.97595190381,5814.2941418424,1030.82321857028,NA,NA,NA,NA
"Hawai'i",2005.01002004008,5780.41338402808,1027.50453755748,NA,NA,NA,NA
