"Year","Region","Angler.Trips","SE.Trips"
1996,"Alaska",0.744113,0
1997,"Alaska",0.816469,0
1998,"Alaska",0.703308,0
1999,"Alaska",0.924592,0
2000,"Alaska",0.978083,0
2001,"Alaska",0.889144,0
2002,"Alaska",0.855447,0
2003,"Alaska",0.86805,0
2004,"Alaska",1.00743,0
2005,"Alaska",1.054442,0
2006,"Alaska",0.940801,0
2007,"Alaska",1.05266,0
2008,"Alaska",0.934918,0
2009,"Alaska",0.913768,0
2010,"Alaska",0.811124,0
2011,"Alaska",0.737193,0
2012,"Alaska",0.734846,0
2013,"Alaska",0.89693,0
2014,"Alaska",0.876486,0
2015,"Alaska",0.890138,0
2016,"Alaska",0.782377,0
2017,"Alaska",0.811883,0
2018,"Alaska",0.7737,0
2019,"Alaska",0.829719,0
2020,"Alaska",0.565628,0
1981,"California Current",10.749675,325297.139
1982,"California Current",10.801412,234944.976
1983,"California Current",10.53552,768492.994
1984,"California Current",10.093577,344050.598
1985,"California Current",9.880268,738167.981
1986,"California Current",10.939042,826599.86
1987,"California Current",9.947545,1005865.42
1988,"California Current",12.337765,1133134.26
1989,"California Current",9.379307,900133.821
1992,"California Current",0.033402,467.628
1993,"California Current",7.115032,303666.834
1994,"California Current",7.239011,296480.685
1995,"California Current",7.315906,322147.742
1996,"California Current",7.292813,359704.883
1997,"California Current",7.325976,389920.548
1998,"California Current",6.964844,387875.332
1999,"California Current",6.051532,375131.994
2000,"California Current",8.009885,407996.575
2001,"California Current",0.206477,0
2002,"California Current",0.193006,0
2003,"California Current",0.218318,0
2004,"California Current",0.398259,0
2005,"California Current",4.353346,0
2006,"California Current",4.38234,0
2007,"California Current",3.756308,0
2008,"California Current",3.656677,0
2009,"California Current",4.176155,0
2010,"California Current",3.847037,0
2011,"California Current",3.456186,0
2012,"California Current",4.455909,0
2013,"California Current",4.358406,0
2014,"California Current",3.875322,0
2015,"California Current",3.852425,0
2016,"California Current",3.691147,0
2017,"California Current",3.736543,0
2018,"California Current",2.362815,0
2019,"California Current",2.379159,0
2020,"California Current",1.804084,0
2021,"California Current",3.375454,0
1981,"Gulf of Mexico",29.184131,1711101.767
1982,"Gulf of Mexico",35.252995,1431098.572
1983,"Gulf of Mexico",38.68755,2135394.464
1984,"Gulf of Mexico",40.294781,1467806.391
1985,"Gulf of Mexico",39.715554,1910194.685
1986,"Gulf of Mexico",34.777463,1328891.538
1987,"Gulf of Mexico",35.565221,1282429.509
1988,"Gulf of Mexico",40.452946,1306610.019
1989,"Gulf of Mexico",42.494911,1543677.444
1990,"Gulf of Mexico",41.108364,1371592.912
1991,"Gulf of Mexico",48.840233,1827052.578
1992,"Gulf of Mexico",42.659175,1128258.072
1993,"Gulf of Mexico",47.582902,1354341.847
1994,"Gulf of Mexico",47.283855,1157310.6
1995,"Gulf of Mexico",45.163399,1060234.68
1996,"Gulf of Mexico",44.758171,1093675.85
1997,"Gulf of Mexico",45.581897,1162453.942
1998,"Gulf of Mexico",48.221856,1182337.5
1999,"Gulf of Mexico",54.130122,1272670.68
2000,"Gulf of Mexico",56.78633,1447776.616
2001,"Gulf of Mexico",59.284981,1399841.448
2002,"Gulf of Mexico",55.040573,1298797.56
2003,"Gulf of Mexico",59.001845,1392522.864
