"Region","Year","fit","se.fit","dec.trend","threshold","se.threshold"
"Northeast",1981,170767.246524846,9880.98354493163,NA,NA,NA
"Northeast",1981.07815631263,170382.05347492,9752.03701205229,NA,NA,NA
"Northeast",1981.15631262525,169996.840885658,9624.49205089545,NA,NA,NA
"Northeast",1981.23446893788,169611.589217722,9498.42369131758,NA,NA,NA
"Northeast",1981.3126252505,169226.278931779,9373.90612734984,NA,NA,NA
"Northeast",1981.39078156313,168840.89048849,9251.01254714433,NA,NA,NA
"Northeast",1981.46893787575,168455.40434852,9129.81495205369,NA,NA,NA
"Northeast",1981.54709418838,168069.800972531,9010.3839647312,NA,NA,NA
"Northeast",1981.625250501,167684.060821189,8892.78862629927,NA,NA,NA
"Northeast",1981.70340681363,167298.164355157,8777.09618280321,NA,NA,NA
"Northeast",1981.78156312625,166912.092035098,8663.37186138963,NA,NA,NA
"Northeast",1981.85971943888,166525.824321675,8551.67863687861,NA,NA,NA
"Northeast",1981.9378757515,166139.341675554,8442.07698968039,NA,NA,NA
"Northeast",1982.01603206413,165752.624550058,8334.6246640897,NA,NA,NA
"Northeast",1982.09418837675,165365.651939463,8229.3778713381,NA,NA,NA
"Northeast",1982.17234468938,164978.399629127,8126.39228173196,NA,NA,NA
"Northeast",1982.250501002,164590.842977329,8025.71934003008,NA,NA,NA
"Northeast",1982.32865731463,164202.957342344,7927.40546694222,NA,NA,NA
"Northeast",1982.40681362725,163814.718082448,7831.49174565,NA,NA,NA
"Northeast",1982.48496993988,163426.100555918,7738.01362205724,NA,NA,NA
"Northeast",1982.56312625251,163037.080121028,7647.0006238534,NA,NA,NA
"Northeast",1982.64128256513,162647.632136056,7558.47610376437,NA,NA,NA
"Northeast",1982.71943887776,162257.731959279,7472.45701255225,NA,NA,NA
"Northeast",1982.79759519038,161867.354948971,7388.95370740976,NA,NA,NA
"Northeast",1982.87575150301,161476.476463408,7307.96980132661,NA,NA,NA
"Northeast",1982.95390781563,161085.071860867,7229.50205881085,NA,NA,NA
"Northeast",1983.03206412826,160693.116573559,7153.5403992384,NA,NA,NA
"Northeast",1983.11022044088,160300.588741063,7080.07002881879,NA,NA,NA
"Northeast",1983.18837675351,159907.469926362,7009.07264939243,NA,NA,NA
"Northeast",1983.26653306613,159513.741912062,6940.52436833151,NA,NA,NA
