"Region","Year","fit","se.fit","inc.trend","dec.trend","threshold","se.threshold"
"Southeast",1981,156728.292174954,13074.9370032254,NA,NA,NA,NA
"Southeast",1981.07815631263,156369.102626429,12810.9656950234,NA,NA,NA,NA
"Southeast",1981.15631262525,156009.741112432,12550.956309672,NA,NA,NA,NA
"Southeast",1981.23446893788,155650.035667491,12295.2325349675,NA,NA,NA,NA
"Southeast",1981.3126252505,155289.814326136,12044.1205736515,NA,NA,NA,NA
"Southeast",1981.39078156313,154928.905122894,11797.9482579208,NA,NA,NA,NA
"Southeast",1981.46893787575,154567.136092294,11557.0439747373,NA,NA,NA,NA
"Southeast",1981.54709418838,154204.335268862,11321.735378307,NA,NA,NA,NA
"Southeast",1981.625250501,153840.330687131,11092.347866683,NA,NA,NA,NA
"Southeast",1981.70340681363,153474.950381625,10869.2028013253,NA,NA,NA,NA
"Southeast",1981.78156312625,153108.022386875,10652.615452103,NA,NA,NA,NA
"Southeast",1981.85971943888,152739.374737406,10442.8926559539,NA,NA,NA,NA
"Southeast",1981.9378757515,152368.835467751,10240.3301856846,NA,NA,NA,NA
"Southeast",1982.01603206413,151996.232580665,10045.2098591959,NA,NA,NA,NA
"Southeast",1982.09418837675,151621.38776357,9857.80053917882,NA,NA,NA,NA
"Southeast",1982.17234468938,151244.108814434,9678.35766787173,NA,NA,NA,NA
"Southeast",1982.250501002,150864.201682635,9507.10900878377,NA,NA,NA,NA
"Southeast",1982.32865731463,150481.47231755,9344.24916615044,NA,NA,NA,NA
"Southeast",1982.40681362725,150095.726668558,9189.93558066625,NA,NA,NA,NA
"Southeast",1982.48496993988,149706.770685035,9044.28471647786,NA,NA,NA,NA
"Southeast",1982.56312625251,149314.410316359,8907.36858511645,NA,NA,NA,NA
"Southeast",1982.64128256513,148918.451511908,8779.2117564731,NA,NA,NA,NA
"Southeast",1982.71943887776,148518.700221062,8659.78900162955,NA,NA,NA,NA
"Southeast",1982.79759519038,148114.962393197,8549.02369654548,NA,NA,NA,NA
"Southeast",1982.87575150301,147707.043977689,8446.78708960874,NA,NA,NA,NA
"Southeast",1982.95390781563,147294.750923918,8352.89850159159,NA,NA,NA,NA
"Southeast",1983.03206412826,146877.890246729,8267.12678820041,NA,NA,NA,NA
"Southeast",1983.11022044088,146456.307977181,8189.20411244164,NA,NA,NA,NA
"Southeast",1983.18837675351,146029.899481395,8118.83621308013,NA,NA,NA,NA
"Southeast",1983.26653306613,145598.563290422,8055.69460363319,NA,NA,NA,NA
"Southeast",1983.34468937876,145162.197935309,7999.41910916271,NA,NA,NA,NA
"Southeast",1983.42284569138,144720.701947105,7949.62164650524,NA,NA,NA,NA
