"Region","Year","fit","se.fit","inc.trend","dec.trend","threshold","se.threshold"
"Southeast",1981,49894.8808682793,2447.40093463992,NA,NA,NA,NA
"Southeast",1981.07815631263,50018.3734409576,2400.0506471003,NA,NA,NA,NA
"Southeast",1981.15631262525,50141.8401960608,2353.39012031334,NA,NA,NA,NA
"Southeast",1981.23446893788,50265.2553160135,2307.47311698814,NA,NA,NA,NA
"Southeast",1981.3126252505,50388.5929832401,2262.35365803988,NA,NA,NA,NA
"Southeast",1981.39078156313,50511.8273801655,2218.08587440926,NA,NA,NA,NA
"Southeast",1981.46893787575,50634.9326892143,2174.72383197772,NA,NA,NA,NA
"Southeast",1981.54709418838,50757.8830928117,2132.32132677933,NA,NA,NA,NA
"Southeast",1981.625250501,50880.6527733816,2090.93164787725,NA,NA,NA,NA
"Southeast",1981.70340681363,51003.2159133491,2050.60730559141,NA,NA,NA,NA
"Southeast",1981.78156312625,51125.5466951388,2011.39972328764,NA,NA,NA,NA
"Southeast",1981.85971943888,51247.6193011759,1973.35889168638,NA,NA,NA,NA
"Southeast",1981.9378757515,51369.4079138843,1936.53298566572,NA,NA,NA,NA
"Southeast",1982.01603206413,51490.886701563,1900.96794882928,NA,NA,NA,NA
"Southeast",1982.09418837675,51612.0270245436,1866.70777574925,NA,NA,NA,NA
"Southeast",1982.17234468938,51732.7940675339,1833.79456437983,NA,NA,NA,NA
"Southeast",1982.250501002,51853.1521933086,1802.26615383035,NA,NA,NA,NA
"Southeast",1982.32865731463,51973.0657646436,1772.15529407596,NA,NA,NA,NA
"Southeast",1982.40681362725,52092.4991443139,1743.48906955569,NA,NA,NA,NA
"Southeast",1982.48496993988,52211.4166950953,1716.28834446293,NA,NA,NA,NA
"Southeast",1982.56312625251,52329.7827797633,1690.56724748777,NA,NA,NA,NA
"Southeast",1982.64128256513,52447.5617610926,1666.33271473811,NA,NA,NA,NA
"Southeast",1982.71943887776,52564.7180018591,1643.58410960678,NA,NA,NA,NA
"Southeast",1982.79759519038,52681.2158648379,1622.3129373273,NA,NA,NA,NA
"Southeast",1982.87575150301,52797.0197128049,1602.50266980995,NA,NA,NA,NA
"Southeast",1982.95390781563,52912.0939085346,1584.12869313357,NA,NA,NA,NA
"Southeast",1983.03206412826,53026.4028493715,1567.15843386556,NA,NA,NA,NA
"Southeast",1983.11022044088,53139.9121985237,1551.55342268142,NA,NA,NA,NA
"Southeast",1983.18837675351,53252.5892198535,1537.2707912419,NA,NA,NA,NA
"Southeast",1983.26653306613,53364.4012799073,1524.26190942958,NA,NA,NA,NA
"Southeast",1983.34468937876,53475.3157452323,1512.47267494532,NA,NA,NA,NA
"Southeast",1983.42284569138,53585.2999823756,1501.8440122271,NA,NA,NA,NA
"Southeast",1983.50100200401,53694.3213578842,1492.31243656402,NA,NA,NA,NA
"Southeast",1983.57915831663,53802.3472383047,1483.81066929995,NA,NA,NA,NA
"Southeast",1983.65731462926,53909.344990184,1476.26828947347,NA,NA,NA,NA
"Southeast",1983.73547094188,54015.2819800693,1469.61240746904,NA,NA,NA,NA
"Southeast",1983.81362725451,54120.1255745077,1463.76834715424,NA,NA,NA,NA
"Southeast",1983.89178356713,54223.8431400455,1458.66032442658,NA,NA,NA,NA
"Southeast",1983.96993987976,54326.40204323,1454.21211192978,NA,NA,NA,NA
"Southeast",1984.04809619238,54427.7701069263,1450.34815897392,NA,NA,NA,NA
