"Year","Region","Angler.Trips","SE.Trips"
1996,"Alaska",744.113,0
1997,"Alaska",816.469,0
1998,"Alaska",703.308,0
1999,"Alaska",924.592,0
2000,"Alaska",978.083,0
2001,"Alaska",889.144,0
2002,"Alaska",855.447,0
2003,"Alaska",868.05,0
2004,"Alaska",1007.43,0
2005,"Alaska",1054.442,0
2006,"Alaska",940.801,0
2007,"Alaska",1052.66,0
2008,"Alaska",934.918,0
2009,"Alaska",913.768,0
2010,"Alaska",811.124,0
2011,"Alaska",737.193,0
2012,"Alaska",734.846,0
2013,"Alaska",896.93,0
2014,"Alaska",876.486,0
2015,"Alaska",890.138,0
2016,"Alaska",782.377,0
2017,"Alaska",811.883,0
2018,"Alaska",773.7,0
2019,"Alaska",829.719,0
2020,"Alaska",565.628,0
1981,"California Current",10749.675,325297.139
1982,"California Current",10801.412,234944.976
1983,"California Current",10535.52,768492.994
1984,"California Current",10093.577,344050.598
1985,"California Current",9880.268,738167.981
1986,"California Current",10939.042,826599.86
1987,"California Current",9947.545,1005865.42
1988,"California Current",12337.765,1133134.26
1989,"California Current",9379.307,900133.821
1992,"California Current",33.402,467.628
1993,"California Current",7115.032,303666.834
1994,"California Current",7239.011,296480.685
1995,"California Current",7315.906,322147.742
1996,"California Current",7292.813,359704.883
1997,"California Current",7325.976,389920.548
1998,"California Current",6964.844,387875.332
1999,"California Current",6051.532,375131.994
2000,"California Current",8009.885,407996.575
2001,"California Current",206.477,0
2002,"California Current",193.006,0
2003,"California Current",218.318,0
2004,"California Current",398.259,0
2005,"California Current",4353.346,0
2006,"California Current",4382.34,0
2007,"California Current",3756.308,0
2008,"California Current",3656.677,0
2009,"California Current",4176.155,0
2010,"California Current",3847.037,0
2011,"California Current",3456.186,0
2012,"California Current",4455.909,0
2013,"California Current",4358.406,0
2014,"California Current",3875.322,0
2015,"California Current",3852.425,0
2016,"California Current",3691.147,0
2017,"California Current",3736.543,0
2018,"California Current",2362.815,0
2019,"California Current",2379.159,0
2020,"California Current",1804.084,0
2021,"California Current",3375.454,0
1981,"Gulf of Mexico",29184.131,1711101.767
