"Year","Species","RCatch","Group","Habitat"
2003,"ACHILLES TANG",52933,"TANGS","All Species"
2006,"ACHILLES TANG",0,"TANGS","All Species"
2007,"ACHILLES TANG",8389,"TANGS","All Species"
2008,"ACHILLES TANG",4479,"TANGS","All Species"
2010,"ACHILLES TANG",2187,"TANGS","All Species"
2011,"ACHILLES TANG",131,"TANGS","All Species"
2012,"ACHILLES TANG",963,"TANGS","All Species"
2013,"ACHILLES TANG",5270,"TANGS","All Species"
2015,"ACHILLES TANG",2292,"TANGS","All Species"
2016,"ACHILLES TANG",1423,"TANGS","All Species"
2018,"ACHILLES TANG",16934,"TANGS","All Species"
2019,"ACHILLES TANG",77956,"TANGS","All Species"
2020,"ACHILLES TANG",32420,"TANGS","All Species"
2004,"ACUTE HALFBEAK",3161,"HALFBEAKS","All Species"
2014,"ACUTE HALFBEAK",16340,"HALFBEAKS","All Species"
2015,"ACUTE HALFBEAK",11308,"HALFBEAKS","All Species"
2016,"ACUTE HALFBEAK",1129,"HALFBEAKS","All Species"
2019,"ACUTE HALFBEAK",24281,"HALFBEAKS","All Species"
2020,"ACUTE HALFBEAK",17284,"HALFBEAKS","All Species"
2004,"AFRICAN POMPANO",2235,"POMPANO","All Species"
2005,"AFRICAN POMPANO",695,"POMPANO","All Species"
2008,"AFRICAN POMPANO",913,"POMPANO","All Species"
2012,"AFRICAN POMPANO",1295,"POMPANO","All Species"
2013,"AFRICAN POMPANO",1320,"POMPANO","All Species"
2014,"AFRICAN POMPANO",330,"POMPANO","All Species"
2015,"AFRICAN POMPANO",1426,"POMPANO","All Species"
2016,"AFRICAN POMPANO",218,"POMPANO","All Species"
2017,"AFRICAN POMPANO",246,"POMPANO","All Species"
2019,"AFRICAN POMPANO",962,"POMPANO","All Species"
2020,"AFRICAN POMPANO",1505,"POMPANO","All Species"
2003,"ALBACORE",657,"TUNA","All Species"
2006,"ALBACORE",4712,"TUNA","All Species"
2007,"ALBACORE",1433,"TUNA","All Species"
2008,"ALBACORE",2719,"TUNA","All Species"
2009,"ALBACORE",1634,"TUNA","All Species"
2010,"ALBACORE",200,"TUNA","All Species"
2014,"ALBACORE",1236,"TUNA","All Species"
2015,"ALBACORE",377,"TUNA","All Species"
2016,"ALBACORE",2176,"TUNA","All Species"
2017,"ALBACORE",760,"TUNA","All Species"
2018,"ALBACORE",6298,"TUNA","All Species"
2019,"ALBACORE",281,"TUNA","All Species"
2003,"AMBON TOBY",2168,"PUFFERS","All Species"
2004,"AMBON TOBY",0,"PUFFERS","All Species"
2005,"AMBON TOBY",0,"PUFFERS","All Species"
2006,"AMBON TOBY",0,"PUFFERS","All Species"
2007,"AMBON TOBY",0,"PUFFERS","All Species"
2008,"AMBON TOBY",0,"PUFFERS","All Species"
2009,"AMBON TOBY",979,"PUFFERS","All Species"
2011,"AMBON TOBY",0,"PUFFERS","All Species"
2003,"ANCHOVY FAMILY",21248,"ANCHOVIES","All Species"
2006,"ANCHOVY FAMILY",10307,"ANCHOVIES","All Species"
2003,"BALDWINS WRASSE",56683,"WRASSES","All Species"
2004,"BALDWINS WRASSE",23422,"WRASSES","All Species"
2005,"BALDWINS WRASSE",27004,"WRASSES","All Species"
2006,"BALDWINS WRASSE",6636,"WRASSES","All Species"
2007,"BALDWINS WRASSE",2323,"WRASSES","All Species"
2008,"BALDWINS WRASSE",9715,"WRASSES","All Species"
2009,"BALDWINS WRASSE",12574,"WRASSES","All Species"
2010,"BALDWINS WRASSE",7392,"WRASSES","All Species"
2011,"BALDWINS WRASSE",4111,"WRASSES","All Species"
2012,"BALDWINS WRASSE",2745,"WRASSES","All Species"
2013,"BALDWINS WRASSE",4383,"WRASSES","All Species"
2014,"BALDWINS WRASSE",3036,"WRASSES","All Species"
2015,"BALDWINS WRASSE",12718,"WRASSES","All Species"
2016,"BALDWINS WRASSE",6937,"WRASSES","All Species"
