"Year","Catch.Millions","CommDiv","Species.Type"
2003,0.058883,3.62349894872252,"Fishpond"
2004,0.095888,3.73873839796323,"Fishpond"
2005,0.031243,3.39725412121924,"Fishpond"
2006,0.094615,1.82316194796586,"Fishpond"
2007,0.013603,2.58131812544452,"Fishpond"
2008,0.082294,2.98482930820876,"Fishpond"
2009,0.048986,2.5981177267645,"Fishpond"
2010,0.127464,4.10961244292102,"Fishpond"
2011,0.029834,3.0202966678471,"Fishpond"
2012,0.089233,2.79086224599496,"Fishpond"
2013,0.089989,3.43840651193724,"Fishpond"
2014,0.098827,3.26115936696698,"Fishpond"
2015,0.07783,3.26445503758519,"Fishpond"
2016,0.063829,3.127641391388,"Fishpond"
2017,0.035833,2.24406777868276,"Fishpond"
2018,0.251407,2.27819633669114,"Fishpond"
2019,0.166504,2.40961750110505,"Fishpond"
2020,0.212699,2.53899338923924,"Fishpond"
2003,0.059822,1.88130811628737,"Deep"
2004,0.111525,2.17109588809485,"Deep"
2005,0.05851,3.83018744735597,"Deep"
2006,0.076093,3.40406285564865,"Deep"
2007,0.03779,3.87883007208664,"Deep"
2008,0.076813,3.63841557152258,"Deep"
2009,0.053701,2.56600503423086,"Deep"
2010,0.215781,3.34967900067811,"Deep"
2011,0.048692,3.43255477918967,"Deep"
2012,0.11223,4.31855625870708,"Deep"
2013,0.09934,3.59342824276433,"Deep"
2014,0.099942,3.47482253557657,"Deep"
2015,0.049377,3.87995651508664,"Deep"
2016,0.041107,3.79047184574197,"Deep"
2017,0.020177,3.73086966469234,"Deep"
2018,0.117557,3.65288260271097,"Deep"
2019,0.127361,3.54000851382127,"Deep"
2020,0.060894,4.42835720418134,"Deep"
2003,0.088641,2.86197210658631,"Coastal"
2004,0.149021,1.96664707422246,"Coastal"
2005,0.024738,1,"Coastal"
2006,0.468642,1.64717601255403,"Coastal"
2007,0.104161,1.62051469969288,"Coastal"
2008,0.051409,1.16117104023844,"Coastal"
2009,0.131182,1.80650087508375,"Coastal"
2010,0.287642,1.62695744980278,"Coastal"
2011,0.147399,1.35731901723035,"Coastal"
2012,0.026734,1,"Coastal"
2013,0.022582,1,"Coastal"
2014,0.02889,1,"Coastal"
2015,0.026409,1,"Coastal"
2016,0.02585,1,"Coastal"
2017,0.019132,1,"Coastal"
2018,0.044507,1,"Coastal"
2019,0.071776,1,"Coastal"
2020,0.054795,1,"Coastal"
2003,0.759753,3.13847894317596,"Pelagic"
2004,0.844881,3.39943644439705,"Pelagic"
2005,0.683643,3.8910629906263,"Pelagic"
2006,0.427148,3.88961702225816,"Pelagic"
2007,0.586209,3.20092960852962,"Pelagic"
2008,1.16473,3.07206956324946,"Pelagic"
2009,0.523051,3.42680162236607,"Pelagic"
2010,0.659019,2.91677121521188,"Pelagic"
2011,0.297309,3.00729329102357,"Pelagic"
2012,0.445948,3.35463764226535,"Pelagic"
2013,0.622012,3.03454204997936,"Pelagic"
2014,0.571183,4.54848024959166,"Pelagic"
2015,0.681162,3.63332874869201,"Pelagic"
2016,0.247043,4.40983582611489,"Pelagic"
2017,0.244082,3.58316329685653,"Pelagic"
2018,0.626665,4.41475578645568,"Pelagic"
2019,0.691276,3.61096437073764,"Pelagic"
2020,0.600124,4.22960340255178,"Pelagic"
2003,11.116699,12.6562915817051,"Reef"
2004,2.886146,27.5176251253209,"Reef"
2005,3.432339,24.8402621112515,"Reef"
2006,3.654591,19.3965665016116,"Reef"
2007,2.5873,14.5705700019547,"Reef"
2008,2.979206,19.9630790671018,"Reef"
2009,5.081921,13.8490546378084,"Reef"
2010,3.6032,18.2049905475182,"Reef"
2011,1.980389,12.5624522768851,"Reef"
2012,2.089106,22.6559183816184,"Reef"
2013,2.82197,12.8335628268613,"Reef"
2014,2.919505,19.2741039517492,"Reef"
2015,3.803567,13.6472813609114,"Reef"
2016,2.105463,17.0021404465268,"Reef"
2017,2.691147,11.0144701199639,"Reef"
2018,9.32166,12.1190828027743,"Reef"
2019,10.097644,10.2436256650307,"Reef"
2020,7.258634,11.6004552497803,"Reef"
2003,12.083798,15.8474991564942,"All Species"
2004,4.087461,34.7739938773158,"All Species"
2005,4.230473,31.2883865648486,"All Species"
2006,4.721089,26.8235489396333,"All Species"
2007,3.329063,20.181430462918,"All Species"
2008,4.354452,24.6505138628573,"All Species"
2009,5.838841,18.7892098628244,"All Species"
2010,4.893106,26.9581401705292,"All Species"
2011,2.503623,18.5849878329798,"All Species"
2012,2.763251,31.145786930254,"All Species"
2013,3.655893,19.0242511870483,"All Species"
2014,3.718347,27.93061858946,"All Species"
2015,4.638345,19.2539685294552,"All Species"
2016,2.483292,24.0531161483087,"All Species"
2017,3.010371,14.7179193962666,"All Species"
2018,10.361796,16.4138295743053,"All Species"
2019,11.154561,13.7645334702468,"All Species"
2020,8.187146,16.0726918266942,"All Species"
