Estimate Status,Year,Region,Common Name,Total Harvest (A+B1),PSE Harvest,Released (B2),PSE Released
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CHUB MACKEREL,3028688,3.2,3267455,3.6
PRELIMINARY,1981,SOUTHERN CALIFORNIA,PACIFIC BONITO,1682786,4.4,671319,7.9
PRELIMINARY,1981,SOUTHERN CALIFORNIA,WHITE CROAKER,1076690,7,1603427,5
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BOCACCIO,966494,4.9,21814,28.6
PRELIMINARY,1981,SOUTHERN CALIFORNIA,KELP BASS,926792,4.2,941175,6.7
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BLUE ROCKFISH,722828,6,37918,22
PRELIMINARY,1981,SOUTHERN CALIFORNIA,ROCKFISH GENUS,487308,11.8,161538,9.8
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BARRED SURFPERCH,443398,8.8,70244,19.5
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BARRED SANDBASS,374591,5.2,232417,9.4
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CHILIPEPPER ROCKFISH,278803,8.7,7413,29.1
PRELIMINARY,1981,SOUTHERN CALIFORNIA,JACKSMELT,242930,15.6,80058,16.7
PRELIMINARY,1981,SOUTHERN CALIFORNIA,QUEENFISH,212092,12.9,111386,18.7
PRELIMINARY,1981,SOUTHERN CALIFORNIA,OLIVE ROCKFISH,198969,7.8,31790,27.5
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CALIFORNIA SCORPIONFISH,183559,9.4,74992,12.8
PRELIMINARY,1981,SOUTHERN CALIFORNIA,WALLEYE SURFPERCH,164042,15.1,19880,27
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SILVER SURFPERCH,138501,23.5,40132,93.3
PRELIMINARY,1981,SOUTHERN CALIFORNIA,COPPER ROCKFISH,122707,9.4,516,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,PACIFIC SANDDAB,122044,22.9,5976,34
PRELIMINARY,1981,SOUTHERN CALIFORNIA,VERMILION ROCKFISH,117557,12.1,358,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,STARRY ROCKFISH,95725,10.3,714,71
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CALIFORNIA SHEEPHEAD,95720,11.5,9186,41.1
PRELIMINARY,1981,SOUTHERN CALIFORNIA,YELLOWTAIL ROCKFISH,91472,10.1,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SPOTTED SANDBASS,91429,15.2,150340,12.1
PRELIMINARY,1981,SOUTHERN CALIFORNIA,ROSY ROCKFISH,89564,9.2,476,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SURFPERCH FAMILY,87330,18.6,309259,10
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SWORDSPINE ROCKFISH,84120,12,3849,48.4
PRELIMINARY,1981,SOUTHERN CALIFORNIA,OPALEYE,79042,16.4,6627,30.3
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BROWN ROCKFISH,77810,11.2,1146,57.7
PRELIMINARY,1981,SOUTHERN CALIFORNIA,PACIFIC BARRACUDA,72800,13.5,280160,11
PRELIMINARY,1981,SOUTHERN CALIFORNIA,GREENSPOTTED ROCKFISH,71292,11.8,2756,79
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CALIFORNIA HALIBUT,70593,8.7,513328,5.8
PRELIMINARY,1981,SOUTHERN CALIFORNIA,KELP ROCKFISH,69832,13,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,YELLOWFIN CROAKER,67957,16.2,32707,23.5
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SANDBASS GENUS,63137,16.3,566130,7.6
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SPECKLED ROCKFISH,61796,11.8,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,OCEAN WHITEFISH,57406,16.5,4000,64.7
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CALICO SURFPERCH,57033,32.4,7014,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CANARY ROCKFISH,53672,10.9,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,HALFMOON,50531,25.7,18464,33.3
PRELIMINARY,1981,SOUTHERN CALIFORNIA,FLAG ROCKFISH,46069,9.3,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BLACK PERCH,45633,17.7,3409,58.3
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SHINER PERCH,44496,23.8,40246,24.8
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SPOTFIN CROAKER,43661,37.1,2541,68.3
PRELIMINARY,1981,SOUTHERN CALIFORNIA,LINGCOD,43523,10.2,13797,18
PRELIMINARY,1981,SOUTHERN CALIFORNIA,GREENSTRIPED ROCKFISH,43046,11.2,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,GRASS ROCKFISH,42929,17.3,2389,57.6
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SQUARESPOTTED ROCKFISH,38257,24,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CABEZON,37765,14,2535,60.6
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BANK ROCKFISH,37593,14.3,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SILVERSIDE FAMILY,37140,27.9,40914,24.6
PRELIMINARY,1981,SOUTHERN CALIFORNIA,GOPHER ROCKFISH,33987,13,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,UNIDENTIFIED FISH,33854,30.7,67349,15.1
PRELIMINARY,1981,SOUTHERN CALIFORNIA,TOPSMELT,28444,31.2,4653,56.8
PRELIMINARY,1981,SOUTHERN CALIFORNIA,DIAMOND TURBOT,27608,23.9,2403,61.7
PRELIMINARY,1981,SOUTHERN CALIFORNIA,WIDOW ROCKFISH,27312,18.8,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CALIFORNIA CORBINA,21915,25.4,21787,36.8
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SPINY DOGFISH,18961,31.3,6636,42.4
PRELIMINARY,1981,SOUTHERN CALIFORNIA,TREEFISH,17725,12.9,2054,70.7
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BLACK ROCKFISH,16007,24.8,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,PACIFIC POMPANO (BUTTERFISH),14925,55.9,355,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,YELLOWTAIL,14206,17,506,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,WHITE SEABASS,13327,17.9,18494,16.6
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SHORTFIN MAKO SHARK,12996,69.7,571,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,PINK ROCKFISH,12906,37.6,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,GREENBLOTCHED ROCKFISH,12582,18.4,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SHOVELNOSE GUITARFISH,12252,40.4,34971,25.4
PRELIMINARY,1981,SOUTHERN CALIFORNIA,DRUM FAMILY,10354,42.6,32944,20.8
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BLACK AND YELLOW ROCKFISH,9985,16.5,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,COW ROCKFISH,9697,19.2,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,GRAY SMOOTHHOUND,9038,60.6,1777,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CHINA ROCKFISH,8349,16.5,714,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,RUBBERLIP SEAPERCH,8261,23,5832,41.4
PRELIMINARY,1981,SOUTHERN CALIFORNIA,UNIDENTIFIED (SHARKS),8085,39.8,150148,12.1
PRELIMINARY,1981,SOUTHERN CALIFORNIA,MONTEREY SPANISH MACKEREL,7385,48.1,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,PACIFIC STAGHORN SCULPIN,7258,35.7,65734,21.7
PRELIMINARY,1981,SOUTHERN CALIFORNIA,WHITE SEAPERCH,6841,26.7,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CALIFORNIA LIZARDFISH,6399,34.3,9048,33.4
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SAND SOLE,6288,29.8,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CALICO ROCKFISH,6146,22.5,5890,70.6
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SMELT FAMILY,6078,46.2,3525,35.6
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SABLEFISH,5808,28.6,635,70.9
PRELIMINARY,1981,SOUTHERN CALIFORNIA,PILE PERCH,5667,36.1,285,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,JACK MACKEREL,5259,23,18397,84.1
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SANDDAB GENUS,4611,46.4,4754,55.9
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BLACKGILL ROCKFISH,4573,61.1,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,HONEYCOMB ROCKFISH,4551,24.9,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,THORNBACK,4545,41.6,14302,34.1
