"Category","Year","fit","se.fit","inc.trend","dec.trend","threshold","se.threshold"
"Visitors",2005,18745.4151030817,440.159306415406,NA,NA,NA,NA
"Visitors",2005.02204408818,18743.3608520858,430.86170883319,NA,NA,NA,NA
"Visitors",2005.04408817635,18741.3001482211,421.879646541169,NA,NA,NA,NA
"Visitors",2005.06613226453,18739.2265386189,413.23565756597,NA,NA,NA,NA
"Visitors",2005.08817635271,18737.1335704106,404.951833170322,NA,NA,NA,NA
"Visitors",2005.11022044088,18735.0147907275,397.049584809897,NA,NA,NA,NA
"Visitors",2005.13226452906,18732.8637467007,389.549382043642,NA,NA,NA,NA
"Visitors",2005.15430861723,18730.6739854616,382.470463929535,NA,NA,NA,NA
"Visitors",2005.17635270541,18728.4390541414,375.830528386239,NA,NA,NA,NA
"Visitors",2005.19839679359,18726.1524998716,369.645406166425,NA,NA,NA,NA
"Visitors",2005.22044088176,18723.8078697832,363.928728304353,NA,NA,NA,NA
"Visitors",2005.24248496994,18721.3987110076,358.691597987618,NA,NA,NA,NA
"Visitors",2005.26452905812,18718.9185706761,353.942279501732,NA,NA,NA,NA
"Visitors",2005.28657314629,18716.3609959199,349.685917965423,NA,NA,NA,NA
"Visitors",2005.30861723447,18713.7195338704,345.924303760364,NA,NA,NA,NA
"Visitors",2005.33066132265,18710.9877316588,342.655694702908,NA,NA,NA,NA
"Visitors",2005.35270541082,18708.1591364163,339.874707024737,NA,NA,NA,NA
"Visitors",2005.374749499,18705.2272952744,337.572283205233,NA,NA,NA,NA
"Visitors",2005.39679358717,18702.1857553641,335.735740832998,NA,NA,NA,NA
"Visitors",2005.41883767535,18699.028063817,334.348902318114,NA,NA,NA,NA
"Visitors",2005.44088176353,18695.7477677641,333.392300846501,NA,NA,NA,NA
"Visitors",2005.4629258517,18692.3384143368,332.843453912544,NA,NA,NA,NA
"Visitors",2005.48496993988,18688.7935506665,332.677192476208,NA,NA,NA,NA
"Visitors",2005.50701402806,18685.1067238842,332.866031554091,NA,NA,NA,NA
"Visitors",2005.52905811623,18681.2714811214,333.38056700903,NA,NA,NA,NA
"Visitors",2005.55110220441,18677.2813695092,334.189883438012,NA,NA,NA,NA
"Visitors",2005.57314629259,18673.1299361791,335.261959224338,NA,NA,NA,NA
"Visitors",2005.59519038076,18668.8107282622,336.564056776837,NA,NA,NA,NA
"Visitors",2005.61723446894,18664.3172928899,338.063088435821,NA,NA,NA,NA
"Visitors",2005.63927855711,18659.6431771934,339.725951196345,NA,NA,NA,NA
"Visitors",2005.66132264529,18654.781928304,341.519826030166,NA,NA,NA,NA
"Visitors",2005.68336673347,18649.727093353,343.41243998925,NA,NA,NA,NA
"Visitors",2005.70541082164,18644.4722194716,345.372291317388,NA,NA,NA,NA
"Visitors",2005.72745490982,18639.0108537912,347.368839426134,NA,NA,NA,NA
"Visitors",2005.749498998,18633.3365434431,349.372662795434,NA,NA,NA,NA
"Visitors",2005.77154308617,18627.4428355583,351.355588673699,NA,NA,NA,NA
"Visitors",2005.79358717435,18621.3232772685,353.290798928682,NA,NA,NA,NA
"Visitors",2005.81563126253,18614.9714157046,355.152916611044,NA,NA,NA,NA
"Visitors",2005.8376753507,18608.3807979981,356.918077801369,NA,NA,NA,NA
"Visitors",2005.85971943888,18601.5449712803,358.563993187315,NA,NA,NA,NA
"Visitors",2005.88176352705,18594.4574826823,360.070003611792,NA,NA,NA,NA
"Visitors",2005.90380761523,18587.1118793355,361.41713359436,NA,NA,NA,NA
"Visitors",2005.92585170341,18579.5017083712,362.588146587169,NA,NA,NA,NA
"Visitors",2005.94789579158,18571.6205169205,363.567605512453,NA,NA,NA,NA
"Visitors",2005.96993987976,18563.461852115,364.341941953712,NA,NA,NA,NA
"Visitors",2005.99198396794,18555.0192610857,364.899537249453,NA,NA,NA,NA
"Visitors",2006.01402805611,18546.2859365154,365.231613792752,NA,NA,NA,NA
"Visitors",2006.03607214429,18537.250462222,365.341753960228,NA,NA,NA,NA
"Visitors",2006.05811623246,18527.8981989179,365.242348281631,NA,NA,NA,NA
"Visitors",2006.08016032064,18518.2144411796,364.947200291322,NA,NA,NA,NA
"Visitors",2006.10220440882,18508.1844835835,364.471190744074,NA,NA,NA,NA
"Visitors",2006.12424849699,18497.7936207059,363.830105418273,NA,NA,NA,NA
"Visitors",2006.14629258517,18487.0271471233,363.040473691741,NA,NA,NA,NA
"Visitors",2006.16833667335,18475.870357412,362.119415116653,NA,NA,NA,NA
"Visitors",2006.19038076152,18464.3085461483,361.084491627533,NA,NA,NA,NA
"Visitors",2006.2124248497,18452.3270079089,359.95356340519,NA,NA,NA,NA
"Visitors",2006.23446893788,18439.9110372697,358.744646794129,NA,NA,NA,NA
"Visitors",2006.25651302605,18427.0459288076,357.475773043448,NA,NA,NA,NA
"Visitors",2006.27855711423,18413.7169770985,356.164847013549,NA,NA,NA,NA
"Visitors",2006.3006012024,18399.9094767192,354.829505369847,NA,NA,NA,NA
"Visitors",2006.32264529058,18385.6087222457,353.486974168581,NA,NA,NA,NA
"Visitors",2006.34468937876,18370.8000082548,352.153926128503,NA,NA,NA,NA
"Visitors",2006.36673346693,18355.4686293225,350.846338267618,NA,NA,NA,NA
"Visitors",2006.38877755511,18339.5998800255,349.579350960129,NA,NA,NA,NA
"Visitors",2006.41082164329,18323.1790549399,348.36712981997,NA,NA,NA,NA
"Visitors",2006.43286573146,18306.1914486424,347.222732132207,NA,NA,NA,NA
"Visitors",2006.45490981964,18288.6223557092,346.157979812634,NA,NA,NA,NA
"Visitors",2006.47695390782,18270.4570707165,345.183341066211,NA,NA,NA,NA
"Visitors",2006.49899799599,18251.680888241,344.307823017751,NA,NA,NA,NA
"Visitors",2006.52104208417,18232.2791028588,343.538877594012,NA,NA,NA,NA
"Visitors",2006.54308617234,18212.2370091467,342.882322836642,NA,NA,NA,NA
"Visitors",2006.56513026052,18191.5399016805,342.342281618177,NA,NA,NA,NA
"Visitors",2006.5871743487,18170.1730750372,341.921139426379,NA,NA,NA,NA
"Visitors",2006.60921843687,18148.1218237926,341.619522485901,NA,NA,NA,NA
"Visitors",2006.63126252505,18125.3714425237,341.436297023472,NA,NA,18125.3714425237,341.436297023472
"Visitors",2006.65330661323,18101.9072258062,341.368589976817,NA,NA,NA,NA
"Visitors",2006.6753507014,18077.7144682172,341.411830929041,NA,NA,NA,NA
"Visitors",2006.69739478958,18052.7784643324,341.559814549084,NA,NA,NA,NA
"Visitors",2006.71943887776,18027.0845087288,341.804782364935,NA,NA,NA,NA
"Visitors",2006.74148296593,18000.6178959822,342.137522314859,NA,NA,NA,NA
"Visitors",2006.76352705411,17973.3639206695,342.547484233339,NA,NA,NA,NA
"Visitors",2006.78557114228,17945.3078773667,343.02290924615,NA,17945.3078773667,NA,NA
"Visitors",2006.80761523046,17916.4350606506,343.550970978275,NA,17916.4350606506,NA,NA
"Visitors",2006.82965931864,17886.730765097,344.117926519124,NA,17886.730765097,NA,NA
"Visitors",2006.85170340681,17856.1802852829,344.70927523286,NA,17856.1802852829,NA,NA
"Visitors",2006.87374749499,17824.7689157841,345.309923737085,NA,17824.7689157841,NA,NA
"Visitors",2006.89579158317,17792.4819511775,345.904355683814,NA,17792.4819511775,NA,NA
"Visitors",2006.91783567134,17759.3046860394,346.476805347877,NA,17759.3046860394,NA,NA
"Visitors",2006.93987975952,17725.2224149457,347.011434441105,NA,17725.2224149457,17725.2224149457,347.011434441105
"Visitors",2006.9619238477,17690.2204324734,347.492512013225,NA,17690.2204324734,17690.2204324734,347.492512013225
"Visitors",2006.98396793587,17654.2840331983,347.904597757943,NA,17654.2840331983,NA,NA
"Visitors",2007.00601202405,17617.3986610396,348.232778687766,NA,17617.3986610396,NA,NA
"Visitors",2007.02805611222,17579.5643401359,348.467660232843,NA,17579.5643401359,17579.5643401359,348.467660232843
"Visitors",2007.0501002004,17540.8077051891,348.609747054159,NA,17540.8077051891,17540.8077051891,348.609747054159
"Visitors",2007.07214428858,17501.15822287,348.661716442513,NA,17501.15822287,17501.15822287,348.661716442513
"Visitors",2007.09418837675,17460.6453598505,348.627340747444,NA,17460.6453598505,17460.6453598505,348.627340747444
"Visitors",2007.11623246493,17419.2985828013,348.511342052752,NA,17419.2985828013,17419.2985828013,348.511342052752
"Visitors",2007.13827655311,17377.1473583946,348.319256288813,NA,17377.1473583946,17377.1473583946,348.319256288813
"Visitors",2007.16032064128,17334.2211533008,348.057305688747,NA,17334.2211533008,17334.2211533008,348.057305688747
"Visitors",2007.18236472946,17290.5494341922,347.732278588461,NA,17290.5494341922,17290.5494341922,347.732278588461
"Visitors",2007.20440881764,17246.1616677392,347.351415680399,NA,17246.1616677392,17246.1616677392,347.351415680399
"Visitors",2007.22645290581,17201.0873206142,346.922301951472,NA,17201.0873206142,17201.0873206142,346.922301951472
"Visitors",2007.24849699399,17155.3558594874,346.452763663573,NA,17155.3558594874,17155.3558594874,346.452763663573
"Visitors",2007.27054108216,17108.9967510312,345.950769866439,NA,17108.9967510312,17108.9967510312,345.950769866439
"Visitors",2007.29258517034,17062.0394619161,345.424338064359,NA,17062.0394619161,17062.0394619161,345.424338064359
"Visitors",2007.31462925852,17014.5134588143,344.881443789319,NA,17014.5134588143,17014.5134588143,344.881443789319
"Visitors",2007.33667334669,16966.4482083961,344.329933959544,NA,16966.4482083961,16966.4482083961,344.329933959544
"Visitors",2007.35871743487,16917.873177334,343.77744402327,NA,16917.873177334,16917.873177334,343.77744402327
"Visitors",2007.38076152305,16868.8178322983,343.231318999758,NA,16868.8178322983,16868.8178322983,343.231318999758
"Visitors",2007.40280561122,16819.3116399614,342.698538631125,NA,16819.3116399614,16819.3116399614,342.698538631125
"Visitors",2007.4248496994,16769.384066994,342.185646946894,NA,16769.384066994,16769.384066994,342.185646946894
"Visitors",2007.44689378758,16719.0645800671,341.698686616058,NA,16719.0645800671,16719.0645800671,341.698686616058
"Visitors",2007.46893787575,16668.382645853,341.243138516776,NA,16668.382645853,16668.382645853,341.243138516776
"Visitors",2007.49098196393,16617.367731022,340.823866989882,NA,16617.367731022,16617.367731022,340.823866989882
"Visitors",2007.5130260521,16566.0493022466,340.445071258041,NA,16566.0493022466,16566.0493022466,340.445071258041
"Visitors",2007.53507014028,16514.456826197,340.110243486788,NA,16514.456826197,16514.456826197,340.110243486788
"Visitors",2007.55711422846,16462.6197695456,339.822133937642,NA,16462.6197695456,16462.6197695456,339.822133937642
"Visitors",2007.57915831663,16410.5675989627,339.582723617136,NA,16410.5675989627,16410.5675989627,339.582723617136
"Visitors",2007.60120240481,16358.3297811208,339.393204762133,NA,16358.3297811208,16358.3297811208,339.393204762133
"Visitors",2007.62324649299,16305.9357826901,339.253969422957,NA,16305.9357826901,16305.9357826901,339.253969422957
"Visitors",2007.64529058116,16253.415070343,339.164606315754,NA,16253.415070343,16253.415070343,339.164606315754
"Visitors",2007.66733466934,16200.7971107499,339.12390601829,NA,16200.7971107499,16200.7971107499,339.12390601829
"Visitors",2007.68937875751,16148.1113705832,339.129874483636,NA,16148.1113705832,16148.1113705832,339.129874483636
"Visitors",2007.71142284569,16095.387316513,339.179754748251,NA,16095.387316513,16095.387316513,339.179754748251
"Visitors",2007.73346693387,16042.6544152119,339.270056620339,NA,16042.6544152119,16042.6544152119,339.270056620339
"Visitors",2007.75551102204,15989.9421333501,339.39659405419,NA,15989.9421333501,15989.9421333501,339.39659405419
"Visitors",2007.77755511022,15937.2799376001,339.554529851511,NA,15937.2799376001,15937.2799376001,339.554529851511
"Visitors",2007.7995991984,15884.6972946322,339.738427283434,NA,15884.6972946322,15884.6972946322,339.738427283434
"Visitors",2007.82164328657,15832.2236711186,339.942308199909,NA,15832.2236711186,15832.2236711186,339.942308199909
"Visitors",2007.84368737475,15779.8885337299,340.159717187626,NA,15779.8885337299,15779.8885337299,340.159717187626
"Visitors",2007.86573146293,15727.7213491382,340.38379135362,NA,15727.7213491382,15727.7213491382,340.38379135362
"Visitors",2007.8877755511,15675.7515840146,340.607335349628,NA,15675.7515840146,15675.7515840146,340.607335349628
"Visitors",2007.90981963928,15624.0087050297,340.82290130996,NA,15624.0087050297,15624.0087050297,340.82290130996
"Visitors",2007.93186372745,15572.5221788561,341.02287345269,NA,15572.5221788561,15572.5221788561,341.02287345269
"Visitors",2007.95390781563,15521.3214721639,341.199557187128,NA,15521.3214721639,15521.3214721639,341.199557187128
"Visitors",2007.97595190381,15470.4360516257,341.345272678295,NA,15470.4360516257,15470.4360516257,341.345272678295
"Visitors",2007.99799599198,15419.8953839116,341.452452938277,NA,15419.8953839116,15419.8953839116,341.452452938277
