"Year","Toxic_Releases_TOT","Toxic_Releases_per_Coastline","LivRes_Emp","LivRes_Est","LivRes_GDP","PCT_LivRes_Emp","PCT_LivRes_Est","PCT_LivRes_GDP","Commercial_Licenses_Revenue","Commercial_Landings","Commercial_Landings_Reef","Commercial_Revenue","Commercial_Revenue_Reef","Tourism_Emp","Tourism_Est","Tourism_GDP","PCT_Tourism_Emp","PCT_Tourism_Est","PCT_Tourism_GDP","Tourism_Arrivals","Visitor_Spending","Hotel_Occupancy","Recreational_Landings","Recreational_Landings_Reef","PCT_Beach_Days_W.out_Not"
"2000",1273978.37,835.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.9
"2001",3380521.37,2216.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.94
"2002",3695660.59,2423.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.2
"2003",3167753.27,2077.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004",3170717.64,2079.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005",3105368.58,2036.27,2090,160,68572497.27,0.3,0.44,0.09,251838.74,28139038,990802,87437688.61,3054856.41,95164,3435,6078624103.82,13.76,9.53,8.4,67687479,14385719922.7,81.1,4738849.18,2101776.74,NA
"2006",3021487.54,1981.26,2001,149,69149955.14,0.28,0.41,0.09,257866.59,26020904,868748,80038675.39,2632946.72,97029,3499,6303728847.91,13.69,9.55,8.48,69145854,14673464902.73,79.5,5175380.57,2352017.65,95.71
"2007",3015577.18,1977.39,2033,151,68321001.88,0.28,0.4,0.09,250593.99,28934161,924203,88343850.22,2934473.11,98871,3592,6351512974.94,13.69,9.44,8.35,69135310,14681112325.07,75,3710230.91,1169547.79,97.32
"2008",3245549.77,2128.19,1974,153,60329977.32,0.28,0.4,0.08,247014.7,30651522,1038465,97176612.3,3383905.61,96449,3623,5894958018.09,13.52,9.4,7.72,63130133,12802195242.41,70.4,4681069.25,1598614.43,97.57
"2009",3230824.09,2118.53,1908,150,58699650.84,0.28,0.39,0.08,231169.43,26906045,995239,80903568.4,3088615.62,90955,3624,5260889025.56,13.3,9.33,7.08,60255061,11128730192.78,64.8,6093065.54,2323375.47,98.27
"2010",2777863.72,1821.51,1931,147,67970254.35,0.28,0.39,0.09,286012.61,28068656,1064062,94394565.95,3532666.28,90777,3682,5453596171.43,13.37,9.65,7.12,64951433,12317241392.08,70.7,5206511.06,1424394.01,99.34
"2011",2871598.97,1882.98,2040,139,70284249.9,0.3,0.37,0.09,285168.08,29289341,806573,100738191.83,3063315.77,93206,3653,5848280218.27,13.55,9.68,7.59,67825871,13254377091.01,73.2,2667712.18,878694.72,94.29
"2012",2957277.09,1939.16,2135,131,72940463.6,0.3,0.35,0.09,302416.32,31047571,1210102,121225367.59,4124097.21,96508,3723,6256115545.2,13.74,9.82,7.99,73663903,15320708039.6,76.9,3056765.83,1054552.07,95.61
"2013",2843333.64,1864.44,2129,122,74685736.8,0.3,0.32,0.09,298632.62,32447284,1651459,114550856.29,4962218.55,99989,3746,6566590723.52,13.95,9.82,8.29,74049772,15225957008.02,76.5,3944354.55,1706261.54,97.45
"2014",2926448.87,1918.95,2159,123,70978308.8,0.3,0.32,0.09,287361.57,33473842,1679284,105416576.71,4435754.9,101922,3773,6725741370.14,13.99,9.82,8.39,75269197,15418217750.63,77,4153702.12,1597837.94,89.59
"2015",2817038.12,1847.2,2219,123,88833635.52,0.3,0.31,0.11,284783.94,34622881,1376071,106515585.7,3135742.66,103512,3893,7167820752.45,13.94,9.96,8.5,78086081,15388839684.87,78.7,5179095.18,2019709.65,93.81
"2016",3215153.18,2108.26,NA,NA,NA,NA,NA,NA,187394.51,35051334,1516323,120378736.73,4965120.92,110729,3916,NA,14.65,9.85,NA,79669135,16052814059.64,79,2865543.23,1031666.03,96.92
"2017",3061992.03,2007.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
