"Category","Year","fit","se.fit","inc.trend","dec.trend","threshold","se.threshold"
"Visitors",2005,67868.554603689,1024.60714830182,NA,NA,NA,NA
"Visitors",2005.02204408818,67906.9774965314,1002.34624376041,NA,NA,NA,NA
"Visitors",2005.04408817635,67945.3763219497,980.872304748803,NA,NA,NA,NA
"Visitors",2005.06613226453,67983.7270125183,960.242889620558,NA,NA,NA,NA
"Visitors",2005.08817635271,68022.0055008141,940.514442035296,NA,NA,NA,NA
"Visitors",2005.11022044088,68060.1877194119,921.7416573492,NA,NA,NA,NA
"Visitors",2005.13226452906,68098.2496008872,903.9767666892,NA,NA,NA,NA
"Visitors",2005.15430861723,68136.1670778153,887.268746203223,NA,NA,NA,NA
"Visitors",2005.17635270541,68173.9160827725,871.662464889907,NA,NA,NA,NA
"Visitors",2005.19839679359,68211.4725483335,857.197790964198,NA,NA,NA,NA
"Visitors",2005.22044088176,68248.8124070748,843.908683377097,NA,NA,NA,NA
"Visitors",2005.24248496994,68285.9115915706,831.822301265308,NA,NA,NA,NA
"Visitors",2005.26452905812,68322.7460343975,820.958168926401,NA,NA,NA,NA
"Visitors",2005.28657314629,68359.2916681302,811.327436614412,NA,NA,NA,NA
"Visitors",2005.30861723447,68395.5244253452,802.932277263611,NA,NA,NA,NA
"Visitors",2005.33066132265,68431.420238617,795.765455726188,NA,NA,NA,NA
"Visitors",2005.35270541082,68466.955040522,789.810100123753,NA,NA,NA,NA
"Visitors",2005.374749499,68502.1047636349,785.039694857404,NA,NA,NA,NA
"Visitors",2005.39679358717,68536.8453405319,781.418302513415,NA,NA,NA,NA
"Visitors",2005.41883767535,68571.152703788,778.90100857507,NA,NA,NA,NA
"Visitors",2005.44088176353,68605.0027859794,777.434569897713,NA,NA,NA,NA
"Visitors",2005.4629258517,68638.3715196807,776.958236709453,NA,NA,NA,NA
"Visitors",2005.48496993988,68671.234837468,777.404709565313,NA,NA,NA,NA
"Visitors",2005.50701402806,68703.5686719169,778.701187896386,NA,NA,NA,NA
"Visitors",2005.52905811623,68735.3489556026,780.770465728792,NA,NA,NA,NA
"Visitors",2005.55110220441,68766.5516211011,783.532032500689,NA,NA,NA,NA
"Visitors",2005.57314629259,68797.1526009871,786.903142000868,NA,NA,NA,NA
"Visitors",2005.59519038076,68827.1278278371,790.799819408641,NA,NA,NA,NA
"Visitors",2005.61723446894,68856.4532342256,795.137784289592,NA,NA,NA,NA
"Visitors",2005.63927855711,68885.104752729,799.833275357136,NA,NA,NA,NA
"Visitors",2005.66132264529,68913.0583159223,804.803770169027,NA,NA,NA,NA
"Visitors",2005.68336673347,68940.2898563813,809.96859925483,NA,NA,NA,NA
"Visitors",2005.70541082164,68966.7753066811,815.2494592209,NA,NA,NA,NA
"Visitors",2005.72745490982,68992.4905993979,820.570833119518,NA,NA,NA,NA
"Visitors",2005.749498998,69017.4116671066,825.860328871449,NA,NA,NA,NA
"Visitors",2005.77154308617,69041.514442383,831.048947981635,NA,NA,NA,NA
"Visitors",2005.79358717435,69064.7748578026,836.071297386443,NA,NA,NA,NA
"Visitors",2005.81563126253,69087.1688459411,840.865757250039,NA,NA,NA,NA
"Visitors",2005.8376753507,69108.6723393734,845.374617077839,NA,NA,NA,NA
"Visitors",2005.85971943888,69129.2612706758,849.544191825205,NA,NA,NA,NA
"Visitors",2005.88176352705,69148.911572423,853.324928877171,NA,NA,NA,NA
"Visitors",2005.90380761523,69167.5991771914,856.671515980817,NA,NA,NA,NA
"Visitors",2005.92585170341,69185.3000175559,859.542999489508,NA,NA,NA,NA
"Visitors",2005.94789579158,69201.9900260924,861.902921691516,NA,NA,NA,NA
"Visitors",2005.96993987976,69217.6451353758,863.719485562467,NA,NA,NA,NA
