"Year","Count","Dollars","Category","nominal_revenue"
2005,95164,7894218675.62733,"Tourism",6078624103.82
2005,2090,89054081.8674824,"Living Resources",68572497.27
2005,67687479,18682520408.6489,"Visitors",14385719922.7
2006,97029,7941282471.08743,"Tourism",6303728847.91
2006,69145854,18485269978.0703,"Visitors",14673464902.73
2006,2001,87113411.7407082,"Living Resources",69149955.14
2007,98871,7790987217.78705,"Tourism",6351512974.94
2007,69135310,18008364136.0422,"Visitors",14681112325.07
2007,2033,83804922.4576312,"Living Resources",68321001.88
2008,96449,7094302358.75582,"Tourism",5894958018.09
2008,63130133,15406834726.6888,"Visitors",12802195242.41
2008,1974,72604266.067977,"Living Resources",60329977.32
2009,90955,6291236600.09271,"Tourism",5260889025.56
2009,60255061,13308297202.4717,"Visitors",11128730192.78
2009,1908,70196004.8925307,"Living Resources",58699650.84
2010,90777,6444455356.33393,"Tourism",5453596171.43
2010,64951433,14555150357.5363,"Visitors",12317241392.08
2010,1931,80319711.2415421,"Living Resources",67970254.35
2011,93206,6770077994.75021,"Tourism",5848280218.27
2011,67825871,15343513533.7124,"Visitors",13254377091.01
2011,2040,81362355.4047606,"Living Resources",70284249.9
2012,96508,7109118414.25333,"Tourism",6256115545.2
2012,73663903,17409641311.2583,"Visitors",15320708039.6
2012,2135,82885680.2877923,"Living Resources",72940463.6
2013,99989,7333658357.06772,"Tourism",6566590723.52
2013,74049772,17004557091.7451,"Visitors",15225957008.02
2013,2129,83410052.6282651,"Living Resources",74685736.8
2014,101922,7373634631.59736,"Tourism",6725741370.14
2014,75269197,16903460615.9987,"Visitors",15418217750.63
2014,2159,77815676.675209,"Living Resources",70978308.8
2015,103512,7780159190.3978,"Tourism",7167820752.45
2015,78086081,16703490033.9655,"Visitors",15388839684.87
2015,2219,96422587.7957595,"Living Resources",88833635.52
2016,79669135,17251612330.0468,"Visitors",16052814059.64
2016,110729,NA,"Tourism",NA
2016,NA,NA,"Living Resources",NA
