"Year","Count","Dollars","Category","nominal_revenue","Individuals.Thousands","Dollars.Millions"
2005,95164,7894218675.62733,"Tourism",6078624103.82,95.164,7894.21867562733
2005,2090,89054081.8674824,"Living Resources",68572497.27,2.09,89.0540818674824
2005,67687479,18682520408.6489,"Visitors",14385719922.7,67687.479,18682.5204086489
2006,97029,7941282471.08743,"Tourism",6303728847.91,97.029,7941.28247108743
2006,69145854,18485269978.0703,"Visitors",14673464902.73,69145.854,18485.2699780703
2006,2001,87113411.7407082,"Living Resources",69149955.14,2.001,87.1134117407082
2007,98871,7790987217.78705,"Tourism",6351512974.94,98.871,7790.98721778705
2007,69135310,18008364136.0422,"Visitors",14681112325.07,69135.31,18008.3641360422
2007,2033,83804922.4576312,"Living Resources",68321001.88,2.033,83.8049224576312
2008,96449,7094302358.75582,"Tourism",5894958018.09,96.449,7094.30235875582
2008,63130133,15406834726.6888,"Visitors",12802195242.41,63130.133,15406.8347266888
2008,1974,72604266.067977,"Living Resources",60329977.32,1.974,72.604266067977
2009,90955,6291236600.09271,"Tourism",5260889025.56,90.955,6291.23660009271
2009,60255061,13308297202.4717,"Visitors",11128730192.78,60255.061,13308.2972024717
2009,1908,70196004.8925307,"Living Resources",58699650.84,1.908,70.1960048925307
2010,90777,6444455356.33393,"Tourism",5453596171.43,90.777,6444.45535633393
2010,64951433,14555150357.5363,"Visitors",12317241392.08,64951.433,14555.1503575363
2010,1931,80319711.2415421,"Living Resources",67970254.35,1.931,80.3197112415421
2011,93206,6770077994.75021,"Tourism",5848280218.27,93.206,6770.07799475021
2011,67825871,15343513533.7124,"Visitors",13254377091.01,67825.871,15343.5135337124
2011,2040,81362355.4047606,"Living Resources",70284249.9,2.04,81.3623554047606
2012,96508,7109118414.25333,"Tourism",6256115545.2,96.508,7109.11841425333
2012,73663903,17409641311.2583,"Visitors",15320708039.6,73663.903,17409.6413112583
2012,2135,82885680.2877923,"Living Resources",72940463.6,2.135,82.8856802877923
2013,99989,7333658357.06772,"Tourism",6566590723.52,99.989,7333.65835706772
2013,74049772,17004557091.7451,"Visitors",15225957008.02,74049.772,17004.5570917451
2013,2129,83410052.6282651,"Living Resources",74685736.8,2.129,83.4100526282651
2014,101922,7373634631.59736,"Tourism",6725741370.14,101.922,7373.63463159736
2014,75269197,16903460615.9987,"Visitors",15418217750.63,75269.197,16903.4606159987
2014,2159,77815676.675209,"Living Resources",70978308.8,2.159,77.815676675209
2015,103512,7780159190.3978,"Tourism",7167820752.45,103.512,7780.1591903978
2015,78086081,16703490033.9655,"Visitors",15388839684.87,78086.081,16703.4900339655
2015,2219,96422587.7957595,"Living Resources",88833635.52,2.219,96.4225877957595
2016,79669135,17251612330.0468,"Visitors",16052814059.64,79669.135,17251.6123300468
2016,110729,NA,"Tourism",NA,110.729,NA
2016,NA,NA,"Living Resources",NA,NA,NA
